iter,total,corr,reproj,scale_reg,tz_reg,scale,tz
0,10.18731022,10.18731022,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000
1,10.11183167,10.11078930,1.04273605,0.00002500,0.00002500,1.00501263,0.00500000
2,10.03850174,10.03441238,4.08904171,0.00010000,0.00009973,1.01005042,0.00998652
3,9.96724510,9.95823574,9.00919628,0.00022502,0.00022350,1.01511383,0.01494988
4,9.89797878,9.88231468,15.66443634,0.00040008,0.00039521,1.02020335,0.01987994
5,9.83061695,9.80670738,23.90793037,0.00062520,0.00061336,1.02531922,0.02476614
6,9.76506519,9.73147774,33.58545685,0.00090044,0.00087602,1.03046203,0.02959757
7,9.70121861,9.65668011,44.53617859,0.00122585,0.00118082,1.03563225,0.03436307
8,9.63897514,9.58237743,56.59410095,0.00160151,0.00152500,1.04083037,0.03905130
9,9.57821941,9.50862598,69.58922577,0.00202751,0.00190540,1.04605699,0.04365088
10,9.51883984,9.43548489,83.34983063,0.00250396,0.00231847,1.05131269,0.04815050
11,9.46071529,9.36300659,97.70268250,0.00303098,0.00276035,1.05659807,0.05253905
12,9.40372849,9.29124451,112.47767639,0.00360872,0.00322689,1.06191361,0.05680575
13,9.34775925,9.22024441,127.50681305,0.00423731,0.00371373,1.06726003,0.06094034
14,9.29268742,9.15005207,142.62716675,0.00491694,0.00421632,1.07263792,0.06493318
15,9.23840046,9.08070564,157.68447876,0.00564778,0.00473006,1.07804775,0.06877541
16,9.18478298,9.01223755,172.53280640,0.00643001,0.00525031,1.08349001,0.07245906
17,9.13172436,8.94467449,187.03663635,0.00726383,0.00577253,1.08896542,0.07597720
18,9.07912731,8.87803841,201.07377625,0.00814944,0.00629230,1.09447443,0.07932403
19,9.02689362,8.81234169,214.53552246,0.00908704,0.00680542,1.10001743,0.08249495
20,8.97493553,8.74759102,227.32664490,0.01007684,0.00730796,1.10559487,0.08548663
21,8.92317486,8.68378830,239.36782837,0.01111905,0.00779636,1.11120701,0.08829702
22,8.87153816,8.62092209,250.59480286,0.01221386,0.00826743,1.11685455,0.09092538
23,8.81996250,8.55898190,260.95901489,0.01336147,0.00871838,1.12253761,0.09337228
24,8.76839638,8.49794579,270.42639160,0.01456207,0.00914692,1.12825644,0.09563951
25,8.71679306,8.43778992,278.97723389,0.01581586,0.00955117,1.13401115,0.09773009
26,8.66511250,8.37847996,286.60537720,0.01712299,0.00992975,1.13980234,0.09964812
27,8.61332798,8.31998253,293.31637573,0.01848364,0.01028171,1.14562976,0.10139876
28,8.56141376,8.26225471,299.12857056,0.01989795,0.01060655,1.15149391,0.10298810
29,8.50935268,8.20525360,304.06787109,0.02136607,0.01090418,1.15739453,0.10442306
30,8.45713711,8.14893246,308.17041016,0.02288814,0.01117487,1.16333199,0.10571127
31,8.40475750,8.09324169,311.47967529,0.02446425,0.01141926,1.16930604,0.10686095
32,8.35220814,8.03812885,314.04241943,0.02609452,0.01163828,1.17531705,0.10788084
33,8.29949379,7.98354197,315.91271973,0.02777905,0.01183310,1.18136489,0.10878003
34,8.24661732,7.92942905,317.14599609,0.02951790,0.01200513,1.18744957,0.10956792
35,8.19358158,7.87573624,317.80102539,0.03131116,0.01215596,1.19357097,0.11025405
36,8.14039421,7.82241201,317.93634033,0.03315888,0.01228729,1.19972908,0.11084805
37,8.08705997,7.76940155,317.61102295,0.03506112,0.01240095,1.20592415,0.11135956
38,8.03359032,7.71665764,316.88302612,0.03701792,0.01249881,1.21215570,0.11179809
39,7.97998857,7.66412735,315.80990601,0.03902930,0.01258278,1.21842420,0.11217301
40,7.92626572,7.61176586,314.44616699,0.04109531,0.01265477,1.22472930,0.11249344
41,7.87242842,7.55952835,312.84399414,0.04321596,0.01271667,1.23107100,0.11276822
42,7.81848145,7.50737047,311.05285645,0.04539127,0.01277031,1.23744929,0.11300582
43,7.76443195,7.45525312,309.11831665,0.04762124,0.01281748,1.24386430,0.11321432
44,7.71028280,7.40313721,307.08258057,0.04990590,0.01285987,1.25031602,0.11340138
45,7.65604067,7.35099077,304.98474121,0.05224525,0.01289909,1.25680435,0.11357415
46,7.60170937,7.29878092,302.86062622,0.05463929,0.01293663,1.26332927,0.11373932
47,7.54728985,7.24647903,300.74066162,0.05708803,0.01297391,1.26989090,0.11390305
48,7.49278402,7.19405794,298.65380859,0.05959147,0.01301219,1.27648938,0.11407097
49,7.43819666,7.14149857,296.62338257,0.06214961,0.01305265,1.28312457,0.11424817
50,7.38352680,7.08877802,294.67114258,0.06476244,0.01309633,1.28979683,0.11443919
51,7.32877827,7.03588343,292.81442261,0.06742997,0.01314417,1.29650581,0.11464804
52,7.27394915,6.98279810,291.06756592,0.07015221,0.01319700,1.30325198,0.11487820
53,7.21904135,6.92951250,289.44235229,0.07292915,0.01325552,1.31003523,0.11513261
54,7.16405582,6.87601900,287.94778442,0.07576080,0.01332033,1.31685567,0.11541372
55,7.10899401,6.82231140,286.59054565,0.07864714,0.01339193,1.32371342,0.11572350
56,7.05385637,6.76838732,285.37423706,0.08158820,0.01347073,1.33060861,0.11606345
57,6.99864292,6.71424389,284.30111694,0.08458395,0.01355703,1.33754146,0.11643464
58,6.94335842,6.65988588,283.37106323,0.08763441,0.01365105,1.34451199,0.11683772
59,6.88800001,6.60531282,282.58291626,0.09073956,0.01375295,1.35152030,0.11727297
60,6.83257389,6.55053234,281.93368530,0.09389941,0.01386278,1.35856652,0.11774032
61,6.77708006,6.49554968,281.41912842,0.09711393,0.01398055,1.36565077,0.11823940
62,6.72152233,6.44037342,281.03378296,0.10038313,0.01410620,1.37277317,0.11876952
63,6.66589928,6.38501024,280.77136230,0.10370699,0.01423960,1.37993407,0.11932978
64,6.61021948,6.32947302,280.62475586,0.10708548,0.01438057,1.38713324,0.11991903
65,6.55448341,6.27377224,280.58618164,0.11051860,0.01452891,1.39437091,0.12053595
66,6.49869442,6.21791792,280.64767456,0.11400632,0.01468436,1.40164733,0.12117904
67,6.44285536,6.16192245,280.80041504,0.11754859,0.01484662,1.40896261,0.12184669
68,6.38697338,6.10580206,281.03552246,0.12114542,0.01501536,1.41631651,0.12253718
69,6.33104897,6.04956436,281.34445190,0.12479672,0.01519025,1.42370951,0.12324872
70,6.27508640,5.99322557,281.71746826,0.12850247,0.01537090,1.43114161,0.12397945
71,6.21909332,5.93679905,282.14630127,0.13226260,0.01555695,1.43861282,0.12472749
72,6.16307116,5.88029766,282.62182617,0.13607705,0.01574798,1.44612312,0.12549095
73,6.10702515,5.82373381,283.13565063,0.13994578,0.01594359,1.45367265,0.12626794
74,6.05095959,5.76712036,283.67904663,0.14386864,0.01614338,1.46126163,0.12705660
75,5.99487829,5.71047020,284.24401855,0.14784564,0.01634693,1.46889007,0.12785511
76,5.93878889,5.65379715,284.82305908,0.15187661,0.01655383,1.47655773,0.12866168
77,5.88269281,5.59711123,285.40893555,0.15596147,0.01676367,1.48426485,0.12947460
78,5.82659864,5.54042721,285.99401855,0.16010010,0.01697606,1.49201131,0.13029222
79,5.77050686,5.48375225,286.57284546,0.16429241,0.01719061,1.49979734,0.13111298
80,5.71442318,5.42709923,287.13809204,0.16853823,0.01740695,1.50762284,0.13193539
81,5.65835619,5.37048006,287.68582153,0.17283745,0.01762470,1.51548755,0.13275804
82,5.60230732,5.31390333,288.20898438,0.17718989,0.01784351,1.52339184,0.13357961
83,5.54628325,5.25737906,288.70458984,0.18159541,0.01806306,1.53133535,0.13439889
84,5.49028826,5.20091629,289.16766357,0.18605381,0.01828303,1.53931820,0.13521475
85,5.43432808,5.14452457,289.59436035,0.19056495,0.01850310,1.54734027,0.13602611
86,5.37840843,5.08821344,289.98144531,0.19512857,0.01872301,1.55540133,0.13683206
87,5.32253408,5.03198862,290.32653809,0.19974452,0.01894248,1.56350148,0.13763170
88,5.26670790,4.97585773,290.62643433,0.20441255,0.01916127,1.57164073,0.13842425
89,5.21094036,4.91983128,290.88006592,0.20913245,0.01937915,1.57981849,0.13920900
90,5.15523148,4.86391354,291.08416748,0.21390396,0.01959589,1.58803523,0.13998534
91,5.09959030,4.80811262,291.23883057,0.21872684,0.01981132,1.59629035,0.14075269
92,5.04402018,4.75243568,291.34097290,0.22360085,0.02002524,1.60458398,0.14151056
93,4.98852825,4.69688797,291.39196777,0.22852567,0.02023749,1.61291575,0.14225852
94,4.93311977,4.64147520,291.39025879,0.23350103,0.02044792,1.62128580,0.14299622
95,4.87780046,4.58620691,291.33462524,0.23852666,0.02065639,1.62969339,0.14372332
96,4.82257605,4.53108501,291.22628784,0.24360220,0.02086279,1.63813877,0.14443956
97,4.76745081,4.47611570,291.06524658,0.24872737,0.02106699,1.64662170,0.14514472
98,4.71243191,4.42130613,290.85073853,0.25390181,0.02126890,1.65514183,0.14583860
