iter,total,prior_raw,prior_scaled,contact_raw,contact_scaled,dynamics_raw,dynamics_scaled,penetration_raw,penetration_scaled,smooth_raw,smooth_scaled,human_prior_raw,human_prior_scaled,human_smooth_raw,human_smooth_scaled,human_mask_2d_raw,human_mask_2d_scaled,object_mask_2d_raw,object_mask_2d_scaled,object_part_mask_2d_raw,object_part_mask_2d_scaled,object_scale_reg_raw,object_scale_reg_scaled
0,0.9813954830169678,0.0,0.0,0.002945162821561098,0.5890325903892517,0.0001544444530736655,0.02316666767001152,0.0,0.0,0.01818649098277092,0.3637298345565796,0.0,0.0,0.0,0.0,2.4078241040115245e-05,0.0009631296270526946,1.5718733266112395e-05,0.0009431240032427013,2.966777356050443e-05,0.0035601328127086163,0.0,0.0
25,0.44450193643569946,9.779807442100719e-05,0.001955961575731635,0.0005269109387882054,0.10538218915462494,3.1182287784758955e-05,0.0046773431822657585,7.793142685841303e-06,0.00015586285735480487,0.015386966988444328,0.30773934721946716,0.00014552479842677712,0.014552479609847069,1.7614027456147596e-05,0.0005284208455123007,3.1446877983398736e-05,0.0012578751193359494,2.5820510927587748e-05,0.0015492306556552649,5.292263813316822e-05,0.0063507165759801865,1.1750354133255314e-05,0.00035251062945462763
50,0.3621910512447357,0.00021917078993283212,0.004383415915071964,0.00028264845605008304,0.0565296895802021,1.7166319594252855e-05,0.0025749478954821825,8.36640265333699e-06,0.000167328049428761,0.013560919091105461,0.2712183892726898,0.00018626623204909265,0.0186266228556633,1.464065098844003e-05,0.00043921952601522207,3.2255298719974235e-05,0.001290211919695139,2.0635348846553825e-05,0.0012381209526211023,4.237004031892866e-05,0.005084404721856117,2.1291258235578425e-05,0.0006387377507053316
75,0.3284677267074585,0.0003681519301608205,0.00736303860321641,0.00023550073092337698,0.04710014536976814,1.4339379049488343e-05,0.0021509069483727217,1.1307671229587868e-05,0.00022615342459175736,0.012282002717256546,0.24564005434513092,0.00017570114869158715,0.017570115625858307,1.1488416930660605e-05,0.00034465250791981816,3.005913458764553e-05,0.0012023653835058212,1.9667721062432975e-05,0.001180063234642148,4.107065251446329e-05,0.004928478505462408,2.5391182134626433e-05,0.0007617354858666658
100,0.3063185513019562,0.0005394082982093096,0.010788165964186192,0.00021908292546868324,0.04381658509373665,1.3780188965029083e-05,0.002067028312012553,1.2847105608670972e-05,0.00025694211944937706,0.011268033646047115,0.2253606766462326,0.00015703875396866351,0.015703875571489334,9.261576451535802e-06,0.00027784728445112705,2.873135235859081e-05,0.0011492541525512934,1.970155062736012e-05,0.0011820930521935225,4.052979056723416e-05,0.004863575100898743,2.841664172592573e-05,0.0008524992736056447
125,0.2896451950073242,0.0007187289884313941,0.01437458023428917,0.00020989043696317822,0.04197808727622032,1.1783160516642965e-05,0.001767474110238254,1.4915914107405115e-05,0.0002983182785101235,0.010460306890308857,0.20920613408088684,0.00013759115245193243,0.01375911571085453,7.786325113556813e-06,0.00023358975886367261,2.7886449970537797e-05,0.0011154579697176814,1.9626015273388475e-05,0.001177560887299478,4.0122151403920725e-05,0.004814658313989639,3.067437501158565e-05,0.0009202312212437391
150,0.2764143645763397,0.0008961025741882622,0.0179220512509346,0.00020497945661190897,0.04099589213728905,1.071294718713034e-05,0.001606942038051784,1.5353252820204943e-05,0.00030706505640409887,0.009771420620381832,0.19542841613292694,0.00011928324238397181,0.011928324587643147,7.2814505074347835e-06,0.0002184435143135488,2.7274754756945185e-05,0.0010909901466220617,1.9682147467392497e-05,0.001180928898975253,3.977023152401671e-05,0.004772427957504988,3.2096544600790367e-05,0.0009628963307477534
175,0.2661457657814026,0.0010665421141311526,0.02133084274828434,0.00020246472558937967,0.040492944419384,9.941038115357514e-06,0.0014911557082086802,1.6479621990583837e-05,0.00032959243981167674,0.00919878389686346,0.1839756816625595,0.0001030460189213045,0.010304601863026619,6.78136029819143e-06,0.0002034408098552376,2.6834502932615578e-05,0.0010733801173046231,1.9654402422020212e-05,0.001179264159873128,3.9609043597010896e-05,0.004753085318952799,3.372490027686581e-05,0.00101174705196172
200,0.258005827665329,0.0012292301980778575,0.024584604427218437,0.00019939968478865921,0.0398799367249012,9.975648026738781e-06,0.0014963472494855523,1.667897595325485e-05,0.000333579519065097,0.008724357932806015,0.1744871586561203,9.036027040565386e-05,0.009036026895046234,6.375803422997706e-06,0.00019127409905195236,2.647636938490905e-05,0.0010590547462925315,1.9416816940065473e-05,0.001165008987300098,3.91404792026151e-05,0.004696857649832964,3.586699313018471e-05,0.0010760098230093718
225,0.25156712532043457,0.0013826354406774044,0.027652708813548088,0.00019744485325645655,0.03948897123336792,9.859299098025076e-06,0.0014788948465138674,1.770480230334215e-05,0.0003540960606187582,0.008320840075612068,0.16641679406166077,8.015849016373977e-05,0.008015848696231842,6.060947271180339e-06,0.00018182842177338898,2.6156820240430534e-05,0.0010462728096172214,1.9327366317156702e-05,0.0011596420081332326,3.8853799196658656e-05,0.00466245599091053,3.6988083593314514e-05,0.0011096425587311387
