iter,stage,total,prior_raw,prior_scaled,contact_raw,contact_scaled,dynamics_raw,dynamics_scaled,penetration_raw,penetration_scaled,smooth_raw,smooth_scaled
0,adam,1.014162302017212,0.0,0.0,0.0030585704371333122,0.6117140650749207,0.00017061833932530135,0.025592751801013947,0.0,0.0,0.018842777237296104,0.3768555521965027
25,adam,0.6067582368850708,0.0001309105718974024,0.0032727643847465515,0.0013511645374819636,0.2702329158782959,6.600369670195505e-05,0.009900554083287716,4.6042114263400435e-05,0.0009208422852680087,0.016121558845043182,0.32243117690086365
50,adam,0.4546937942504883,0.00030945977778173983,0.0077364942990243435,0.0007748084608465433,0.1549616903066635,3.624129021773115e-05,0.005436193663626909,7.556461787316948e-05,0.0015112922992557287,0.014252406544983387,0.28504812717437744
75,adam,0.3791966140270233,0.0005060685216449201,0.012651712633669376,0.0005111076752655208,0.1022215336561203,2.608602517284453e-05,0.00391290383413434,8.285239164251834e-05,0.001657047774642706,0.012937670573592186,0.2587534189224243
100,adam,0.3370247483253479,0.0007027978426776826,0.017569946125149727,0.000377576652681455,0.07551532983779907,2.224193849542644e-05,0.003336290828883648,9.008831693790853e-05,0.0018017663387581706,0.011940070427954197,0.23880140483379364
125,adam,0.31095224618911743,0.0008875335333868861,0.0221883375197649,0.00030730629805475473,0.06146125867962837,2.0958610548404977e-05,0.003143791574984789,9.433316154172644e-05,0.0018866632599383593,0.011113610118627548,0.22227220237255096
150,adam,0.29360029101371765,0.0010593243641778827,0.02648310922086239,0.00026819045888260007,0.053638093173503876,1.8665594325284474e-05,0.002799839247018099,9.645848331274465e-05,0.0019291696371510625,0.010437503457069397,0.20875006914138794
175,adam,0.28165656328201294,0.001210491289384663,0.030262282118201256,0.0002459992829244584,0.04919985681772232,1.7331960407318547e-05,0.002599793951958418,0.00010749392095021904,0.0021498785354197025,0.009872237220406532,0.19744473695755005
200,adam,0.2733335494995117,0.0013481369242072105,0.03370342403650284,0.0002339200145797804,0.04678400233387947,1.7002135791699402e-05,0.002550320466980338,0.00011942924174945801,0.002388584893196821,0.009395361877977848,0.18790723383426666
225,adam,0.26693031191825867,0.0014764320803806186,0.036910802125930786,0.00022661828552372754,0.04532365873456001,1.667706783337053e-05,0.00250156014226377,0.00012139857426518574,0.0024279714561998844,0.008988316170871258,0.17976632714271545
250,adam,0.2620602250099182,0.0015923769678920507,0.03980942443013191,0.00022136842017062008,0.04427368566393852,1.6271218555630185e-05,0.0024406828451901674,0.0001351919781882316,0.00270383944734931,0.008641628548502922,0.17283257842063904
275,adam,0.2584550976753235,0.0016992464661598206,0.042481161653995514,0.00021809617464896291,0.04361923411488533,1.6591806343058124e-05,0.0024887709878385067,0.00014433370961342007,0.0028866741340607405,0.008348963223397732,0.16697926819324493
300,adam,0.2557300329208374,0.0017977200914174318,0.04494300112128258,0.00021557527361437678,0.043115053325891495,1.6469264664920047e-05,0.0024703897070139647,0.00015702497330494225,0.003140499349683523,0.008103054016828537,0.16206108033657074
325,adam,0.25356265902519226,0.0018857803661376238,0.047144509851932526,0.0002131835208274424,0.042636703699827194,1.4995660421845969e-05,0.0022493491414934397,0.0001681444700807333,0.003362889401614666,0.007908460684120655,0.1581692099571228
