iter,total,tracking_weight,tracking_raw,tracking_scaled,object_cd2d_weight,object_cd2d_raw,object_cd2d_scaled,object_part_cd2d_weight,object_part_cd2d_raw,object_part_cd2d_scaled,object_smooth_trans_weight,object_smooth_trans_raw,object_smooth_trans_scaled,object_smooth_rot_weight,object_smooth_rot_raw,object_smooth_rot_scaled,object_scale_weight,object_scale_raw,object_scale_scaled,intersect_weight,intersect_raw,intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,contact_drift_weight,contact_drift_raw,contact_drift_scaled
0,49.569061279296875,20.0,0.0,0.0,0.0001,198.04867553710938,0.01980486698448658,0.0001,228.82177734375,0.02288217656314373,1000.0,7.727122283540666e-05,0.0772712230682373,1000.0,9.944335943146143e-06,0.00994433555752039,1.0,0.0,0.0,0.0,0.00019702980353031307,0.0,1000.0,0.04943889379501343,49.43889236450195,10.0,2.6694533517002128e-05,0.0002669453388080001
25,19.953079223632812,20.0,0.00036894052755087614,0.007378810551017523,0.0001,92.32157897949219,0.009232157841324806,0.0001,113.99114227294922,0.011399113573133945,1000.0,7.602206460433081e-05,0.07602206617593765,1000.0,1.3331326954357792e-05,0.01333132665604353,1.0,0.0,0.0,0.05,0.006092244293540716,0.0003046122146770358,1000.0,0.019835008308291435,19.83500862121582,14.95,2.6942367185256444e-05,0.00040278839878737926
50,6.144048690795898,20.0,0.0009422300499863923,0.0188446007668972,0.0001,79.00377655029297,0.007900377735495567,0.0001,129.35684204101562,0.012935684062540531,1000.0,5.849936860613525e-05,0.05849936977028847,1000.0,1.3937006769992877e-05,0.013937006704509258,1.0,0.0,0.0,0.1,0.005550613161176443,0.0005550613277591765,1000.0,0.0060309432446956635,6.030943393707275,19.9,2.1753678083769046e-05,0.0004328981740400195
75,4.020852565765381,20.0,0.0014336246531456709,0.028672493994235992,0.0001,102.91785430908203,0.01029178500175476,0.0001,189.65792846679688,0.018965791910886765,1000.0,2.609784496598877e-05,0.026097845286130905,1000.0,1.3792712707072496e-05,0.013792712241411209,1.0,0.0,0.0,0.15,0.005478383041918278,0.000821757479570806,1000.0,0.0039217835292220116,3.921783447265625,24.85,1.716677434160374e-05,0.0004265943425707519
100,3.884464979171753,20.0,0.0015024049207568169,0.030048098415136337,0.0001,101.3298568725586,0.010132985189557076,0.0001,185.03524780273438,0.018503524363040924,1000.0,2.398010292381514e-05,0.02398010343313217,1000.0,7.846069820516277e-06,0.007846069522202015,1.0,0.0,0.0,0.2,0.00537819042801857,0.0010756381088867784,1000.0,0.0037924160715192556,3.7924160957336426,29.8,1.552005051053129e-05,0.0004624974972102791
125,3.8676023483276367,20.0,0.0014302837662398815,0.02860567532479763,0.0001,100.77571105957031,0.01007757056504488,0.0001,183.69125366210938,0.018369125202298164,1000.0,1.4912650840415154e-05,0.014912650920450687,1000.0,5.864086688234238e-06,0.00586408656090498,1.0,0.0,0.0,0.25,0.005400095134973526,0.0013500237837433815,1000.0,0.0037878721486777067,3.787872076034546,34.75,1.5864643501117826e-05,0.0005512963398359716
150,3.8588905334472656,20.0,0.00137653190176934,0.027530638501048088,0.0001,100.97434997558594,0.010097434744238853,0.0001,184.2218475341797,0.018422184512019157,1000.0,1.463454191252822e-05,0.014634542167186737,1000.0,5.3794246923644096e-06,0.005379424896091223,1.0,0.0,0.0,0.3,0.005399810150265694,0.0016199430683627725,1000.0,0.003780576167628169,3.780576229095459,39.7,1.587500810273923e-05,0.0006302378606051207
175,3.85037899017334,20.0,0.0013229302130639553,0.026458604261279106,0.0001,101.2982177734375,0.010129821486771107,0.0001,184.99267578125,0.018499266356229782,1000.0,1.445104498998262e-05,0.014451044611632824,1000.0,5.331880402081879e-06,0.005331880412995815,1.0,0.0,0.0,0.35,0.0053994422778487206,0.001889804727397859,1000.0,0.0037729113828390837,3.772911310195923,44.65,1.5835572412470356e-05,0.0007070583524182439
200,3.841750383377075,20.0,0.00126749521587044,0.025349903851747513,0.0001,101.58993530273438,0.010158993303775787,0.0001,185.64862060546875,0.0185648612678051,1000.0,1.4106335584074259e-05,0.014106335118412971,1000.0,5.326009159034584e-06,0.005326009355485439,1.0,0.0,0.0,0.4,0.005393359810113907,0.00215734401717782,1000.0,0.0037652996834367514,3.7652997970581055,49.6,1.5868141417740844e-05,0.0007870597764849663
225,3.832885265350342,20.0,0.001213736250065267,0.02427472546696663,0.0001,101.91490173339844,0.010191489942371845,0.0001,186.35101318359375,0.0186351016163826,1000.0,1.3970549844088964e-05,0.013970550149679184,1000.0,5.2909995247318875e-06,0.0052909995429217815,1.0,0.0,0.0,0.45,0.0053885807283222675,0.002424861304461956,1000.0,0.003757230704650283,3.757230758666992,54.55,1.5890964277787134e-05,0.0008668520604260266
250,3.823838472366333,20.0,0.0011619587894529104,0.023239176720380783,0.0001,102.25015258789062,0.010225014761090279,0.0001,187.05145263671875,0.01870514452457428,1000.0,1.3899225450586528e-05,0.013899225741624832,1000.0,5.306922957970528e-06,0.00530692283064127,1.0,0.0,0.0,0.5,0.005393939558416605,0.0026969697792083025,1000.0,0.0037488217931240797,3.74882173538208,59.5,1.58708371600369e-05,0.000944314815569669
275,3.814563512802124,20.0,0.0011126184836030006,0.022252369672060013,0.0001,102.60992431640625,0.010260991752147675,0.0001,187.7713165283203,0.018777132034301758,1000.0,1.3861847946827766e-05,0.013861848041415215,1000.0,5.293885806167964e-06,0.005293885711580515,1.0,0.0,0.0,0.55,0.005377194844186306,0.002957457210868597,1000.0,0.003740135580301285,3.740135669708252,64.45,1.5893187082838267e-05,0.001024315832182765
300,3.8053207397460938,20.0,0.0010664131259545684,0.021328262984752655,0.0001,102.97689819335938,0.010297689586877823,0.0001,188.48162841796875,0.01884816214442253,1000.0,1.3889301953895483e-05,0.01388930156826973,1000.0,5.374027296056738e-06,0.005374027416110039,1.0,0.0,0.0,0.6,0.005395719315856695,0.003237431636080146,1000.0,0.003731235396116972,3.7312355041503906,69.4,1.600007453816943e-05,0.001110405195504427
325,3.7957723140716553,20.0,0.0010237902170047164,0.020475804805755615,0.0001,103.36140441894531,0.010336140170693398,0.0001,189.2086181640625,0.018920861184597015,1000.0,1.390302259096643e-05,0.01390302274376154,1000.0,5.3610283430316485e-06,0.005361028481274843,1.0,0.0,0.0,0.65,0.00538569875061512,0.0035007039550691843,1000.0,0.0037220818921923637,3.7220818996429443,74.35,1.6042249626480043e-05,0.0011927412124350667
350,3.7860100269317627,20.0,0.000985127640888095,0.019702553749084473,0.0001,103.7342529296875,0.010373424738645554,0.0001,189.9117431640625,0.018991174176335335,1000.0,1.3834838682669215e-05,0.013834838755428791,1000.0,5.301041255734162e-06,0.005301041062921286,1.0,0.0,0.0,0.7,0.0053822980262339115,0.003767608664929867,1000.0,0.0037127695977687836,3.7127695083618164,79.3,1.6012172636692412e-05,0.0012697653146460652
375,3.776320695877075,20.0,0.0009508841903880239,0.01901768334209919,0.0001,104.10857391357422,0.010410857386887074,0.0001,190.60360717773438,0.01906036026775837,1000.0,1.3812380529998336e-05,0.013812380842864513,1000.0,5.3511953410634305e-06,0.005351195111870766,1.0,0.0,0.0,0.75,0.005375663284212351,0.004031747579574585,1000.0,0.0037032905966043472,3.7032907009124756,84.25,1.5974977941368707e-05,0.001345891854725778
400,3.766639232635498,20.0,0.0009215269819833338,0.018430540338158607,0.0001,104.49266815185547,0.010449266992509365,0.0001,191.28311157226562,0.019128311425447464,1000.0,1.3809389201924205e-05,0.013809389434754848,1000.0,5.372213308874052e-06,0.005372213199734688,1.0,0.0,0.0,0.8,0.0053774709813296795,0.004301976878196001,1000.0,0.0036937142722308636,3.6937143802642822,89.2,1.606532714504283e-05,0.0014330270932987332
425,3.7568438053131104,20.0,0.0008972767391242087,0.017945535480976105,0.0001,104.87479400634766,0.010487479157745838,0.0001,191.95193481445312,0.0191951934248209,1000.0,1.3827211660100147e-05,0.01382721122354269,1000.0,5.349366347218165e-06,0.005349366459995508,1.0,0.0,0.0,0.85,0.005366534925997257,0.00456155464053154,1000.0,0.003683968912810087,3.683969020843506,94.15,1.6021409464883618e-05,0.0015084156766533852
450,3.7472193241119385,20.0,0.0008786988910287619,0.017573978751897812,0.0001,105.27964782714844,0.010527964681386948,0.0001,192.65240478515625,0.01926524005830288,1000.0,1.3819556443195324e-05,0.013819556683301926,1000.0,5.42263387615094e-06,0.005422634072601795,1.0,0.0,0.0,0.9,0.005391573067754507,0.004852415528148413,1000.0,0.003674156963825226,3.674156904220581,99.1,1.6152021999005228e-05,0.001600665389560163
475,3.7374300956726074,20.0,0.0008656741119921207,0.017313482239842415,0.0001,105.68762969970703,0.010568763129413128,0.0001,193.36456298828125,0.019336456432938576,1000.0,1.378956949338317e-05,0.013789569959044456,1000.0,5.387485089158872e-06,0.005387485027313232,1.0,0.0,0.0,0.95,0.005381871946156025,0.005112778395414352,1000.0,0.003664253978058696,3.6642539501190186,104.05,1.6026551747927442e-05,0.0016675627557560802
500,3.7278778553009033,20.0,0.0008582292939536273,0.01716458611190319,0.0001,105.96224975585938,0.010596225038170815,0.0001,193.8670654296875,0.01938670687377453,1000.0,1.3820040294376668e-05,0.013820040039718151,1000.0,5.445410351967439e-06,0.005445410497486591,1.0,0.0,0.0,1.0,0.0053613330237567425,0.0053613330237567425,1000.0,0.003654347499832511,3.6543474197387695,109.0,1.6112298908410594e-05,0.001756240613758564
525,3.718271017074585,20.0,0.0008567271870560944,0.017134543508291245,0.0001,106.30598449707031,0.010630598291754723,0.0001,194.4816436767578,0.019448162987828255,1000.0,1.3765174116997514e-05,0.013765173964202404,1000.0,5.412899099610513e-06,0.00541289895772934,1.0,0.0,0.0,1.05,0.005361931398510933,0.005630027502775192,1000.0,0.00364442216232419,3.6444220542907715,113.95,1.603737473487854e-05,0.0018274588510394096
550,3.708888530731201,20.0,0.0008614028920419514,0.017228057608008385,0.0001,106.68885803222656,0.01066888589411974,0.0001,195.14984130859375,0.019514983519911766,1000.0,1.3754232895735186e-05,0.013754232786595821,1000.0,5.448158844956197e-06,0.005448158830404282,1.0,0.0,0.0,1.1,0.005360002629458904,0.005896002985537052,1000.0,0.003634462831541896,3.634462833404541,118.9,1.6110308934003115e-05,0.0019155157497152686
575,3.6996383666992188,20.0,0.0008723401115275919,0.01744680292904377,0.0001,107.08949279785156,0.010708948597311974,0.0001,195.8469696044922,0.019584696739912033,1000.0,1.3787644093099516e-05,0.013787643983960152,1000.0,5.4829156397318e-06,0.005482915788888931,1.0,0.0,0.0,1.15,0.005362396594136953,0.0061667561531066895,1000.0,0.0036244604270905256,3.624460458755493,123.85,1.6148571376106702e-05,0.00200000056065619
600,3.690469264984131,20.0,0.0008893534541130066,0.017787069082260132,0.0001,107.47804260253906,0.010747804306447506,0.0001,196.51025390625,0.019651025533676147,1000.0,1.3780620065517724e-05,0.013780619949102402,1000.0,5.463831257657148e-06,0.005463831126689911,1.0,0.0,0.0,1.2,0.005367242731153965,0.006440691649913788,1000.0,0.0036145139019936323,3.614513874053955,128.8,1.6181573300855234e-05,0.002084186766296625
625,3.681600570678711,20.0,0.0009123592171818018,0.01824718341231346,0.0001,107.8635025024414,0.010786349885165691,0.0001,197.15435791015625,0.019715435802936554,1000.0,1.3815710190101527e-05,0.013815710321068764,1000.0,5.537581273529213e-06,0.005537581164389849,1.0,0.0,0.0,1.25,0.0053817471489310265,0.006727184168994427,1000.0,0.003604594152420759,3.6045942306518555,133.75,1.6276080714305863e-05,0.0021769257728010416
