iter,stage,total,prior_raw,prior_scaled,contact_raw,contact_scaled,dynamics_raw,dynamics_scaled,penetration_raw,penetration_scaled,smooth_raw,smooth_scaled,human_prior_raw,human_prior_scaled,human_smooth_raw,human_smooth_scaled,human_mask_2d_raw,human_mask_2d_scaled,object_mask_2d_raw,object_mask_2d_scaled,object_part_mask_2d_raw,object_part_mask_2d_scaled,object_scale_reg_raw,object_scale_reg_scaled,time_contact_s,time_dynamics_s,time_penetration_s,time_mask2d_s,time_backward_s,time_total_iter_s
0,adam,77.01384735107422,0.0,0.0,0.3719378709793091,74.3875732421875,0.008569469675421715,1.2854204177856445,0.0,0.0,0.05081937089562416,0.6098324656486511,0.0,0.0,0.0,0.0,3.212603405700065e-05,0.0012850413331761956,0.0005414849147200584,0.032489094883203506,0.005810439120978117,0.6972526907920837,0.0,0.0,0.024729784578084946,0.0010176077485084534,0.04372201859951019,0.06600446626543999,0.6145870685577393,1.170283742249012
25,adam,40.18006134033203,0.0005026973085477948,0.010053945705294609,0.19090630114078522,38.18125915527344,0.005940390285104513,0.8910585641860962,5.88984512432944e-05,0.0011779690394178033,0.05121389776468277,0.6145668029785156,0.000494313717354089,0.04943137243390083,0.00013317153207026422,0.003995146136730909,2.639520971570164e-05,0.0010558083886280656,0.0004407509113661945,0.0264450553804636,0.0033342670649290085,0.4001120328903198,3.014765570696909e-05,0.000904429645743221,0.001502394676208496,0.0007784552872180939,0.028413962572813034,0.01096317544579506,0.4402872920036316,0.7144651226699352
50,adam,20.067190170288086,0.0014175726100802422,0.028351452201604843,0.09157667309045792,18.31533432006836,0.004351561423391104,0.6527342200279236,0.00018352715414948761,0.0036705429665744305,0.05195697024464607,0.6234836578369141,0.0013900764752179384,0.13900764286518097,0.0002531080390326679,0.007593241054564714,2.7995993150398135e-05,0.0011198397260159254,0.0005857979413121939,0.03514787554740906,0.0021428430918604136,0.2571411728858948,0.0001202170315082185,0.0036065110471099615,0.001559089869260788,0.0007354021072387695,0.028930004686117172,0.011166773736476898,0.4407022297382355,0.7250855043530464
75,adam,9.262577056884766,0.002480848226696253,0.04961696267127991,0.0381038635969162,7.620772838592529,0.003015888622030616,0.45238327980041504,0.0002477469388395548,0.004954938776791096,0.05300197750329971,0.636023759841919,0.0023294282145798206,0.23294281959533691,0.00036978532443754375,0.011093559674918652,3.3764521504053846e-05,0.0013505808310583234,0.0007362252217717469,0.04417351260781288,0.0016748508205637336,0.20098209381103516,0.0002761121140792966,0.008283363655209541,0.0015919171273708344,0.0007835887372493744,0.028594601899385452,0.011054851114749908,0.44444572925567627,0.7209494598209858
100,adam,4.337234973907471,0.003569527994841337,0.0713905617594719,0.013791683129966259,2.7583365440368652,0.001758981728926301,0.2638472616672516,0.00034688482992351055,0.006937696598470211,0.05323773995041847,0.6388528943061829,0.0031318399123847485,0.31318399310112,0.00033666795934550464,0.010100038722157478,4.1923085518646985e-05,0.0016769233625382185,0.0009288756409659982,0.05573253706097603,0.0016799622680991888,0.2015954703092575,0.0005193774122744799,0.015581322833895683,0.0015676803886890411,0.0007406696677207947,0.029492296278476715,0.011063016951084137,0.4435933381319046,0.7221777364611626
125,adam,2.3842720985412598,0.004411414265632629,0.08822828531265259,0.004413085989654064,0.882617175579071,0.0008238162263296545,0.12357243150472641,0.00041503511602059007,0.008300702087581158,0.051626164466142654,0.619513988494873,0.00370863382704556,0.3708633780479431,0.00036988474312238395,0.011096542701125145,5.1916409574914724e-05,0.002076656324788928,0.0009056092239916325,0.0543365553021431,0.001649542711675167,0.19794511795043945,0.0008573796949349344,0.025721391662955284,0.0015767961740493774,0.0007782019674777985,0.02901477739214897,0.01112760603427887,0.48914701491594315,0.7800601497292519
150,adam,1.8023821115493774,0.00516229122877121,0.1032458245754242,0.0018866537138819695,0.3773307502269745,0.00033610002719797194,0.050415005534887314,0.0004198139940854162,0.008396279998123646,0.048861294984817505,0.5863355398178101,0.003883056342601776,0.3883056342601776,0.00033793103648349643,0.010137931443750858,5.678683373844251e-05,0.0022714734077453613,0.000885318499058485,0.05311910808086395,0.0015643653459846973,0.18772384524345398,0.001170022296719253,0.03510066866874695,0.0015476718544960022,0.0007750466465950012,0.029279515147209167,0.011128470301628113,0.449083786457777,0.7309225462377071
175,adam,1.6885466575622559,0.00563976401463151,0.11279527842998505,0.0016225744038820267,0.32451486587524414,0.00018534080300014466,0.027801120653748512,0.00043181664659641683,0.008636333048343658,0.04693964123725891,0.5632756948471069,0.0037109688855707645,0.3710968792438507,0.0002931800845544785,0.008795402944087982,5.548218177864328e-05,0.0022192872129380703,0.0008771111606620252,0.05262666940689087,0.0014932909980416298,0.17919492721557617,0.001253010705113411,0.03759032115340233,0.0015573836863040924,0.000755656510591507,0.02972915768623352,0.011128097772598267,0.458661038428545,0.7396630309522152
200,adam,1.6299464702606201,0.005978567060083151,0.11957134306430817,0.0015704359393566847,0.3140871822834015,0.00011549214832484722,0.017323821783065796,0.0004299716674722731,0.008599433116614819,0.04553826525807381,0.5464591979980469,0.0035163399297744036,0.3516339957714081,0.0002499959082342684,0.007499877363443375,5.2795505325775594e-05,0.0021118202712386847,0.0008697391021996737,0.052184347063302994,0.0014393562451004982,0.17272275686264038,0.0012584193609654903,0.037752579897642136,0.0015556588768959045,0.0007413923740386963,0.029028818011283875,0.01110503077507019,0.45438361540436745,0.7294768542051315
225,adam,1.58302640914917,0.0062651121988892555,0.1253022402524948,0.001503724604845047,0.3007449209690094,6.724047852912918e-05,0.01008607167750597,0.0004731192602775991,0.009462385438382626,0.044471096247434616,0.5336531400680542,0.0033788203727453947,0.33788204193115234,0.0002281356428284198,0.006844069343060255,5.043832788942382e-05,0.0020175331737846136,0.0008630326483398676,0.05178195983171463,0.0013964148238301277,0.16756978631019592,0.001256075338460505,0.03768226131796837,0.0015257708728313446,0.0007940679788589478,0.028262678533792496,0.010980293154716492,0.44389890134334564,0.7173783853650093
250,adam,1.5444848537445068,0.006527934689074755,0.13055869936943054,0.001437024911865592,0.28740498423576355,4.412349153426476e-05,0.006618523504585028,0.0005135653773322701,0.010271307080984116,0.043551623821258545,0.5226194858551025,0.0032426058314740658,0.3242605924606323,0.00021743349498137832,0.006523004733026028,4.8392470489488915e-05,0.0019356987904757261,0.0008718399330973625,0.05231039598584175,0.0013715391978621483,0.1645846962928772,0.0012465795734897256,0.037397388368844986,0.001792769879102707,0.0007890127599239349,0.03212928771972656,0.011042647063732147,0.4493258595466614,0.7329636514186859
275,adam,1.5200051069259644,0.006753843277692795,0.1350768655538559,0.0014271314721554518,0.2854262888431549,4.421672929311171e-05,0.006632509175688028,0.0006363712018355727,0.012727424502372742,0.04273361712694168,0.5128034353256226,0.003076117020100355,0.30761170387268066,0.00020618035341612995,0.0061854105442762375,4.621875996235758e-05,0.0018487503984943032,0.0008715406293049455,0.052292436361312866,0.0013529001735150814,0.16234801709651947,0.0012350743636488914,0.037052229046821594,0.0015024133026599884,0.0007778555154800415,0.028671137988567352,0.01107015460729599,0.44360946118831635,0.7190311662852764
300,adam,1.4984439611434937,0.006963416934013367,0.13926833868026733,0.0014254243578761816,0.28508487343788147,4.513898602453992e-05,0.0067708478309214115,0.0006230196449905634,0.012460392899811268,0.04202170670032501,0.5042604804039001,0.0029348123352974653,0.2934812307357788,0.00019630303722806275,0.005889091175049543,4.45128207502421e-05,0.0017805128591135144,0.0008711705449968576,0.05227023363113403,0.0013365724589675665,0.16038869321346283,0.0012263092212378979,0.03678927570581436,0.0014597401022911072,0.0007715001702308655,0.029204510152339935,0.011018775403499603,0.4493613839149475,0.7254183888435364
