frame_idx,tracking_weight,tracking_raw,tracking_scaled,object_cd2d_weight,object_cd2d_raw,object_cd2d_scaled,object_part_cd2d_weight,object_part_cd2d_raw,object_part_cd2d_scaled,object_smooth_trans_weight,object_smooth_trans_raw,object_smooth_trans_scaled,object_smooth_rot_weight,object_smooth_rot_raw,object_smooth_rot_scaled,intersect_weight,intersect_raw,intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,contact_drift_weight,contact_drift_raw,contact_drift_scaled,total_raw_local,total_scaled_local
0,20.0,0.0019319335697218776,0.03863866999745369,0.0001,495.33349609375,0.04953334853053093,0.0001,492.07177734375,0.0492071770131588,1000.0,0.0,0.0,1000.0,0.0,0.0,4.324,0.004233737476170063,0.018306680023670197,1000.0,0.0011461047688499093,1.1461048126220703,438.076,0.0,0.0,987.41259765625,1.301790714263916
1,20.0,0.0015960747841745615,0.031921494752168655,0.0001,525.310302734375,0.052531030029058456,0.0001,513.4613037109375,0.051346130669116974,1000.0,1.1176724910910707e-05,0.011176724918186665,1000.0,3.447382550803013e-05,0.03447382524609566,4.324,0.005160877481102943,0.022315634414553642,1000.0,0.0011094682849943638,1.1094683408737183,438.076,1.9708646505023353e-05,0.008633884601294994,1038.7794189453125,1.3218669891357422
2,20.0,0.0013129659928381443,0.026259319856762886,0.0001,559.0701904296875,0.05590701848268509,0.0001,568.868408203125,0.05688684061169624,1000.0,2.967266254927381e-06,0.0029672663658857346,1000.0,5.4404561524279416e-05,0.05440456047654152,4.324,0.0048544448800385,0.02099061943590641,1000.0,0.00107048568315804,1.0704857110977173,438.076,2.0860901713604107e-05,0.009138660505414009,1127.9459228515625,1.2970401048660278
3,20.0,0.001068329089321196,0.021366581320762634,0.0001,560.19580078125,0.056019578129053116,0.0001,585.868408203125,0.05858683958649635,1000.0,2.703732934605796e-05,0.027037329971790314,1000.0,0.0001780260936357081,0.17802609503269196,4.324,0.004553068429231644,0.01968746818602085,1000.0,0.0010257747489959002,1.0257747173309326,438.076,2.5373907192260958e-05,0.01111569907516241,1146.0709228515625,1.3976143598556519
4,20.0,0.000836383318528533,0.016727667301893234,0.0001,579.8428955078125,0.05798428878188133,0.0001,687.4261474609375,0.06874261051416397,1000.0,1.9013766632269835e-06,0.0019013766432181,1000.0,0.00013275725359562784,0.1327572464942932,4.324,0.004510678816586733,0.01950417459011078,1000.0,0.0009803349385038018,0.9803349375724792,438.076,3.933417610824108e-05,0.017231358215212822,1267.2755126953125,1.2951836585998535
5,20.0,0.0006476480048149824,0.012952960096299648,0.0001,566.534912109375,0.05665348842740059,0.0001,689.7386474609375,0.06897386163473129,1000.0,9.404723186889896e-07,0.0009404722950421274,1000.0,0.0002856869250535965,0.2856869101524353,4.324,0.0047952705062925816,0.020734749734401703,1000.0,0.0009536847937852144,0.9536848068237305,438.076,1.093029095500242e-05,0.004788298159837723,1256.2801513671875,1.404415488243103
6,20.0,0.0005235166172496974,0.010470332577824593,0.0001,565.3174438476562,0.056531742215156555,0.0001,728.3193969726562,0.07283193618059158,1000.0,3.992244273831602e-06,0.0039922441355884075,1000.0,0.00033146727946586907,0.33146727085113525,4.324,0.004298641812056303,0.018587326630949974,1000.0,0.0009242553496733308,0.92425537109375,438.076,2.21350619540317e-05,0.00969683937728405,1293.64306640625,1.427833080291748
7,20.0,0.0004559997178148478,0.009119994007050991,0.0001,571.2689819335938,0.05712689831852913,0.0001,741.702880859375,0.07417028397321701,1000.0,8.939653071138309e-07,0.0008939653052948415,1000.0,0.0004919431521557271,0.4919431507587433,4.324,0.004173078574240208,0.01804439164698124,1000.0,0.0009065234917216003,0.9065234661102295,438.076,2.36831638176227e-05,0.010375025682151318,1312.977783203125,1.568197250366211
8,20.0,0.0004242895811330527,0.008485791273415089,0.0001,563.7525634765625,0.056375253945589066,0.0001,727.6326293945312,0.07276326417922974,1000.0,1.1850042938021943e-05,0.011850043199956417,1000.0,0.0004521044611465186,0.45210444927215576,4.324,0.004509338643401861,0.01949837990105152,1000.0,0.0009000409627333283,0.9000409841537476,438.076,1.0478604963282123e-05,0.0045904251746833324,1291.3914794921875,1.525708556175232
9,20.0,0.0003998911415692419,0.00799782294780016,0.0001,537.0909423828125,0.05370909348130226,0.0001,682.8443603515625,0.06828443706035614,1000.0,5.208777338339132e-07,0.0005208777147345245,1000.0,0.0006236595218069851,0.6236595511436462,4.324,0.0047848341055214405,0.020689621567726135,1000.0,0.0008730035042390227,0.8730034828186035,438.076,1.4426352208829485e-05,0.00631983857601881,1219.9420166015625,1.6541846990585327
