iter,total,tracking_weight,tracking_raw,tracking_scaled,object_cd2d_weight,object_cd2d_raw,object_cd2d_scaled,object_part_cd2d_weight,object_part_cd2d_raw,object_part_cd2d_scaled,object_smooth_trans_weight,object_smooth_trans_raw,object_smooth_trans_scaled,object_smooth_rot_weight,object_smooth_rot_raw,object_smooth_rot_scaled,object_scale_weight,object_scale_raw,object_scale_scaled,intersect_weight,intersect_raw,intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,contact_drift_weight,contact_drift_raw,contact_drift_scaled
0,325.509521484375,20.0,0.0,0.0,0.0001,367.82769775390625,0.03678276762366295,0.0001,2624.54931640625,0.26245492696762085,1000.0,0.0006408828194253147,0.6408827900886536,1000.0,0.045931801199913025,45.931800842285156,1.0,0.0,0.0,0.0,0.005055923480540514,0.0,1000.0,0.2785135507583618,278.5135498046875,10.0,0.012406175024807453,0.12406174838542938
25,209.66082763671875,20.0,0.0005191329983063042,0.01038265973329544,0.0001,322.88739013671875,0.03228873759508133,0.0001,1881.77490234375,0.18817748129367828,1000.0,0.0006633165176026523,0.6633164882659912,1000.0,0.04545842111110687,45.45841979980469,1.0,0.0,0.0,0.05,0.004857341758906841,0.00024286708503495902,1000.0,0.1631714552640915,163.17144775390625,14.95,0.009133744053542614,0.1365494728088379
50,141.64236450195312,20.0,0.0015001131687313318,0.030002262443304062,0.0001,414.9949035644531,0.041499488055706024,0.0001,1518.6151123046875,0.1518615037202835,1000.0,0.0006574768340215087,0.6574768424034119,1000.0,0.04525933042168617,45.25933074951172,1.0,0.0,0.0,0.1,0.00506533682346344,0.0005065337172709405,1000.0,0.09536987543106079,95.369873046875,19.9,0.0066231051459908485,0.13179978728294373
75,98.59061431884766,20.0,0.002821258269250393,0.05642516538500786,0.0001,552.1791381835938,0.055217914283275604,0.0001,1296.7659912109375,0.12967659533023834,1000.0,0.0006351507618092,0.6351507902145386,1000.0,0.044663213193416595,44.663211822509766,1.0,0.0,0.0,0.15,0.004799230024218559,0.0007198845269158483,1000.0,0.05293276906013489,52.932769775390625,24.85,0.0047259582206606865,0.11744006723165512
100,73.41691589355469,20.0,0.0046483976766467094,0.09296795725822449,0.0001,754.1519775390625,0.07541519403457642,0.0001,1289.62451171875,0.128962442278862,1000.0,0.0005943769938312471,0.5943769812583923,1000.0,0.04310678690671921,43.106788635253906,1.0,0.0,0.0,0.2,0.004805217031389475,0.000961043406277895,1000.0,0.029309136793017387,29.30913734436035,29.8,0.0036344619002193213,0.10830695927143097
125,59.273338317871094,20.0,0.006922516971826553,0.13845033943653107,0.0001,903.924560546875,0.09039245545864105,0.0001,1291.5205078125,0.12915204465389252,1000.0,0.0005548993940465152,0.5548993945121765,1000.0,0.040794793516397476,40.79479217529297,1.0,0.0,0.0,0.25,0.004750036168843508,0.001187509042210877,1000.0,0.01745479367673397,17.45479393005371,34.75,0.003156058955937624,0.10967304557561874
150,50.47935485839844,20.0,0.009610503911972046,0.19221007823944092,0.0001,1011.9077758789062,0.10119077563285828,0.0001,1277.86474609375,0.12778647243976593,1000.0,0.0005125258467160165,0.5125258564949036,1000.0,0.0382714569568634,38.27145767211914,1.0,0.0,0.0,0.3,0.004542355425655842,0.001362706650979817,1000.0,0.0111506013199687,11.150601387023926,39.7,0.003078632755205035,0.12222172319889069
175,44.226478576660156,20.0,0.012889879755675793,0.25779759883880615,0.0001,1099.0316162109375,0.10990315675735474,0.0001,1292.7845458984375,0.12927845120429993,1000.0,0.0004796412249561399,0.47964122891426086,1000.0,0.03582890331745148,35.82890319824219,1.0,0.0,0.0,0.35,0.00457348395138979,0.0016007194062694907,1000.0,0.00728129968047142,7.281299591064453,44.65,0.003091925522312522,0.1380544751882553
200,39.55809020996094,20.0,0.01707571931183338,0.34151437878608704,0.0001,1224.69677734375,0.12246967107057571,0.0001,1343.559814453125,0.13435597717761993,1000.0,0.000450373743660748,0.45037373900413513,1000.0,0.033532384783029556,33.53238296508789,1.0,0.0,0.0,0.4,0.004688142798841,0.0018752571195363998,1000.0,0.0048217796720564365,4.821779727935791,49.6,0.0030914763920009136,0.15333722531795502
225,35.979549407958984,20.0,0.022211000323295593,0.44422000646591187,0.0001,1306.5343017578125,0.13065342605113983,0.0001,1381.7412109375,0.1381741166114807,1000.0,0.0004206520097795874,0.42065200209617615,1000.0,0.03127831965684891,31.2783203125,1.0,0.0,0.0,0.45,0.004598882980644703,0.002069497248157859,1000.0,0.0033990428782999516,3.399042844772339,54.55,0.0030506157781928778,0.16641108691692352
