iter,stage,total,e_img,e_smooth,e_vel,term_img,term_smooth_weighted,term_vel_weighted,total_from_terms,e_img_raw,e_smooth_raw,e_vel_raw,e_img_denom,e_smooth_denom,e_vel_denom,active_pairs,sum_weight,mean_reproj_px
20,adam,10.096038818359375,10.096036911010742,1.631806156865423e-07,1.4699345740609715e-07,10.096036911010742,1.631806156865423e-06,1.4699345740609715e-08,10.096038557516245,3317386.0,7.6368531154003e-05,7.055686000967398e-05,328583.0,468.0,480.0,328583,328583.0,2.8148369789123535
40,adam,9.70588493347168,9.705883979797363,6.378579797683415e-08,6.356952297892349e-08,9.705883979797363,6.378579797683415e-07,6.356952297892349e-09,9.705884624012295,3189188.5,2.985175342473667e-05,3.0513372621499002e-05,328583.0,468.0,480.0,328583,328583.0,2.696768045425415
60,adam,9.669325828552246,9.66932487487793,6.245082317946071e-08,7.27403630662593e-08,9.66932487487793,6.245082317946071e-07,7.274036306625931e-09,9.669325506660197,3177175.75,2.9226985134300776e-05,3.491537427180447e-05,328583.0,468.0,480.0,328583,328583.0,2.6949944496154785
80,adam,9.664325714111328,9.664324760437012,5.2034259567790286e-08,6.552213704935639e-08,9.664324760437012,5.203425956779029e-07,6.5522137049356395e-09,9.66432528733182,3175532.75,2.4352033506147563e-05,3.145062510157004e-05,328583.0,468.0,480.0,328583,328583.0,2.689723491668701
100,adam,9.663548469543457,9.66354751586914,5.2515414239451275e-08,6.470636293443022e-08,9.66354751586914,5.251541423945127e-07,6.470636293443022e-09,9.663548047493919,3175277.5,2.457721348037012e-05,3.105905489064753e-05,328583.0,468.0,480.0,328583,328583.0,2.691118001937866
120,adam,9.663464546203613,9.663463592529297,5.233409794414001e-08,6.560600951388551e-08,9.663463592529297,5.233409794414001e-07,6.560600951388551e-09,9.663464122430877,3175250.0,2.4492357624694705e-05,3.149088297504932e-05,328583.0,468.0,480.0,328583,328583.0,2.691021680831909
140,adam,9.663454055786133,9.663453102111816,5.218734244749612e-08,6.53873968303742e-08,9.663453102111816,5.218734244749612e-07,6.53873968303742e-09,9.66345363052398,3175246.5,2.442367622279562e-05,3.1385949114337564e-05,328583.0,468.0,480.0,328583,328583.0,2.691023826599121
160,adam,9.663453102111816,9.6634521484375,5.221598087246093e-08,6.531954710453647e-08,9.6634521484375,5.221598087246093e-07,6.531954710453647e-09,9.663452677129264,3175246.0,2.4437078536720946e-05,3.135338192805648e-05,328583.0,468.0,480.0,328583,328583.0,2.691030502319336
180,adam,9.663451194763184,9.663450241088867,5.220846688303027e-08,6.533262819630181e-08,9.663450241088867,5.220846688303027e-07,6.533262819630181e-09,9.663450769706799,3175245.5,2.4433562430203892e-05,3.135966107947752e-05,328583.0,468.0,480.0,328583,328583.0,2.6910390853881836
200,adam,9.6634521484375,9.663451194763184,5.220245569148574e-08,6.533608853942496e-08,9.663451194763184,5.220245569148574e-07,6.533608853942497e-09,9.66345172332135,3175245.75,2.4430748453596607e-05,3.136132363579236e-05,328583.0,468.0,480.0,328583,328583.0,2.6910367012023926
220,adam,9.663453102111816,9.6634521484375,5.22077243658714e-08,6.533817042964074e-08,9.6634521484375,5.22077243658714e-07,6.533817042964074e-09,9.66345267704856,3175246.0,2.4433215003227815e-05,3.13623204419855e-05,328583.0,468.0,480.0,328583,328583.0,2.691037178039551
240,adam,9.6634521484375,9.663451194763184,5.2208335432624153e-08,6.533852570100862e-08,9.663451194763184,5.220833543262415e-07,6.533852570100862e-09,9.66345172338039,3175245.75,2.4433500584564172e-05,3.1362491426989436e-05,328583.0,468.0,480.0,328583,328583.0,2.69103741645813
260,adam,9.6634521484375,9.663451194763184,5.220823595664115e-08,6.533846885758976e-08,9.663451194763184,5.220823595664115e-07,6.5338468857589765e-09,9.66345172337939,3175245.75,2.4433455109829083e-05,3.1362465961137787e-05,328583.0,468.0,480.0,328583,328583.0,2.69103741645813
280,adam,9.6634521484375,9.663451194763184,5.2208207534931717e-08,6.533839780331618e-08,9.663451194763184,5.220820753493172e-07,6.533839780331619e-09,9.663451723379099,3175245.75,2.4433440557913855e-05,3.1362429581349716e-05,328583.0,468.0,480.0,328583,328583.0,2.69103741645813
300,adam,9.6634521484375,9.663451194763184,5.220808674266664e-08,6.533830543276054e-08,9.663451194763184,5.220808674266664e-07,6.533830543276054e-09,9.663451723377882,3175245.75,2.4433384169242345e-05,3.136238592560403e-05,328583.0,468.0,480.0,328583,328583.0,2.69103741645813
301,final,9.663814544677734,9.663813591003418,5.3625122120593005e-08,6.762321902442636e-08,9.663813591003418,5.3625122120593e-07,6.762321902442637e-09,9.663814134016961,3175365.0,2.5096556782955304e-05,3.2459145586472005e-05,328583.0,468.0,480.0,328583,328583.0,2.690861701965332
