iter,stage,total,e_img,e_smooth,e_vel,term_img,term_smooth_weighted,term_vel_weighted,total_from_terms,e_img_raw,e_smooth_raw,e_vel_raw,e_img_denom,e_smooth_denom,e_vel_denom,active_pairs,sum_weight,mean_reproj_px,max_translation
20,adam,7.36358642578125,7.174471378326416,0.0005827216664329171,0.00017873066826723516,7.174471378326416,0.17481649992987514,0.014298453461378813,7.36358633171767,2047249.75,0.27621006965637207,0.0857907235622406,285352.0,474.0,480.0,285352,285352.0,2.5330400466918945,0.03167516365647316
40,adam,1.098081350326538,0.9957055449485779,0.000315256358589977,9.748684533406049e-05,0.9957055449485779,0.09457690757699311,0.007798947626724839,1.0980814001522958,284126.5625,0.149431511759758,0.04679368436336517,285352.0,474.0,480.0,285352,285352.0,0.8983872532844543,0.025075973942875862
60,adam,0.49068039655685425,0.4283708333969116,0.00019155106565449387,6.0553116782102734e-05,0.4283708333969116,0.05746531969634816,0.004844249342568219,0.490680402435828,122236.4765625,0.09079520404338837,0.02906549535691738,285352.0,474.0,480.0,285352,285352.0,0.5721339583396912,0.022191127762198448
80,adam,0.3068489730358124,0.27277374267578125,0.0001043173106154427,3.475069752312265e-05,0.27277374267578125,0.03129519318463281,0.0027800558018498123,0.30684899166226387,77836.53125,0.04944640398025513,0.016680335626006126,285352.0,474.0,480.0,285352,285352.0,0.42651471495628357,0.01996578462421894
100,adam,0.2702423930168152,0.25191137194633484,5.577478077611886e-05,1.9982553567388095e-05,0.25191137194633484,0.016732434232835658,0.0015986042853910476,0.27024241046456154,71883.4140625,0.026437245309352875,0.00959162600338459,285352.0,474.0,480.0,285352,285352.0,0.4013490378856659,0.017969205975532532
120,adam,0.2564823031425476,0.24661172926425934,2.978673182951752e-05,1.1681745490932371e-05,0.24661172926425934,0.008936019548855256,0.0009345396392745897,0.2564822884523892,70371.1484375,0.014118910767138004,0.0056072380393743515,285352.0,474.0,480.0,285352,285352.0,0.3948420584201813,0.016705486923456192
140,adam,0.24908870458602905,0.2437020242214203,1.6088077245512977e-05,7.003143309702864e-06,0.2437020242214203,0.004826423173653893,0.0005602514647762291,0.2490886988598504,69540.859375,0.00762574840337038,0.0033615087158977985,285352.0,474.0,480.0,285352,285352.0,0.3914249837398529,0.015638411045074463
160,adam,0.24491722881793976,0.241880863904953,8.959772458183579e-06,4.355367309472058e-06,0.241880863904953,0.0026879317374550737,0.00034842938475776464,0.24491722502716584,69021.1875,0.004246931988745928,0.0020905763376504183,285352.0,474.0,480.0,285352,285352.0,0.38901087641716003,0.0147289102897048
180,adam,0.24237865209579468,0.24061143398284912,5.144291662873002e-06,2.799097273964435e-06,0.24061143398284912,0.0015432874988619005,0.0002239277819171548,0.24237864926362818,68658.953125,0.0024383943527936935,0.0013435666915029287,285352.0,474.0,480.0,285352,285352.0,0.3872886598110199,0.013970302417874336
200,adam,0.24074430763721466,0.23968474566936493,3.0378187148016877e-06,1.852784407674335e-06,0.23968474566936493,0.0009113456144405063,0.0001482227526139468,0.24074431403641938,68394.5234375,0.001439926098100841,0.0008893365156836808,285352.0,474.0,480.0,285352,285352.0,0.3859924376010895,0.013337450101971626
220,adam,0.23964540660381317,0.23899336159229279,1.8375874333287356e-06,1.2596079841387109e-06,0.23899336159229279,0.0005512762299986207,0.00010076863873109687,0.2396454064610225,68197.234375,0.0008710164693184197,0.0006046118214726448,285352.0,474.0,480.0,285352,285352.0,0.38500165939331055,0.012805033475160599
240,adam,0.23888206481933594,0.2384704053401947,1.1375667554602842e-06,8.799476631793368e-07,0.2384704053401947,0.00034127002663808526,7.039581305434695e-05,0.23888207117988713,68048.0078125,0.0005392066668719053,0.00042237486923113465,285352.0,474.0,480.0,285352,285352.0,0.38422900438308716,0.01235199999064207
260,adam,0.2383393794298172,0.23807212710380554,7.21966443961719e-07,6.332678594844765e-07,0.23807212710380554,0.00021658993318851572,5.066142875875812e-05,0.23833937846575282,67934.359375,0.00034221209352836013,0.00030396858346648514,285352.0,474.0,480.0,285352,285352.0,0.3836223781108856,0.011963064782321453
280,adam,0.2379464954137802,0.2377672791481018,4.7171758410513576e-07,4.7122205160121666e-07,0.2377672791481018,0.00014151527523154073,3.769776412809733e-05,0.23794649218746144,67847.3671875,0.0002235941356047988,0.0002261865884065628,285352.0,474.0,480.0,285352,285352.0,0.38314104080200195,0.011626730673015118
300,adam,0.2376582771539688,0.23753340542316437,3.1916621878735896e-07,3.639054568793654e-07,0.23753340542316437,9.574986563620769e-05,2.911243655034923e-05,0.23765826772535092,67780.6328125,0.00015128478116821498,0.00017467461293563247,285352.0,474.0,480.0,285352,285352.0,0.38275784254074097,0.011334531009197235
320,adam,0.23744449019432068,0.23735356330871582,2.251028945465805e-07,2.9242471555335214e-07,0.23735356330871582,6.753086836397415e-05,2.339397724426817e-05,0.23744448815432406,67729.3125,0.00010669877519831061,0.00014036385982763022,285352.0,474.0,480.0,285352,285352.0,0.3824508786201477,0.01107983198016882
340,adam,0.23728503286838531,0.23721551895141602,1.665006692519455e-07,2.446466851324658e-07,0.23721551895141602,4.995020077558365e-05,1.9571734810597263e-05,0.2372850408870022,67689.921875,7.892131543485448e-05,0.00011743040522560477,285352.0,474.0,480.0,285352,285352.0,0.38220399618148804,0.0108574740588665
360,adam,0.23933745920658112,0.239280566573143,1.326054075434513e-07,2.1385416459906992e-07,0.239280566573143,3.978162226303539e-05,1.7108333167925593e-05,0.23933745652857397,68279.1875,6.285496056079865e-05,0.0001026499958243221,285352.0,474.0,480.0,285352,285352.0,0.3845962882041931,0.010671405121684074
380,adam,0.2593095302581787,0.25925153493881226,1.397309290496196e-07,2.0079872342648741e-07,0.25925153493881226,4.191927871488588e-05,1.6063897874118993e-05,0.25930951811540126,73977.9453125,6.623246008530259e-05,9.638338815420866e-05,285352.0,474.0,480.0,285352,285352.0,0.4006461203098297,0.01075027510523796
400,adam,0.27898916602134705,0.27893081307411194,1.425457298864785e-07,1.9465009870600625e-07,0.27893081307411194,4.2763718965943553e-05,1.55720078964805e-05,0.27898914880097436,79593.46875,6.756667426088825e-05,9.343204874312505e-05,285352.0,474.0,480.0,285352,285352.0,0.40684443712234497,0.010568912141025066
420,adam,0.23994620144367218,0.23990394175052643,9.487230556715076e-08,1.7249345773961977e-07,0.23990394175052643,2.8461691670145228e-05,1.3799476619169582e-05,0.23994620291881574,68457.0703125,4.496947440202348e-05,8.27968615340069e-05,285352.0,474.0,480.0,285352,285352.0,0.3850521743297577,0.010578281246125698
440,adam,0.23809321224689484,0.23805662989616394,7.856915118509278e-08,1.6263801683180645e-07,0.23805662989616394,2.3570745355527833e-05,1.3011041346544516e-05,0.238093211682866,67929.9375,3.7241778045427054e-05,7.806624489603564e-05,285352.0,474.0,480.0,285352,285352.0,0.38288256525993347,0.010618103668093681
460,adam,0.23731689155101776,0.23728245496749878,7.267635737662204e-08,1.579349913072292e-07,0.23728245496749878,2.180290721298661e-05,1.2634799304578337e-05,0.23731689267401634,67709.0234375,3.444859248702414e-05,7.580879901070148e-05,285352.0,474.0,480.0,285352,285352.0,0.38190287351608276,0.010652321390807629
480,adam,0.23687759041786194,0.2368440479040146,7.027448134522274e-08,1.5567601963084599e-07,0.2368440479040146,2.1082344403566822e-05,1.2454081570467679e-05,0.23687758432998862,67583.921875,3.331010520923883e-05,7.472449215129018e-05,285352.0,474.0,480.0,285352,285352.0,0.38141557574272156,0.010683747008442879
500,adam,0.2373110055923462,0.2372778356075287,6.939019669971458e-08,1.544506034178994e-07,0.2372778356075287,2.0817059009914374e-05,1.2356048273431952e-05,0.23731100871481203,67707.703125,3.289095184300095e-05,7.413628918584436e-05,285352.0,474.0,480.0,285352,285352.0,0.3820425271987915,0.010712251998484135
520,adam,0.23924840986728668,0.23921413719654083,7.29662517073848e-08,1.5477290560284018e-07,0.23921413719654083,2.188987551221544e-05,1.2381832448227215e-05,0.23924840890450128,68260.234375,3.4586002584546804e-05,7.429099787259474e-05,285352.0,474.0,480.0,285352,285352.0,0.3840392827987671,0.010735932737588882
540,adam,0.2385883331298828,0.23855434358119965,7.206492824707311e-08,1.5454877200227202e-07,0.23855434358119965,2.1619478474121934e-05,1.2363901760181761e-05,0.23858832696143395,68071.9609375,3.415877654333599e-05,7.418340828735381e-05,285352.0,474.0,480.0,285352,285352.0,0.38327983021736145,0.010755962692201138
560,adam,0.23994462192058563,0.23991067707538605,7.187241379824627e-08,1.5478248371891823e-07,0.23991067707538605,2.156172413947388e-05,1.2382598697513458e-05,0.23994462139822303,68458.9921875,3.406752512091771e-05,7.42955890018493e-05,285352.0,474.0,480.0,285352,285352.0,0.38445788621902466,0.01075837854295969
580,adam,0.2816118001937866,0.2815605401992798,1.2436633767265448e-07,1.7427473153475148e-07,0.2815605401992798,3.7309901301796344e-05,1.3941978522780119e-05,0.28161179207910436,80343.859375,5.89496448810678e-05,8.365187386516482e-05,285352.0,474.0,480.0,285352,285352.0,0.41000083088874817,0.011295981705188751
600,adam,0.3662617802619934,0.366159588098526,2.811924844081659e-07,2.2270997135365178e-07,0.366159588098526,8.435774532244977e-05,1.7816797708292142e-05,0.36626176264155674,104484.375,0.00013328524073585868,0.0001069007848855108,285352.0,474.0,480.0,285352,285352.0,0.45473533868789673,0.010840237140655518
620,adam,0.3356008529663086,0.3355274200439453,1.9199832479444012e-07,1.9783777815973735e-07,0.3355274200439453,5.759949743833204e-05,1.582702225277899e-05,0.3356008465636364,95743.421875,9.100720490096137e-05,9.496213169768453e-05,285352.0,474.0,480.0,285352,285352.0,0.4429111182689667,0.010807249695062637
640,adam,0.2604506313800812,0.2604101002216339,9.19391283105142e-08,1.6198910657294618e-07,0.2604101002216339,2.7581738493154262e-05,1.2959128525835695e-05,0.2604506410886529,74308.546875,4.357914804131724e-05,7.775476842653006e-05,285352.0,474.0,480.0,285352,285352.0,0.4034436345100403,0.010837158188223839
660,adam,0.3724171221256256,0.372310996055603,2.938733416613104e-07,2.2479979122635996e-07,0.372310996055603,8.816200249839312e-05,1.7983983298108797e-05,0.37241714204139953,106239.6875,0.00013929596752859652,0.00010790389933390543,285352.0,474.0,480.0,285352,285352.0,0.45453590154647827,0.010834637098014355
680,adam,0.3033367991447449,0.30326953530311584,1.7321970346984017e-07,1.9098551717888768e-07,0.30326953530311584,5.196591104095205e-05,1.5278841374311014e-05,0.3033367800555311,86538.5703125,8.210614032577723e-05,9.167304961010814e-05,285352.0,474.0,480.0,285352,285352.0,0.4294371008872986,0.010842673480510712
700,adam,0.4154508113861084,0.41532766819000244,3.4597201192809734e-07,2.4184973312912916e-07,0.41532766819000244,0.0001037916035784292,1.9347978650330333e-05,0.4154508077722312,118514.578125,0.00016399072774220258,0.0001160878746304661,285352.0,474.0,480.0,285352,285352.0,0.4778854250907898,0.010844205506145954
720,adam,0.2791745662689209,0.27911609411239624,1.4746949261734699e-07,1.779994676098795e-07,0.27911609411239624,4.4240847785204096e-05,1.423995740879036e-05,0.27917457491759023,79646.3359375,6.990053952904418e-05,8.543974399799481e-05,285352.0,474.0,480.0,285352,285352.0,0.41905316710472107,0.010843153111636639
740,adam,0.25140509009361267,0.25136706233024597,8.400087381232879e-08,1.6009771286462637e-07,0.25136706233024597,2.5200262143698637e-05,1.280781702917011e-05,0.25140507040941884,71728.09375,3.981641566497274e-05,7.684690353926271e-05,285352.0,474.0,480.0,285352,285352.0,0.39427629113197327,0.010848832316696644
760,adam,0.25799959897994995,0.2579556107521057,1.016209054682804e-07,1.686304216264034e-07,0.2579556107521057,3.048627164048412e-05,1.3490433730112272e-05,0.2579995874574763,73608.1484375,4.8168309149332345e-05,8.094260556390509e-05,285352.0,474.0,480.0,285352,285352.0,0.39714106917381287,0.010851833038032055
780,adam,0.4217510223388672,0.4216082692146301,4.0586326122138416e-07,2.623156660774839e-07,0.4216082692146301,0.00012175897836641525,2.0985253286198713e-05,0.42175101344628274,120306.765625,0.00019237918604630977,0.00012591152335517108,285352.0,474.0,480.0,285352,285352.0,0.487184077501297,0.010850504972040653
800,adam,0.2862994074821472,0.2862491309642792,1.2033336815875373e-07,1.7740883606620628e-07,0.2862491309642792,3.610001044762612e-05,1.4192706885296502e-05,0.2862994236816121,81681.765625,5.703801798517816e-05,8.515624358551577e-05,285352.0,474.0,480.0,285352,285352.0,0.4264444410800934,0.011062152683734894
