frame_idx,num_active,sum_weight,reproj_mean_px,reproj_p50_px,reproj_p90_px,rotation_angle_deg,translation_magnitude,tx,ty,tz
0,3519,3519.0,0.7070973515510559,0.7071067690849304,0.7071067690849304,0.0,0.0,0.0,0.0,0.0
1,2865,2865.0,0.2136714905500412,0.2085210531949997,0.360824316740036,0.14803752007085635,0.025410892441868782,-0.02359011583030224,-0.0087828878313303,0.003475727280601859
2,2818,2818.0,0.38617250323295593,0.37888044118881226,0.6309880614280701,0.2594431881582005,0.05117770656943321,-0.04795162379741669,-0.01787824183702469,0.0004100523074157536
3,2772,2772.0,0.5361993312835693,0.5309104323387146,0.8674249053001404,0.3866430283709645,0.07818437367677689,-0.07395496964454651,-0.025176478549838066,-0.003099104156717658
4,2739,2739.0,0.6525689959526062,0.6566461324691772,1.0446803569793701,0.51510293176389,0.10748226940631866,-0.10265704244375229,-0.03108879365026951,-0.006888886913657188
5,2708,2708.0,0.6830082535743713,0.6644049882888794,1.120667576789856,0.6949250039416651,0.13862253725528717,-0.13328684866428375,-0.036367032676935196,-0.01132534071803093
6,2691,2691.0,0.7372040748596191,0.71560138463974,1.2275618314743042,0.9030900666583189,0.17084254324436188,-0.16493315994739532,-0.041937269270420074,-0.015016485936939716
7,2676,2676.0,0.8068527579307556,0.7831058502197266,1.3549121618270874,1.1155733030343016,0.20325791835784912,-0.19675429165363312,-0.048112668097019196,-0.016932230442762375
8,2662,2662.0,0.8812665939331055,0.8674592971801758,1.4837188720703125,1.330897791383304,0.23435786366462708,-0.22742491960525513,-0.054489850997924805,-0.015243601985275745
9,2648,2648.0,0.9487542510032654,0.9435638189315796,1.6278173923492432,1.518782101463486,0.2647622525691986,-0.2572569251060486,-0.061607614159584045,-0.011065114289522171
10,2639,2639.0,1.0478404760360718,1.030471682548523,1.7792208194732666,1.7352831966187285,0.2949746251106262,-0.2866508662700653,-0.06947086751461029,-0.003886288497596979
11,2635,2635.0,1.1250722408294678,1.096670150756836,1.894680380821228,1.9696075636914139,0.32670027017593384,-0.31701168417930603,-0.07894325256347656,0.002150055253878236
12,2630,2630.0,1.2252415418624878,1.2039031982421875,1.9890693426132202,2.1530414719188036,0.35983791947364807,-0.3483729660511017,-0.08983249217271805,0.007051690481603146
