iter,stage,total,e_img,e_smooth,e_vel,term_img,term_smooth_weighted,term_vel_weighted,total_from_terms,e_img_raw,e_smooth_raw,e_vel_raw,e_img_denom,e_smooth_denom,e_vel_denom,active_pairs,sum_weight,mean_reproj_px,max_translation
20,adam,31.868179321289062,15.75429630279541,0.049022872000932693,0.017587751150131226,15.75429630279541,14.706861600279808,1.407020092010498,31.868177995085716,4367437.5,23.236841201782227,8.442120552062988,277222.0,474.0,480.0,277222,277222.0,4.0065531730651855,1.516605257987976
40,adam,22.64203453063965,12.921283721923828,0.029262196272611618,0.011776147410273552,12.921283721923828,8.778658881783485,0.9420917928218842,22.642034396529198,3582064.0,13.870281219482422,5.65255069732666,277222.0,474.0,480.0,277222,277222.0,3.4588534832000732,1.4961506128311157
60,adam,17.951274871826172,12.50982666015625,0.016078175976872444,0.007724963594228029,12.50982666015625,4.823452793061733,0.6179970875382423,17.951276540756226,3467999.25,7.621055603027344,3.7079825401306152,277222.0,474.0,480.0,277222,277222.0,3.377546787261963,1.4757024049758911
80,adam,15.606837272644043,12.498964309692383,0.008932925760746002,0.005349939223378897,12.498964309692383,2.6798777282238007,0.42799513787031174,15.606837175786495,3464988.0,4.234206676483154,2.5679707527160645,277222.0,474.0,480.0,277222,277222.0,3.373914957046509,1.4583141803741455
100,adam,14.3824462890625,12.446113586425781,0.005384537857025862,0.004012138117104769,12.446113586425781,1.6153613571077585,0.3209710493683815,14.382445992901921,3450336.5,2.5522708892822266,1.9258263111114502,277222.0,474.0,480.0,277222,277222.0,3.3621160984039307,1.445868968963623
120,adam,13.744056701660156,12.414045333862305,0.003576786257326603,0.0032121939584612846,12.414045333862305,1.0730358771979809,0.25697551667690277,13.744056727737188,3441446.5,1.6953966617584229,1.5418530702590942,277222.0,474.0,480.0,277222,277222.0,3.355865478515625,1.4365020990371704
140,adam,13.381898880004883,12.395076751708984,0.002573056146502495,0.0026863047387450933,12.395076751708984,0.7719168439507484,0.21490437909960747,13.38189797475934,3436188.0,1.2196285724639893,1.289426326751709,277222.0,474.0,480.0,277222,277222.0,3.3522727489471436,1.4289721250534058
160,adam,13.150968551635742,12.378236770629883,0.0019599315710365772,0.0023094078060239553,12.378236770629883,0.5879794713109732,0.18475262448191643,13.150968866422772,3431519.5,0.9290075302124023,1.108515739440918,277222.0,474.0,480.0,277222,277222.0,3.3490195274353027,1.4222608804702759
180,adam,12.99071979522705,12.362738609313965,0.0015542805194854736,0.00202122307382524,12.362738609313965,0.4662841558456421,0.1616978459060192,12.990720611065626,3427223.0,0.7367289662361145,0.9701870679855347,277222.0,474.0,480.0,277222,277222.0,3.3459930419921875,1.4158152341842651
200,adam,12.872476577758789,12.348880767822266,0.0012679074425250292,0.001790297101251781,12.348880767822266,0.38037223275750875,0.14322376810014248,12.872476768679917,3423381.5,0.6009881496429443,0.859342634677887,277222.0,474.0,480.0,277222,277222.0,3.34325909614563,1.4094942808151245
220,adam,12.77987003326416,12.335524559020996,0.0010547733400017023,0.0015989193925634027,12.335524559020996,0.3164320020005107,0.1279135514050722,12.779870112426579,3419678.75,0.49996256828308105,0.7674813270568848,277222.0,474.0,480.0,277222,277222.0,3.3406121730804443,1.40336012840271
240,adam,12.70439624786377,12.322632789611816,0.0008894578204490244,0.0014365839306265116,12.322632789611816,0.26683734613470733,0.11492671445012093,12.704396850196645,3416105.0,0.4216029942035675,0.6895602941513062,277222.0,474.0,480.0,277222,277222.0,3.338041067123413,1.3975163698196411
260,adam,12.641058921813965,12.310142517089844,0.0007572611793875694,0.0012967183720320463,12.310142517089844,0.22717835381627083,0.1037374697625637,12.641058340668678,3412642.25,0.35894179344177246,0.622424840927124,277222.0,474.0,480.0,277222,277222.0,3.3355367183685303,1.392030954360962
280,adam,12.586783409118652,12.29800796508789,0.0006492604152299464,0.0011749592376872897,12.29800796508789,0.1947781245689839,0.09399673901498318,12.586782828671858,3409278.25,0.3077494502067566,0.5639804601669312,277222.0,474.0,480.0,277222,277222.0,3.333092451095581,1.3869187831878662
300,adam,12.539571762084961,12.286194801330566,0.0005597296985797584,0.0010682179126888514,12.286194801330566,0.16791890957392752,0.08545743301510811,12.539571143919602,3406003.5,0.2653118669986725,0.5127446055412292,277222.0,474.0,480.0,277222,277222.0,3.3307015895843506,1.3821567296981812
320,adam,12.498028755187988,12.274663925170898,0.00048476847587153316,0.0009741747053340077,12.274663925170898,0.14543054276145995,0.07793397642672062,12.498028444359079,3402807.0,0.22978025674819946,0.467603862285614,277222.0,474.0,480.0,277222,277222.0,3.3283579349517822,1.377707839012146
340,adam,12.461165428161621,12.263415336608887,0.00042156470590271056,0.0008910019532777369,12.263415336608887,0.12646941177081317,0.07128015626221895,12.461164904641919,3399688.5,0.19982166588306427,0.42768093943595886,277222.0,474.0,480.0,277222,277222.0,3.3260610103607178,1.3735331296920776
360,adam,12.428204536437988,12.25243091583252,0.0003679922956507653,0.0008172082016244531,12.25243091583252,0.11039768869522959,0.06537665612995625,12.428205260657705,3396643.5,0.17442834377288818,0.3922599256038666,277222.0,474.0,480.0,277222,277222.0,3.3238091468811035,1.3707422018051147
380,adam,12.398547172546387,12.241707801818848,0.00032238615676760674,0.0007515483885072172,12.241707801818848,0.09671584703028202,0.060123871080577374,12.398547519929707,3393670.75,0.15281103551387787,0.3607432246208191,277222.0,474.0,480.0,277222,277222.0,3.321600914001465,1.3688589334487915
400,adam,12.371682167053223,12.231222152709961,0.0002834108017850667,0.0006929680239409208,12.231222152709961,0.08502324053552002,0.055437441915273666,12.371682835160755,3390763.75,0.13433672487735748,0.3326246440410614,277222.0,474.0,480.0,277222,277222.0,3.319431781768799,1.366979956626892
420,adam,12.347199440002441,12.220959663391113,0.00024997966829687357,0.0006405679159797728,12.220959663391113,0.07499390048906207,0.051245433278381824,12.347198997158557,3387919.0,0.11849036067724228,0.3074725866317749,277222.0,474.0,480.0,277222,277222.0,3.3172993659973145,1.36512291431427
440,adam,12.324755668640137,12.210908889770508,0.00022120164067018777,0.0005935780936852098,12.210908889770508,0.06636049220105633,0.04748624749481678,12.324755629466381,3385132.5,0.10484957695007324,0.2849174737930298,277222.0,474.0,480.0,277222,277222.0,3.3152005672454834,1.3633050918579102
460,adam,12.304070472717285,12.201061248779297,0.00019634090131148696,0.0005513356882147491,12.201061248779297,0.05890227039344609,0.04410685505717993,12.304070374229923,3382402.5,0.09306558966636658,0.264641135931015,277222.0,474.0,480.0,277222,277222.0,3.3131346702575684,1.3615410327911377
480,adam,12.284904479980469,12.19140625,0.000174788772710599,0.0005132707301527262,12.19140625,0.0524366318131797,0.041061658412218094,12.284904540225398,3379726.0,0.08284987509250641,0.24636995792388916,277222.0,474.0,480.0,277222,277222.0,3.3111000061035156,1.3598443269729614
500,adam,12.26705551147461,12.18193244934082,0.00015604049258399755,0.00047889151028357446,12.18193244934082,0.046812147775199264,0.03831132082268596,12.267055917938706,3377099.75,0.07396319508552551,0.22986792027950287,277222.0,474.0,480.0,277222,277222.0,3.3090944290161133,1.3582255840301514
520,adam,12.250358581542969,12.17263412475586,0.0001396751031279564,0.0004477735492400825,12.17263412475586,0.04190253093838692,0.0358218839392066,12.250358539633453,3374522.0,0.06620600074529648,0.21493130922317505,277222.0,474.0,480.0,277222,277222.0,3.3071162700653076,1.356692910194397
540,adam,12.234688758850098,12.163522720336914,0.00012534233974292874,0.0004195502551738173,12.163522720336914,0.03760270192287862,0.03356402041390538,12.234689442673698,3371996.0,0.05941227078437805,0.20138412714004517,277222.0,474.0,480.0,277222,277222.0,3.305168867111206,1.3552535772323608
560,adam,12.21992015838623,12.154582977294922,0.00011274970165686682,0.00039390448364429176,12.154582977294922,0.033824910497060046,0.03151235869154334,12.219920246483525,3369517.75,0.05344335734844208,0.18907415866851807,277222.0,474.0,480.0,277222,277222.0,3.303248405456543,1.3539127111434937
580,adam,12.205958366394043,12.145817756652832,0.00010165170533582568,0.00037056123255752027,12.145817756652832,0.030495511600747705,0.02964489860460162,12.205958166858181,3367088.0,0.048182908445596695,0.17786939442157745,277222.0,474.0,480.0,277222,277222.0,3.3013572692871094,1.3526753187179565
600,adam,12.192709922790527,12.137214660644531,9.18425212148577e-05,0.0003492803080007434,12.137214660644531,0.02755275636445731,0.02794242464005947,12.192709841649048,3364703.0,0.04353335499763489,0.16765454411506653,277222.0,474.0,480.0,277222,277222.0,3.2994914054870605,1.3515437841415405
620,adam,12.180102348327637,12.128769874572754,8.314818114740774e-05,0.000329851231072098,12.128769874572754,0.024944454344222322,0.02638809848576784,12.180102427402744,3362361.75,0.0394122377038002,0.1583285927772522,277222.0,474.0,480.0,277222,277222.0,3.2976510524749756,1.350520133972168
640,adam,12.168067932128906,12.120473861694336,7.542136881966144e-05,0.00031209003645926714,12.120473861694336,0.02262641064589843,0.02496720291674137,12.168067475256976,3360062.0,0.035749729722738266,0.14980322122573853,277222.0,474.0,480.0,277222,277222.0,3.2958343029022217,1.349605679512024
660,adam,12.15656852722168,12.112340927124023,6.853792001493275e-05,0.0002958356635645032,12.112340927124023,0.020561376004479825,0.023666853085160255,12.156569156213664,3357807.25,0.03248697519302368,0.14200112223625183,277222.0,474.0,480.0,277222,277222.0,3.294044256210327,1.3488000631332397
680,adam,12.145547866821289,12.104354858398438,6.239182403078303e-05,0.0002809458819683641,12.104354858398438,0.018717547209234908,0.02247567055746913,12.145548076165142,3355593.5,0.029573725536465645,0.1348540186882019,277222.0,474.0,480.0,277222,277222.0,3.2922780513763428,1.3481025695800781
700,adam,12.134963035583496,12.096511840820312,5.689307727152482e-05,0.00026729481760412455,12.096511840820312,0.017067923181457445,0.021383585408329964,12.1349633494101,3353419.25,0.02696731872856617,0.12830151617527008,277222.0,474.0,480.0,277222,277222.0,3.290534734725952,1.3475112915039062
720,adam,12.124789237976074,12.088818550109863,5.196397250983864e-05,0.0002547702461015433,12.088818550109863,0.015589191752951592,0.020381619688123465,12.124789361550938,3351286.5,0.024630922824144363,0.12228972464799881,277222.0,474.0,480.0,277222,277222.0,3.288815975189209,1.3470243215560913
740,adam,12.114974975585938,12.081252098083496,4.75377710245084e-05,0.00024327184655703604,12.081252098083496,0.01426133130735252,0.019461747724562883,12.114975177115411,3349189.0,0.022532902657985687,0.11677048355340958,277222.0,474.0,480.0,277222,277222.0,3.2871179580688477,1.3467888832092285
760,adam,12.105510711669922,12.073826789855957,4.3556923628784716e-05,0.0002327098773093894,12.073826789855957,0.013067077088635415,0.018616790184751153,12.105510657129344,3347130.5,0.020645981654524803,0.11170074343681335,277222.0,474.0,480.0,277222,277222.0,3.28544282913208,1.3487040996551514
780,adam,12.09636116027832,12.066529273986816,3.997154635726474e-05,0.0002230033278465271,12.066529273986816,0.011991463907179423,0.017840266227722168,12.096361004121718,3345107.5,0.018946513533592224,0.10704159736633301,277222.0,474.0,480.0,277222,277222.0,3.2837891578674316,1.3506232500076294
800,adam,12.08751392364502,12.059366226196289,3.673807441373356e-05,0.000214078783756122,12.059366226196289,0.011021422324120067,0.01712630270048976,12.087513951220899,3343121.75,0.017413847148418427,0.10275781899690628,277222.0,474.0,480.0,277222,277222.0,3.282158374786377,1.3525444269180298
820,adam,12.078941345214844,12.052326202392578,3.381815258762799e-05,0.00020586876780726016,12.052326202392578,0.010145445776288398,0.016469501424580812,12.078941149593447,3341170.0,0.016029804944992065,0.09881700575351715,277222.0,474.0,480.0,277222,277222.0,3.2805471420288086,1.3544659614562988
840,adam,12.070610046386719,12.045391082763672,3.117782034678385e-05,0.0001983121910598129,12.045391082763672,0.009353346104035154,0.015864975284785032,12.070609404152492,3339247.5,0.014778287149965763,0.09518985450267792,277222.0,474.0,480.0,277222,277222.0,3.2789525985717773,1.356801986694336
860,adam,12.062536239624023,12.038591384887695,2.878766827052459e-05,0.00019135499314870685,12.038591384887695,0.008636300481157377,0.015308399451896548,12.06253608482075,3337362.5,0.01364535465836525,0.0918503999710083,277222.0,474.0,480.0,277222,277222.0,3.27738094329834,1.3609144687652588
880,adam,12.071311950683594,12.048517227172852,2.6654215616872534e-05,0.00018497758719604462,12.048517227172852,0.00799626468506176,0.01479820697568357,12.071311698833597,3340114.0,0.012634098529815674,0.08878923952579498,277222.0,474.0,480.0,277222,277222.0,3.2788331508636475,1.3649165630340576
900,adam,12.047578811645508,12.025856971740723,2.4660863346070983e-05,0.00017903459956869483,12.025856971740723,0.007398259003821295,0.014322767965495586,12.04757799871004,3333832.0,0.01168924942612648,0.08593660593032837,277222.0,474.0,480.0,277222,277222.0,3.27431583404541,1.3688101768493652
920,adam,12.04755973815918,12.026798248291016,2.2912394342711195e-05,0.0001735985279083252,12.026798248291016,0.006873718302813359,0.013887882232666016,12.047559848826495,3334093.0,0.010860474780201912,0.0833272933959961,277222.0,474.0,480.0,277222,277222.0,3.2739665508270264,1.372597098350525
940,adam,12.039426803588867,12.019558906555176,2.126743311237078e-05,0.0001685932365944609,12.019558906555176,0.0063802299337112345,0.013487458927556872,12.039426595416444,3332086.25,0.010080763138830662,0.08092475682497025,277222.0,474.0,480.0,277222,277222.0,3.272712469100952,1.3762791156768799
960,adam,12.024867057800293,12.00582218170166,1.9767128833336756e-05,0.00016393678379245102,12.00582218170166,0.005930138650001027,0.013114942703396082,12.024867263055057,3328278.0,0.009369619190692902,0.07868965715169907,277222.0,474.0,480.0,277222,277222.0,3.2696964740753174,1.3798604011535645
980,adam,12.019010543823242,12.00070858001709,1.843170502979774e-05,0.0001596619695192203,12.00070858001709,0.005529511508939322,0.012772957561537623,12.019011049087567,3326860.5,0.008736628107726574,0.07663774490356445,277222.0,474.0,480.0,277222,277222.0,3.2684555053710938,1.383341670036316
1000,adam,8.272278785705566,8.254648208618164,1.7246295101358555e-05,0.00015571044059470296,8.254648208618164,0.005173888530407567,0.012456835247576237,8.272278932396148,2055704.5,0.008174743503332138,0.07474101334810257,249036.0,474.0,480.0,249036,249036.0,2.6215927600860596,1.3867247104644775
1020,adam,7.630977630615234,7.612973213195801,1.9277662431704812e-05,0.00015276735939551145,7.612973213195801,0.0057832987295114435,0.012221388751640916,7.630977900676953,1895904.375,0.009137611836194992,0.07332833111286163,249036.0,474.0,480.0,249036,249036.0,2.4700565338134766,1.3873391151428223
1040,adam,7.537606239318848,7.520883560180664,1.5836676539038308e-05,0.0001496435288572684,7.520883560180664,0.004751002961711492,0.011971482308581471,7.537606045450957,1872970.75,0.007506584748625755,0.07182889431715012,249036.0,474.0,480.0,249036,249036.0,2.447183132171631,1.390488624572754
1060,adam,7.5227556228637695,7.506519317626953,1.491525472374633e-05,0.00014701817417517304,7.506519317626953,0.004474576417123899,0.011761453934013844,7.522755347978091,1869393.5,0.007069830782711506,0.07056872546672821,249036.0,474.0,480.0,249036,249036.0,2.4444808959960938,1.3931103944778442
1080,adam,7.519843578338623,7.504022121429443,1.4128672773949802e-05,0.00014478694356512278,7.504022121429443,0.004238601832184941,0.011582955485209823,7.519843678746838,1868771.625,0.006696990691125393,0.0694977343082428,249036.0,474.0,480.0,249036,249036.0,2.4441864490509033,1.3955870866775513
1100,adam,7.515386581420898,7.499927520751953,1.3491406207322143e-05,0.00014264592027757317,7.499927520751953,0.004047421862196643,0.011411673622205853,7.515386616236356,1867752.0,0.006394926458597183,0.06847003847360611,249036.0,474.0,480.0,249036,249036.0,2.443235158920288,1.398079752922058
1120,adam,7.519629955291748,7.504491329193115,1.2945342859893572e-05,0.0001406875962857157,7.504491329193115,0.0038836028579680715,0.011255007702857256,7.519629939753941,1868888.5,0.006136092357337475,0.06753004342317581,249036.0,474.0,480.0,249036,249036.0,2.4439456462860107,1.4004868268966675
1140,adam,7.513890266418457,7.499080657958984,1.2350376891845372e-05,0.00013880481128580868,7.499080657958984,0.0037051130675536115,0.011104384902864695,7.513890155929403,1867541.0,0.005854078568518162,0.06662631034851074,249036.0,474.0,480.0,249036,249036.0,2.4429147243499756,1.402821660041809
1160,adam,7.503147602081299,7.488631725311279,1.1842173080367502e-05,0.00013704417506232858,7.488631725311279,0.0035526519241102505,0.010963534004986286,7.503147911240376,1864938.875,0.005613190121948719,0.06578120589256287,249036.0,474.0,480.0,249036,249036.0,2.440700054168701,1.4050953388214111
1180,adam,7.500654697418213,7.486408710479736,1.1384296158212237e-05,0.00013538864732254297,7.486408710479736,0.003415288847463671,0.010831091785803437,7.500655091113003,1864385.25,0.005396156571805477,0.06498654931783676,249036.0,474.0,480.0,249036,249036.0,2.4401326179504395,1.4073041677474976
1200,adam,7.49649715423584,7.482509613037109,1.0941052096313797e-05,0.00013381482858676463,7.482509613037109,0.003282315628894139,0.01070518628694117,7.496497114952945,1863414.25,0.005186058580875397,0.06423112004995346,249036.0,474.0,480.0,249036,249036.0,2.439281940460205,1.409449815750122
1220,adam,7.50372314453125,7.489971160888672,1.0549408216320444e-05,0.00013233971549198031,7.489971160888672,0.003164822464896133,0.010587177239358425,7.503723160592926,1865272.5,0.005000419449061155,0.0635230615735054,249036.0,474.0,480.0,249036,249036.0,2.4407601356506348,1.4115352630615234
1240,adam,7.488276958465576,7.474764823913574,1.0131743692909367e-05,0.0001309109211433679,7.474764823913574,0.00303952310787281,0.010472873691469431,7.4882772207129165,1861485.5,0.004802446346729994,0.06283724308013916,249036.0,474.0,480.0,249036,249036.0,2.4375,1.4135631322860718
1260,adam,7.486264228820801,7.472968101501465,9.765371032699477e-06,0.0001295810507144779,7.472968101501465,0.002929611309809843,0.010366484057158232,7.486264196868433,1861038.125,0.004628785885870457,0.062198907136917114,249036.0,474.0,480.0,249036,249036.0,2.436880588531494,1.4155337810516357
1280,adam,7.480953693389893,7.467863082885742,9.421447430213448e-06,0.00012830414925701916,7.467863082885742,0.0028264342290640343,0.010264331940561533,7.480953849055368,1859766.75,0.004465766251087189,0.061585988849401474,249036.0,474.0,480.0,249036,249036.0,2.435882329940796,1.4174492359161377
1300,adam,7.478944778442383,7.466045379638672,9.103139746002853e-06,0.0001271061773877591,7.466045379638672,0.002730941923800856,0.010168494191020727,7.4789448157534935,1859314.125,0.004314888268709183,0.06101096421480179,249036.0,474.0,480.0,249036,249036.0,2.4353737831115723,1.4193111658096313
1320,adam,7.474506378173828,7.461788177490234,8.805682227830403e-06,0.00012595545558724552,7.461788177490234,0.0026417046683491208,0.010076436446979642,7.474506318605563,1858253.875,0.004173893481492996,0.06045861542224884,249036.0,474.0,480.0,249036,249036.0,2.434340000152588,1.4211208820343018
1340,adam,7.475040912628174,7.462491512298584,8.529893420927692e-06,0.00012487938511185348,7.462491512298584,0.0025589680262783077,0.009990350808948278,7.475040831133811,1858429.0,0.004043169319629669,0.059942103922367096,249036.0,474.0,480.0,249036,249036.0,2.4342055320739746,1.4228816032409668
1360,adam,7.469729900360107,7.457339286804199,8.277953384094872e-06,0.00012383967987261713,7.457339286804199,0.0024833860152284615,0.00990717438980937,7.469729847209237,1857146.0,0.003923750016838312,0.059443049132823944,249036.0,474.0,480.0,249036,249036.0,2.4330925941467285,1.4245946407318115
1380,adam,7.468392848968506,7.456164360046387,8.003101356734987e-06,0.00012284483818802983,7.456164360046387,0.002400930407020496,0.009827587055042386,7.46839287750845,1856853.375,0.0037934700958430767,0.058965519070625305,249036.0,474.0,480.0,249036,249036.0,2.432823657989502,1.426261305809021
1400,adam,7.463001251220703,7.450915336608887,7.778962753945962e-06,0.00012190427514724433,7.450915336608887,0.0023336888261837885,0.009752342011779547,7.46300136744685,1855546.125,0.0036872285418212414,0.058514051139354706,249036.0,474.0,480.0,249036,249036.0,2.4314675331115723,1.4278826713562012
