frame_idx,num_active,sum_weight,reproj_mean_px,reproj_p50_px,reproj_p90_px,rotation_angle_deg,translation_magnitude,tx,ty,tz
0,3423,3423.0,0.707099199295044,0.7071067690849304,0.7071283459663391,0.0,0.0,0.0,0.0,0.0
1,2755,2755.0,0.26103392243385315,0.2546316385269165,0.4339674413204193,0.23406796817454534,0.00840962864458561,0.00536707928404212,-0.006084254942834377,0.0022131779696792364
2,2755,2755.0,0.3833198547363281,0.3853554427623749,0.6098148822784424,0.47969768570577687,0.015787934884428978,0.010495145805180073,-0.01173571776598692,0.001176317106001079
3,2755,2755.0,0.45974478125572205,0.45704448223114014,0.7391309142112732,0.6909716050726972,0.02160683088004589,0.014142177999019623,-0.01621708832681179,0.001964688068255782
4,2755,2755.0,0.4425963759422302,0.43827521800994873,0.7216233611106873,0.85409199709994,0.02500050514936447,0.014850410632789135,-0.019075019285082817,0.006374497897922993
5,2755,2755.0,0.46808260679244995,0.46591445803642273,0.7513346076011658,0.9287272884296676,0.026196008548140526,0.011925769038498402,-0.01947421208024025,0.012835963629186153
6,2755,2755.0,0.4972109794616699,0.49003857374191284,0.8222325444221497,1.161295549833719,0.027804704383015633,0.005446966737508774,-0.017620593309402466,0.020807376131415367
7,2755,2755.0,0.5607749819755554,0.5675631761550903,0.9052731990814209,1.6587101592771272,0.029964124783873558,-0.004046779591590166,-0.012952406890690327,0.02671530470252037
8,2755,2755.0,0.5997030735015869,0.605268657207489,0.9627956748008728,2.147216174330429,0.036213815212249756,-0.01504875160753727,-0.009784025140106678,0.03145231679081917
9,2755,2755.0,0.7503133416175842,0.7606221437454224,1.2092028856277466,2.5482185014925816,0.044306643307209015,-0.026606403291225433,-0.00952513050287962,0.03412403538823128
10,2616,2616.0,0.8552384376525879,0.8598852753639221,1.387969970703125,2.7008113308530133,0.05070706829428673,-0.034953195601701736,-0.011753614991903305,0.03480421379208565
11,2684,2684.0,0.8245853185653687,0.8271100521087646,1.3332219123840332,2.572985621196694,0.05278927832841873,-0.03814542666077614,-0.01698305271565914,0.03229876607656479
12,2755,2755.0,0.7227730751037598,0.7088631391525269,1.1949266195297241,2.551135632598412,0.04944218695163727,-0.03821927309036255,-0.021517975255846977,0.02282090112566948
13,2755,2755.0,0.7462778687477112,0.7528495788574219,1.2215549945831299,2.561090633313705,0.04732862487435341,-0.03900531306862831,-0.025483042001724243,0.008318574167788029
14,2755,2755.0,0.6714310050010681,0.6680119633674622,1.1106853485107422,2.4512821089142336,0.054640743881464005,-0.04474116116762161,-0.03135091811418533,-0.0009796828962862492
