iter,stage,total,e_img,e_smooth,e_vel,term_img,term_smooth_weighted,term_vel_weighted,total_from_terms,e_img_raw,e_smooth_raw,e_vel_raw,e_img_denom,e_smooth_denom,e_vel_denom,active_pairs,sum_weight,mean_reproj_px,max_translation
20,adam,8.404315948486328,8.252840042114258,0.0004100788210052997,0.0003556441515684128,8.252840042114258,0.1230236463015899,0.028451532125473022,8.40431522054132,853343.625,0.1943773627281189,0.17070919275283813,103400.0,474.0,480.0,103400,103400.0,2.745391368865967,0.7877772450447083
40,adam,2.0150182247161865,1.9165728092193604,0.000246186536969617,0.0003073682892136276,1.9165728092193604,0.0738559610908851,0.024589463137090206,2.0150182334473357,198173.625,0.1166924238204956,0.14753678441047668,103400.0,474.0,480.0,103400,103400.0,1.2060390710830688,0.7866765856742859
60,adam,1.2857023477554321,1.2146730422973633,0.0001618585520191118,0.0002808978024404496,1.2146730422973633,0.048557565605733544,0.022471824195235968,1.2857024320983328,125597.1953125,0.0767209529876709,0.13483095169067383,103400.0,474.0,480.0,103400,103400.0,0.926276445388794,0.7864412069320679
80,adam,1.1477211713790894,1.0928430557250977,0.00011258597805863246,0.0002637782017700374,1.0928430557250977,0.03377579341758974,0.021102256141602993,1.1477211052842904,112999.96875,0.05336575210094452,0.1266135424375534,103400.0,474.0,480.0,103400,103400.0,0.8628861308097839,0.7858255505561829
100,adam,1.1191402673721313,1.0737595558166504,8.388135756831616e-05,0.00025270410696975887,1.0737595558166504,0.02516440727049485,0.02021632855758071,1.119140291644726,111026.734375,0.039759762585163116,0.12129797041416168,103400.0,474.0,480.0,103400,103400.0,0.8528834581375122,0.7849146723747253
120,adam,1.1095316410064697,1.070004940032959,6.640788342338055e-05,0.00024505381588824093,1.070004940032959,0.019922365027014166,0.019604305271059275,1.1095316103310324,110638.515625,0.03147733584046364,0.11762583255767822,103400.0,474.0,480.0,103400,103400.0,0.8512903451919556,0.7841441035270691
140,adam,1.1043920516967773,1.068666934967041,5.5237112974282354e-05,0.00023942453844938427,1.068666934967041,0.016571133892284706,0.019153963075950742,1.1043920319352765,110500.15625,0.0261823907494545,0.11492377519607544,103400.0,474.0,480.0,103400,103400.0,0.8505454063415527,0.7834092974662781
160,adam,1.1010695695877075,1.0679805278778076,4.762019307236187e-05,0.00023503779084421694,1.0679805278778076,0.014286057921708561,0.018803023267537355,1.1010696090670535,110429.1875,0.022571971639990807,0.11281813681125641,103400.0,474.0,480.0,103400,103400.0,0.8501569628715515,0.7827456593513489
180,adam,1.0987120866775513,1.067557454109192,4.212259955238551e-05,0.00023147337196860462,1.067557454109192,0.012636779865715653,0.01851786975748837,1.098712103732396,110385.4375,0.019966112449765205,0.11110721528530121,103400.0,474.0,480.0,103400,103400.0,0.8499462008476257,0.7821652293205261
200,adam,1.0969442129135132,1.0672688484191895,3.798583566094749e-05,0.0002284962683916092,1.0672688484191895,0.011395750698284246,0.018279701471328735,1.0969443005888024,110355.59375,0.018005285412073135,0.10967820882797241,103400.0,474.0,480.0,103400,103400.0,0.8498002290725708,0.781681478023529
220,adam,1.0955731868743896,1.0670642852783203,3.477332938928157e-05,0.0002259611210320145,1.0670642852783203,0.010431998816784471,0.01807688968256116,1.095573173777666,110334.4453125,0.016482558101415634,0.10846133530139923,103400.0,474.0,480.0,103400,103400.0,0.8497035503387451,0.7815725207328796
240,adam,1.0944874286651611,1.0669199228286743,3.2219999411609024e-05,0.00022376974811777472,1.0669199228286743,0.009665999823482707,0.017901579849421978,1.094487502501579,110319.515625,0.01527228020131588,0.10740947723388672,103400.0,474.0,480.0,103400,103400.0,0.8496408462524414,0.7814515233039856
260,adam,1.093611478805542,1.066816806793213,3.015490437974222e-05,0.00022185312991496176,1.066816806793213,0.009046471313922666,0.01774825039319694,1.0936115285003325,110308.859375,0.014293424785137177,0.10648950189352036,103400.0,474.0,480.0,103400,103400.0,0.8496037125587463,0.7813199758529663
280,adam,1.092896819114685,1.0667457580566406,2.8460639441618696e-05,0.0002201594616053626,1.0667457580566406,0.008538191832485609,0.017612756928429008,1.0928967068175552,110301.515625,0.0134903434664011,0.10567653924226761,103400.0,474.0,480.0,103400,103400.0,0.8495864272117615,0.7811787724494934
300,adam,1.092306137084961,1.0666979551315308,2.7053969461121596e-05,0.00021864906011614949,1.0666979551315308,0.008116190838336479,0.01749192480929196,1.0923060707791592,110296.5625,0.01282358169555664,0.10495154559612274,103400.0,474.0,480.0,103400,103400.0,0.8495804667472839,0.7810287475585938
320,adam,1.1256500482559204,1.1004526615142822,2.6026686100522056e-05,0.00021736806957051158,1.1004526615142822,0.007808005830156617,0.017389445565640926,1.1256501129100798,113786.8046875,0.012336649000644684,0.10433667153120041,103400.0,474.0,480.0,103400,103400.0,0.8633689284324646,0.7808704376220703
340,adam,1.099266529083252,1.0745302438735962,2.48430860665394e-05,0.00021604116773232818,1.0745302438735962,0.00745292581996182,0.017283293418586254,1.0992664631121443,111106.421875,0.011775623075664043,0.10369975864887238,103400.0,474.0,480.0,103400,103400.0,0.8541388511657715,0.780704140663147
360,adam,1.092050313949585,1.067653775215149,2.400571247562766e-05,0.000214935585972853,1.067653775215149,0.007201713742688298,0.01719484687782824,1.0920503358356655,110395.40625,0.011378707364201546,0.10316908359527588,103400.0,474.0,480.0,103400,103400.0,0.8504737615585327,0.7805303931236267
