frame_idx,num_active,sum_weight,reproj_mean_px,reproj_p50_px,reproj_p90_px,rotation_angle_deg,translation_magnitude,tx,ty,tz
0,2118,2118.0,0.7071017622947693,0.7071067690849304,0.7071499228477478,0.0,0.0,0.0,0.0,0.0
1,2116,2116.0,0.4619898796081543,0.41962534189224243,0.8197840452194214,4.939829729940056,0.18115246295928955,0.17843805253505707,-0.031134191900491714,-0.002595260040834546
2,2106,2106.0,0.671390175819397,0.6043631434440613,1.172620177268982,9.634474451696873,0.3495444655418396,0.3447064757347107,-0.055889006704092026,0.015336121432483196
3,2081,2081.0,0.7438019514083862,0.663139820098877,1.3290684223175049,13.601157184826906,0.500738263130188,0.49189066886901855,-0.0791509598493576,0.05017499253153801
4,2022,2022.0,0.8532190322875977,0.7129366397857666,1.6270036697387695,16.24806893161841,0.6142523884773254,0.5986259579658508,-0.11045245081186295,0.08217811584472656
5,1954,1954.0,0.8829312920570374,0.7297282218933105,1.6727021932601929,17.196597792225592,0.6463183760643005,0.6290504932403564,-0.12789353728294373,0.07527391612529755
6,1942,1942.0,0.8479477167129517,0.7064281105995178,1.6257048845291138,17.019325354959786,0.6650886535644531,0.6476731300354004,-0.12236207723617554,0.08882535994052887
7,2047,2047.0,0.9072685241699219,0.7625235319137573,1.7405486106872559,16.153009773844758,0.6603739261627197,0.6448221206665039,-0.09578660875558853,0.10546606034040451
8,2069,2069.0,0.8217287063598633,0.6752858757972717,1.5307871103286743,13.188801589160311,0.5698107481002808,0.5594512224197388,-0.050632573664188385,0.09557691216468811
9,2104,2104.0,0.7442129254341125,0.6324936151504517,1.341267704963684,8.911296583696862,0.43367937207221985,0.42452651262283325,-0.02510588802397251,0.0849984809756279
10,2112,2112.0,0.6605690717697144,0.5274354815483093,1.214572787284851,5.1246849578450435,0.30753618478775024,0.2928697466850281,-0.00606626458466053,0.09364309161901474
11,2110,2110.0,0.6139709949493408,0.49138498306274414,1.1207424402236938,3.047096372243959,0.21486778557300568,0.18891678750514984,0.017073161900043488,0.10093125700950623
12,2111,2111.0,0.6100727319717407,0.48141586780548096,1.1314150094985962,3.2681840461485714,0.17046388983726501,0.12091057002544403,0.045416682958602905,0.11124701797962189
13,2112,2112.0,0.5859371423721313,0.43452364206314087,1.195145606994629,4.442677762614577,0.1705717295408249,0.07529209554195404,0.08034703880548477,0.1302696019411087
14,2107,2107.0,0.5849100947380066,0.4516671299934387,1.1725846529006958,6.031824579629239,0.1920173168182373,0.01908438466489315,0.11132174730300903,0.1552865207195282
15,2104,2104.0,0.6941255927085876,0.5573142170906067,1.2800283432006836,8.631535450387723,0.2526535391807556,-0.09240751713514328,0.13735856115818024,0.1908593475818634
16,2103,2103.0,0.8302215337753296,0.6668385863304138,1.4956040382385254,13.086329114816257,0.3925873637199402,-0.2646806538105011,0.16022643446922302,0.2416536509990692
17,2102,2102.0,0.9310032725334167,0.7585276961326599,1.7728638648986816,17.952114044624675,0.5577248930931091,-0.4213606119155884,0.18426910042762756,0.3155268132686615
18,2092,2092.0,0.9371552467346191,0.7329780459403992,1.862097144126892,23.17533387275726,0.7284335494041443,-0.5928443670272827,0.19287340342998505,0.37676364183425903
19,2096,2096.0,0.9994765520095825,0.751329779624939,2.0626251697540283,30.54653549673755,0.9749083518981934,-0.820181131362915,0.16436120867729187,0.5007340312004089
20,2082,2082.0,1.1002861261367798,0.867819607257843,2.26503849029541,37.861869588401724,1.2184339761734009,-1.0286229848861694,0.11143375933170319,0.6435049772262573
21,2069,2069.0,1.1659276485443115,0.8997184038162231,2.368457555770874,42.32943826789912,1.35276460647583,-1.1481268405914307,0.07733037322759628,0.7111939191818237
22,2051,2051.0,1.1721073389053345,0.9056398868560791,2.4480443000793457,43.61897456810294,1.3840489387512207,-1.1788913011550903,0.06374945491552353,0.722317636013031
23,2058,2058.0,1.1871051788330078,0.9439678192138672,2.371603012084961,43.72862300994374,1.3720492124557495,-1.1709409952163696,0.04456045478582382,0.7137441039085388
24,2047,2047.0,1.217486023902893,0.9627148509025574,2.34904408454895,44.530651143043315,1.3869779109954834,-1.1819217205047607,0.024606311693787575,0.7253711223602295
25,2066,2066.0,1.2949261665344238,1.0203763246536255,2.5109901428222656,46.716902488810604,1.441821575164795,-1.2291301488876343,-0.013500752858817577,0.753595769405365
26,2045,2045.0,1.3782089948654175,1.0843772888183594,2.607379913330078,49.895996962520115,1.5325000286102295,-1.2918740510940552,-0.04006258398294449,0.8234153389930725
27,2067,2067.0,1.4812487363815308,1.2028286457061768,2.8112337589263916,53.76504641033305,1.6467331647872925,-1.3706289529800415,-0.05699727684259415,0.9109652638435364
