frame_idx,num_active,sum_weight,reproj_mean_px,reproj_p50_px,reproj_p90_px,rotation_angle_deg,translation_magnitude,tx,ty,tz
0,3114,3114.0,0.707106351852417,0.7071067690849304,0.7071391344070435,0.0,0.0,0.0,0.0,0.0
1,3114,3114.0,1.0100374221801758,0.8199862241744995,2.0793445110321045,1.6565852233933127,0.09784495830535889,0.06825355440378189,-0.06355755031108856,0.029589295387268066
2,2920,2920.0,1.7538936138153076,1.4847443103790283,3.4464433193206787,3.3959213902325036,0.20484133064746857,0.1492694467306137,-0.1399533748626709,0.009573797695338726
3,2651,2651.0,2.246340274810791,2.0078125,4.155288219451904,4.822230094131715,0.2954615652561188,0.22483810782432556,-0.19116239249706268,-0.014222979545593262
4,2378,2378.0,3.1004979610443115,2.7693381309509277,5.777622222900391,6.889028688391472,0.43571269512176514,0.33157020807266235,-0.2787012457847595,-0.047248005867004395
5,2278,2278.0,3.508162260055542,3.09563946723938,6.734808444976807,8.03846500211364,0.5298798084259033,0.40723881125450134,-0.32924750447273254,-0.08077913522720337
6,2219,2219.0,4.221292018890381,3.588582992553711,8.354829788208008,10.171656877087328,0.6718776226043701,0.5149363279342651,-0.41234132647514343,-0.127415731549263
7,2198,2198.0,4.852715969085693,4.105098724365234,9.73536491394043,12.009352570451462,0.8024776577949524,0.6253475546836853,-0.48143091797828674,-0.14537911117076874
8,2225,2225.0,5.446661472320557,4.575963497161865,10.823725700378418,13.046269201560486,0.8635076284408569,0.700951337814331,-0.48094528913497925,-0.1516714245080948
9,2405,2405.0,6.372929573059082,5.1622843742370605,14.38139533996582,13.94944389853149,0.8840709328651428,0.7423339486122131,-0.459117591381073,-0.14047358930110931
10,2398,2398.0,6.693195819854736,5.406479835510254,14.517326354980469,14.750249427769635,0.9288143515586853,0.791985809803009,-0.4587637782096863,-0.15808333456516266
11,2336,2336.0,7.086483478546143,5.686672687530518,14.936514854431152,15.392085719170318,0.9725135564804077,0.8417183756828308,-0.45441684126853943,-0.17549410462379456
12,2144,2144.0,7.08588981628418,5.673793315887451,14.29986572265625,15.673062626151717,0.9848999977111816,0.853813111782074,-0.44906753301620483,-0.19841763377189636
13,2031,2031.0,6.849895000457764,5.625000953674316,12.661333084106445,15.238326208122283,0.939936101436615,0.8048262596130371,-0.4215763211250305,-0.24084831774234772
14,1962,1962.0,6.733032703399658,5.660102844238281,12.565860748291016,15.080437847720976,0.9244017601013184,0.7826484441757202,-0.38947585225105286,-0.3004807233810425
15,1950,1950.0,6.981605529785156,5.863101005554199,12.974069595336914,15.412608730078913,0.9382562041282654,0.7964311242103577,-0.38969501852989197,-0.3068549633026123
16,1903,1903.0,6.973458766937256,5.924194812774658,13.20042896270752,15.701757958402233,0.954736590385437,0.8039120435714722,-0.40967682003974915,-0.31210941076278687
17,1852,1852.0,7.059218883514404,6.040327072143555,13.509913444519043,16.004473649964492,0.9731346368789673,0.8148064017295837,-0.42373380064964294,-0.3217625021934509
18,1839,1839.0,7.13784646987915,6.089014530181885,13.814788818359375,16.08395143869405,0.9718096256256104,0.8109310269355774,-0.41171854734420776,-0.3424801528453827
19,1791,1791.0,7.012415885925293,5.918727874755859,13.798983573913574,16.180460304119038,0.9927479028701782,0.8134975433349609,-0.41618186235427856,-0.388024240732193
20,1718,1718.0,6.702811241149902,5.631082534790039,13.859604835510254,16.463790211269508,1.0109623670578003,0.826654851436615,-0.4309101700782776,-0.3911561369895935
21,1703,1703.0,6.75423002243042,5.568493843078613,14.110779762268066,16.551238830760475,1.010725736618042,0.8346142172813416,-0.4119262993335724,-0.3940843641757965
22,1661,1661.0,6.856786727905273,5.6662983894348145,14.565651893615723,16.789267508240833,1.0180151462554932,0.8387724757194519,-0.41369038820266724,-0.4020894169807434
23,1695,1695.0,7.15761661529541,6.020726203918457,15.052764892578125,16.91465782857122,0.99763023853302,0.841088593006134,-0.37052401900291443,-0.38800519704818726
24,1722,1722.0,7.2240071296691895,6.036301612854004,15.121834754943848,17.03977835642939,0.9901015758514404,0.8433398008346558,-0.330362468957901,-0.399924635887146
25,1724,1724.0,7.05745267868042,5.851378440856934,14.949836730957031,17.23211648345695,1.0074433088302612,0.8436009883880615,-0.3382801115512848,-0.43456417322158813
26,1714,1714.0,7.031905651092529,5.731489658355713,15.214991569519043,17.854198160230663,1.038175106048584,0.8705315589904785,-0.37794896960258484,-0.4208763539791107
27,1626,1626.0,6.832733631134033,5.535083770751953,14.773752212524414,18.738557393585573,1.0751256942749023,0.9104059934616089,-0.414106547832489,-0.39442604780197144
28,1586,1586.0,6.834234237670898,5.693133354187012,14.258254051208496,19.291116282345023,1.0968153476715088,0.9360811710357666,-0.42178934812545776,-0.38581031560897827
29,1556,1556.0,7.118108749389648,5.767308235168457,15.05694580078125,20.069342913734395,1.1092770099639893,0.9602027535438538,-0.4316936433315277,-0.34949490427970886
30,1581,1581.0,6.921947479248047,5.799631118774414,14.03238582611084,20.70576286512326,1.124413251876831,0.988235354423523,-0.41749122738838196,-0.33674487471580505
31,1593,1593.0,6.985386371612549,5.881068706512451,13.774670600891113,21.479551581099418,1.1314003467559814,1.014909029006958,-0.403934508562088,-0.2947259843349457
32,1649,1649.0,7.253553867340088,6.135908126831055,14.602843284606934,22.155188771155203,1.1492701768875122,1.048011302947998,-0.3843458890914917,-0.273445725440979
33,1639,1639.0,7.231236934661865,6.189014434814453,14.419054985046387,23.2432908399043,1.175323486328125,1.0833277702331543,-0.40201494097709656,-0.2148725539445877
34,1705,1705.0,7.403813362121582,6.426002025604248,15.225625991821289,24.511008100804517,1.2138698101043701,1.1241737604141235,-0.4239656627178192,-0.17310814559459686
35,1675,1675.0,7.271108150482178,6.219794750213623,14.963783264160156,25.205332688429458,1.2399048805236816,1.1424938440322876,-0.4571787118911743,-0.15185333788394928
36,1609,1609.0,7.1485443115234375,6.153014659881592,14.410225868225098,26.09328118619321,1.2301146984100342,1.1091676950454712,-0.5171047449111938,-0.12462674081325531
37,1619,1619.0,7.393683910369873,6.356780529022217,14.487984657287598,26.693697502919644,1.2066506147384644,1.0421658754348755,-0.5903310775756836,-0.14630571007728577
38,1640,1640.0,7.477749824523926,6.446600914001465,14.796439170837402,27.15812133817654,1.1965304613113403,0.9605057835578918,-0.6804157495498657,-0.21482141315937042
39,1761,1761.0,7.7064008712768555,6.7206902503967285,15.35251522064209,28.32723628067116,1.230013132095337,0.9157741069793701,-0.7809523940086365,-0.25377801060676575
40,1763,1763.0,7.875247955322266,6.79247522354126,15.310381889343262,29.789815423497252,1.2950518131256104,0.9306203126907349,-0.8719490766525269,-0.22540993988513947
41,1766,1766.0,8.366595268249512,6.985276222229004,16.381549835205078,31.973402995488236,1.382045030593872,1.004063606262207,-0.9346715807914734,-0.16820701956748962
42,1765,1765.0,8.501699447631836,7.033407211303711,16.59023094177246,34.17936968229476,1.4709548950195312,1.0198167562484741,-1.0512787103652954,-0.13599631190299988
43,1728,1728.0,8.14016056060791,6.859476089477539,16.05014419555664,36.09409027270278,1.562300443649292,0.9268136620521545,-1.2443541288375854,-0.18270708620548248
44,1774,1774.0,8.31324291229248,6.680694580078125,16.60612678527832,37.94408799053575,1.6408226490020752,0.8238820433616638,-1.4022787809371948,-0.21709835529327393
45,1734,1734.0,8.288055419921875,6.461637496948242,16.659364700317383,39.42436756859593,1.6964762210845947,0.7553105354309082,-1.4984138011932373,-0.24958664178848267
46,1703,1703.0,8.354596138000488,6.268561363220215,16.864818572998047,41.0632236486163,1.7397109270095825,0.6967485547065735,-1.5752789974212646,-0.2441953718662262
47,1690,1690.0,8.557973861694336,5.830294609069824,17.004568099975586,43.0884157186601,1.7985011339187622,0.6631277203559875,-1.6505364179611206,-0.26570141315460205
48,1686,1686.0,8.450998306274414,5.544546127319336,17.726512908935547,45.09148480598223,1.898043155670166,0.6123331189155579,-1.767179250717163,-0.32356393337249756
49,1661,1661.0,8.233831405639648,5.430667877197266,17.898967742919922,47.381988744146014,2.0163042545318604,0.5619298815727234,-1.8972975015640259,-0.3872726857662201
50,1575,1575.0,8.094444274902344,5.75249719619751,16.69403076171875,49.37125743425013,2.130281925201416,0.5055232048034668,-2.027592658996582,-0.41402357816696167
51,1559,1559.0,8.206802368164062,6.071763515472412,16.730587005615234,51.55227002492401,2.242112636566162,0.519341230392456,-2.134382486343384,-0.4491825997829437
