iter,stage,total,e_img,e_smooth,e_vel,term_img,term_smooth_weighted,term_vel_weighted,total_from_terms,e_img_raw,e_smooth_raw,e_vel_raw,e_img_denom,e_smooth_denom,e_vel_denom,active_pairs,sum_weight,mean_reproj_px,max_translation
20,adam,15.85004711151123,15.845653533935547,0.00024412073253188282,7.311698573175818e-05,15.845653533935547,0.0036618109879782423,0.0007311698573175818,15.850046514780843,5082794.5,0.1157132238149643,0.03509615361690521,320769.0,474.0,480.0,320769,320769.0,4.012113094329834,0.06712402403354645
40,adam,11.274809837341309,11.27113151550293,0.00020446174312382936,6.109052628744394e-05,11.27113151550293,0.0030669261468574405,0.0006109052628744394,11.274809346912662,3615429.5,0.0969148650765419,0.029323451220989227,320769.0,474.0,480.0,320769,320769.0,3.1336004734039307,0.0644841343164444
60,adam,9.525749206542969,9.522823333740234,0.0001626647572265938,4.865907976636663e-05,9.522823333740234,0.002439971358398907,0.0004865907976636663,9.525749895896297,3054626.5,0.07710309326648712,0.023356357589364052,320769.0,474.0,480.0,320769,320769.0,2.7371675968170166,0.06272100657224655
80,adam,9.486288070678711,9.483976364135742,0.0001284592435695231,3.8505964766955e-05,9.483976364135742,0.0019268886535428464,0.00038505964766955003,9.486288312436955,3042165.5,0.060889679938554764,0.018482863903045654,320769.0,474.0,480.0,320769,320769.0,2.72176456451416,0.06231851130723953
100,adam,9.44664478302002,9.44487476348877,9.820464038057253e-05,2.9635839382535778e-05,9.44487476348877,0.001473069605708588,0.0002963583938253578,9.446644191488303,3029623.0,0.0465489998459816,0.014225202612578869,320769.0,474.0,480.0,320769,320769.0,2.7208943367004395,0.06144227832555771
120,adam,9.443062782287598,9.441740989685059,7.325992191908881e-05,2.2349817299982533e-05,9.441740989685059,0.0010988988287863322,0.00022349817299982533,9.443063386686845,3028617.75,0.03472520411014557,0.010727912187576294,320769.0,474.0,480.0,320769,320769.0,2.7201058864593506,0.06076235696673393
140,adam,9.427094459533691,9.426130294799805,5.3296000260161236e-05,1.6543723177164793e-05,9.426130294799805,0.0007994400039024185,0.00016543723177164793,9.427095172035479,3023610.25,0.02526230365037918,0.0079409871250391,320769.0,474.0,480.0,320769,320769.0,2.715672731399536,0.06006832793354988
160,adam,9.417315483093262,9.416625022888184,3.79706580133643e-05,1.2100658750568982e-05,9.416625022888184,0.0005695598702004645,0.00012100658750568982,9.41731558934589,3020561.5,0.017998091876506805,0.005808316171169281,320769.0,474.0,480.0,320769,320769.0,2.7131662368774414,0.05942903831601143
180,adam,9.411608695983887,9.41112232208252,2.6565034204395488e-05,8.801159310678486e-06,9.41112232208252,0.0003984755130659323,8.801159310678486e-05,9.411608809188692,3018796.25,0.012591825798153877,0.004224556498229504,320769.0,474.0,480.0,320769,320769.0,2.7118115425109863,0.05927245318889618
200,adam,9.407855987548828,9.407517433166504,1.8301238014828414e-05,6.413922164938413e-06,9.407517433166504,0.0002745185702224262,6.413922164938413e-05,9.407856090958376,3017640.0,0.008674786426126957,0.003078682580962777,320769.0,474.0,480.0,320769,320769.0,2.710650682449341,0.059791017323732376
