frame_idx,pnp_ok,num_alive,ransac_inliers,reproj_mean,reproj_p90,visibility_mean,delta_t,delta_rot_deg
0,1,1067,1067,0.7071035504341125,0.7071283459663391,1.0,0.0,0.0
1,1,1067,1067,0.3200550079345703,0.6041861414909362,1.0,0.0027634375728666782,0.10467832346762979
2,1,1067,1067,0.42934393882751465,0.873553168773651,1.0,0.0028811991214752197,0.09278741380920028
3,1,1067,1067,0.5138666033744812,0.9829019546508788,1.0,0.004467666614800692,0.1282042487280194
4,1,1067,1065,0.5916036367416382,1.119010257720947,1.0,0.003048158949241042,0.07912937001338384
5,1,1067,1064,0.6360291242599487,1.1785514593124389,1.0,0.001009771483950317,0.027976455118293345
6,1,1067,1060,0.7505712509155273,1.2811965465545654,1.0,0.0008393969619646668,0.027976455118293345
7,1,1067,1060,0.8408815264701843,1.362298607826233,1.0,0.0012881109723821282,0.03956468264845247
8,1,1067,1057,0.890064537525177,1.4171568155288696,1.0,0.000807720934972167,0.0
9,1,1067,1057,0.8726270198822021,1.4752439737319947,1.0,0.0007509730057790875,0.0
10,1,1067,1060,0.8664476871490479,1.4970260381698608,1.0,0.0011062894482165575,0.03956468264845247
11,1,1067,1060,0.8314327001571655,1.4026822090148923,1.0,0.0014269609237089753,0.03956468264845247
12,1,1067,1060,0.7848389148712158,1.3609491825103759,1.0,0.002330928575247526,0.05595291190411357
13,1,1067,1062,0.7867834568023682,1.4499488592147827,1.0,0.001546933432109654,0.07912937001338384
14,1,1067,1062,0.8214365839958191,1.557640504837036,1.0,0.0020139350090175867,0.07401874722002608
15,1,1067,1061,0.8350297212600708,1.5932652950286865,1.0,0.00175361183937639,0.048456642643301504
16,1,1067,1060,0.8399003148078918,1.5790314674377441,1.0,0.0019142533419653773,0.06852804325551864
17,1,1067,1060,0.9149138331413269,1.686339545249939,1.0,0.002433587098494172,0.06852804325551864
18,1,1067,1059,1.0114121437072754,1.9672918319702146,1.0,0.004798135720193386,0.15065786343767226
19,1,1067,1058,1.0252305269241333,1.9862274646759033,1.0,0.00026652473025023937,0.0
20,1,1067,1059,1.0137691497802734,1.9586876630783074,1.0,0.0016425094800069928,0.06852804325551864
21,1,1067,1060,0.9553315043449402,1.8656368732452386,1.0,0.003181686857715249,0.07401874722002608
22,1,1067,1060,0.9584524035453796,1.908890390396118,1.0,0.0020560449920594692,0.03956468264845247
23,1,1067,1063,0.9402023553848267,1.8709856986999511,1.0,0.0016373615944758058,0.048456642643301504
24,1,1067,1063,0.9393996000289917,1.8649217128753661,1.0,0.0021200617775321007,0.06852804325551864
25,1,1067,1063,0.9732781648635864,1.9585699558258056,1.0,0.0014012607280164957,0.0
26,1,1067,1066,0.9810396432876587,1.9944572210311888,1.0,0.0009000240243040025,0.03956468264845247
27,1,1067,1066,0.9898940324783325,1.986383819580078,1.0,0.002558304462581873,0.07912937001338384
28,1,1067,1067,1.0205466747283936,2.0339735984802245,1.0,0.0012184890219941735,0.03956468264845247
29,1,1067,1067,1.054687261581421,2.0712064266204835,1.0,0.0012960699386894703,0.03956468264845247
30,1,1067,1054,1.0811635255813599,2.1075815677642824,1.0,0.0022365094628185034,0.0625572578997782
31,1,1067,1050,1.107667326927185,2.1921016216278075,1.0,0.001329716993495822,0.05595291190411357
32,1,1067,1044,1.1257249116897583,2.2271885395050046,1.0,0.00047510117292404175,0.0
33,1,1067,1063,1.1311975717544556,2.208629322052002,1.0,0.0016234719660133123,0.048456642643301504
