iter,stage,total,e_img,e_smooth,e_vel,term_img,term_smooth_weighted,term_vel_weighted,total_from_terms,e_img_raw,e_smooth_raw,e_vel_raw,e_img_denom,e_smooth_denom,e_vel_denom,active_pairs,sum_weight,mean_reproj_px,max_translation
20,adam,7.8100762367248535,7.804920673370361,0.0003381182614248246,0.00017745197692420334,7.804920673370361,0.003381182614248246,0.0017745197692420334,7.810076375753852,1068759.0,0.16026805341243744,0.08517695218324661,136934.0,474.0,480.0,136934,136934.0,2.6745657920837402,0.3032229542732239
40,adam,1.5896989107131958,1.5849756002426147,0.0003041554882656783,0.000168175101862289,1.5849756002426147,0.003041554882656783,0.0016817510186228901,1.5896989061438944,217037.046875,0.14416970312595367,0.08072404563426971,136934.0,474.0,480.0,136934,136934.0,1.105986475944519,0.3081938624382019
60,adam,0.9876075387001038,0.9832640886306763,0.00027462647994980216,0.00015971365792211145,0.9832640886306763,0.0027462647994980216,0.0015971365792211145,0.9876074900093954,134642.28125,0.1301729530096054,0.07666255533695221,136934.0,474.0,480.0,136934,136934.0,0.8608222007751465,0.3086925446987152
80,adam,0.8184728622436523,0.8145012259483337,0.0002470432664267719,0.00015011944924481213,0.8145012259483337,0.002470432664267719,0.0015011944924481213,0.8184728531050496,111532.9140625,0.11709851026535034,0.0720573365688324,136934.0,474.0,480.0,136934,136934.0,0.7727349400520325,0.30592086911201477
100,adam,0.7951000928878784,0.7914053797721863,0.00022640566749032587,0.00014306233788374811,0.7914053797721863,0.0022640566749032587,0.0014306233788374811,0.795100059825927,108370.3046875,0.1073162853717804,0.06866992264986038,136934.0,474.0,480.0,136934,136934.0,0.757602870464325,0.304414302110672
120,adam,0.7904561758041382,0.7869850993156433,0.00020987466268707067,0.00013723247684538364,0.7869850993156433,0.0020987466268707067,0.0013723247684538364,0.7904561707109679,107765.015625,0.09948059171438217,0.06587158888578415,136934.0,474.0,480.0,136934,136934.0,0.7547643184661865,0.302688330411911
140,adam,0.7871430516242981,0.7838425040245056,0.00019734057423193008,0.00013271499483380467,0.7838425040245056,0.0019734057423193008,0.0013271499483380467,0.787143059715163,107334.6875,0.09353943169116974,0.06370319426059723,136934.0,474.0,480.0,136934,136934.0,0.7521864771842957,0.3011822998523712
160,adam,0.7850767374038696,0.7819070219993591,0.00018775906937662512,0.00012921306188218296,0.7819070219993591,0.0018775906937662512,0.0012921306188218296,0.7850767433119472,107069.65625,0.08899779617786407,0.062022268772125244,136934.0,474.0,480.0,136934,136934.0,0.7505086660385132,0.29993268847465515
180,adam,0.7835990190505981,0.7805333137512207,0.00018014786473941058,0.00012642280489671975,0.7805333137512207,0.0018014786473941058,0.0012642280489671975,0.783599020447582,106881.546875,0.08539009094238281,0.06068294867873192,136934.0,474.0,480.0,136934,136934.0,0.7492529153823853,0.29891934990882874
200,adam,0.7825093865394592,0.7795293927192688,0.0001738616992952302,0.00012413992953952402,0.7795293927192688,0.001738616992952302,0.0012413992953952402,0.7825094090076163,106744.078125,0.08241044729948044,0.05958716571331024,136934.0,474.0,480.0,136934,136934.0,0.7482386827468872,0.29812270402908325
220,adam,0.7816985845565796,0.7787925601005554,0.00016840273747220635,0.0001221999991685152,0.7787925601005554,0.0016840273747220635,0.001221999991685152,0.7816985874669626,106643.1796875,0.07982289791107178,0.0586559996008873,136934.0,474.0,480.0,136934,136934.0,0.7474284172058105,0.29751259088516235
240,adam,0.7810904383659363,0.7782512307167053,0.00016343840979970992,0.00012048726784996688,0.7782512307167053,0.0016343840979970992,0.0012048726784996688,0.7810904874932021,106569.0546875,0.07746980339288712,0.05783388763666153,136934.0,474.0,480.0,136934,136934.0,0.7467883825302124,0.29705575108528137
260,adam,0.7806305885314941,0.777853786945343,0.0001587567967362702,0.00011892346810782328,0.777853786945343,0.001587567967362702,0.0011892346810782328,0.780630589593784,106514.6328125,0.07525072246789932,0.057083263993263245,136934.0,474.0,480.0,136934,136934.0,0.7462752461433411,0.29672306776046753
280,adam,0.7802784442901611,0.777561604976654,0.0001542291574878618,0.0001174563221866265,0.777561604976654,0.0015422915748786181,0.001174563221866265,0.7802784597733989,106474.6171875,0.0731046199798584,0.056379035115242004,136934.0,474.0,480.0,136934,136934.0,0.7458633184432983,0.29648736119270325
300,adam,0.780005156993866,0.7773467302322388,0.00014978779654484242,0.00011605362669797614,0.7773467302322388,0.0014978779654484242,0.0011605362669797614,0.780005144464667,106445.1953125,0.07099941372871399,0.05570574104785919,136934.0,474.0,480.0,136934,136934.0,0.7455345392227173,0.2963252663612366
320,adam,0.7797878384590149,0.7771868109703064,0.0001454051525797695,0.00011469696619315073,0.7771868109703064,0.001454051525797695,0.0011469696619315073,0.7797878321580356,106423.296875,0.06892204284667969,0.055054545402526855,136934.0,474.0,480.0,136934,136934.0,0.7452715635299683,0.29621756076812744
340,adam,0.7796118855476379,0.7770673632621765,0.00014107766037341207,0.00011337686009937897,0.7770673632621765,0.0014107766037341207,0.0011337686009937897,0.7796119084669044,106406.9453125,0.0668708086013794,0.054420892149209976,136934.0,474.0,480.0,136934,136934.0,0.7450619339942932,0.29614919424057007
360,adam,0.7794656157493591,0.7769765257835388,0.00013681592827197164,0.0001120895758504048,0.7769765257835388,0.0013681592827197164,0.001120895758504048,0.7794655808247626,106394.5,0.06485074758529663,0.05380299687385559,136934.0,474.0,480.0,136934,136934.0,0.74489426612854,0.2961086630821228
380,adam,0.7793402671813965,0.7769055366516113,0.00013263605069369078,0.00011083462595706806,0.7769055366516113,0.0013263605069369078,0.0011083462595706806,0.7793402434181189,106384.78125,0.06286948919296265,0.0532006211578846,136934.0,474.0,480.0,136934,136934.0,0.7447600960731506,0.2960873246192932
400,adam,0.779231071472168,0.7768493890762329,0.0001285576436202973,0.00010961362568195909,0.7768493890762329,0.0012855764362029731,0.001096136256819591,0.7792311017692555,106377.09375,0.06093632057309151,0.05261453986167908,136934.0,474.0,480.0,136934,136934.0,0.7446528673171997,0.29607895016670227
420,adam,0.7791340947151184,0.7768038511276245,0.00012459780555218458,0.00010842859774129465,0.7768038511276245,0.0012459780555218458,0.0010842859774129465,0.7791341151605593,106370.859375,0.05905936285853386,0.05204572528600693,136934.0,474.0,480.0,136934,136934.0,0.7445675730705261,0.29607921838760376
440,adam,0.7790467739105225,0.7767662405967712,0.00012077161954948679,0.00010728171037044376,0.7767662405967712,0.0012077161954948679,0.0010728171037044376,0.7790467738959705,106365.7109375,0.05724574625492096,0.05149522051215172,136934.0,474.0,480.0,136934,136934.0,0.744498610496521,0.29608508944511414
460,adam,0.7789667844772339,0.7767341136932373,0.00011709178215824068,0.0001061752627720125,0.7767341136932373,0.0011709178215824068,0.001061752627720125,0.7789667841425398,106361.3125,0.055501505732536316,0.050964124500751495,136934.0,474.0,480.0,136934,136934.0,0.7444435954093933,0.29609498381614685
480,adam,0.7788931727409363,0.7767063975334167,0.00011356639879522845,0.00010511052823858336,0.7767063975334167,0.0011356639879522845,0.0010511052823858336,0.7788931668037549,106357.515625,0.053830474615097046,0.050453051924705505,136934.0,474.0,480.0,136934,136934.0,0.7443990707397461,0.29610711336135864
500,adam,0.7788246870040894,0.7766817808151245,0.00011020230158464983,0.00010408900561742485,0.7766817808151245,0.0011020230158464983,0.0010408900561742485,0.7788246938871453,106354.140625,0.05223589017987251,0.04996272176504135,136934.0,474.0,480.0,136934,136934.0,0.7443629503250122,0.29612085223197937
520,adam,0.7787609696388245,0.7766598463058472,0.00010700149869080633,0.00010311090591130778,0.7766598463058472,0.0010700149869080633,0.0010311090591130778,0.7787609703518683,106351.140625,0.05071870982646942,0.04949323460459709,136934.0,474.0,480.0,136934,136934.0,0.7443321943283081,0.2961355447769165
540,adam,0.7787020206451416,0.7766405940055847,0.00010396556899650022,0.00010217658564215526,0.7766405940055847,0.0010396556899650022,0.0010217658564215526,0.7787020155519713,106348.5,0.049279678612947464,0.049044761806726456,136934.0,474.0,480.0,136934,136934.0,0.7443082332611084,0.2961511015892029
560,adam,0.7886565923690796,0.7866338491439819,0.00010102218948304653,0.00010125331027666107,0.7866338491439819,0.0010102218948304653,0.0010125331027666107,0.788656604141579,107716.921875,0.047884516417980194,0.04860159009695053,136934.0,474.0,480.0,136934,136934.0,0.7485424876213074,0.29616695642471313
580,adam,0.8747420907020569,0.8727510571479797,9.85751612461172e-05,0.00010053153528133407,0.8727510571479797,0.000985751612461172,0.0010053153528133407,0.8747421241132542,119509.296875,0.046724624931812286,0.04825513809919357,136934.0,474.0,480.0,136934,136934.0,0.7825855016708374,0.29618319869041443
600,adam,0.7939134240150452,0.7919623851776123,9.558461169945076e-05,9.952127584256232e-05,0.7919623851776123,0.0009558461169945076,0.0009952127584256232,0.7939134440530324,108446.578125,0.04530710726976395,0.04777021333575249,136934.0,474.0,480.0,136934,136934.0,0.7520800828933716,0.2961996793746948
620,adam,0.7800818681716919,0.7781631350517273,9.309822780778632e-05,9.877452248474583e-05,0.7781631350517273,0.0009309822780778632,0.0009877452248474583,0.7800818625546526,106556.9921875,0.04412855952978134,0.04741176962852478,136934.0,474.0,480.0,136934,136934.0,0.7451406121253967,0.29621621966362
640,adam,0.8067018389701843,0.8048126697540283,9.08436268218793e-05,9.807394962990656e-05,0.8048126697540283,0.000908436268218793,0.0009807394962990656,0.8067018455185462,110206.21875,0.043059878051280975,0.04707549512386322,136934.0,474.0,480.0,136934,136934.0,0.7544390559196472,0.296232670545578
660,adam,0.7822607755661011,0.7803966999053955,8.897647785488516e-05,9.743073314893991e-05,0.7803966999053955,0.0008897647785488516,0.0009743073314893991,0.7822607720154338,106862.84375,0.04217484965920448,0.046766750514507294,136934.0,474.0,480.0,136934,136934.0,0.7461543083190918,0.2962542474269867
680,adam,0.7787887454032898,0.7769503593444824,8.70531948748976e-05,9.678497008280829e-05,0.7769503593444824,0.000870531948748976,0.0009678497008280829,0.7787887409940595,106390.921875,0.041263215243816376,0.04645678400993347,136934.0,474.0,480.0,136934,136934.0,0.7445120811462402,0.29628345370292664
700,adam,0.7783770561218262,0.7765634059906006,8.519795665051788e-05,9.616582974558696e-05,0.7765634059906006,0.0008519795665051788,0.0009616582974558696,0.7783770438545616,106337.9375,0.04038383066654205,0.04615959897637367,136934.0,474.0,480.0,136934,136934.0,0.7442858815193176,0.2963087558746338
720,adam,0.778327226638794,0.776536762714386,8.346388494828716e-05,9.558270539855585e-05,0.776536762714386,0.0008346388494828716,0.0009558270539855585,0.7783272286178544,106334.28125,0.039561882615089417,0.04587969928979874,136934.0,474.0,480.0,136934,136934.0,0.7442384362220764,0.29632681608200073
740,adam,0.8023322820663452,0.8005622625350952,8.191424421966076e-05,9.508890070719644e-05,0.8005622625350952,0.0008191424421966076,0.0009508890070719644,0.8023322939843638,109624.1953125,0.03882735222578049,0.0456426739692688,136934.0,474.0,480.0,136934,136934.0,0.7534732818603516,0.2963399589061737
760,adam,0.7810988426208496,0.7793504595756531,8.03643197286874e-05,9.447253978578374e-05,0.7793504595756531,0.0008036431972868741,0.0009447253978578374,0.7810988281707978,106719.578125,0.03809268772602081,0.04534681886434555,136934.0,474.0,480.0,136934,136934.0,0.7456566095352173,0.29635119438171387
780,adam,0.7787662744522095,0.7770371437072754,7.893831207184121e-05,9.397145913681015e-05,0.7770371437072754,0.0007893831207184121,0.0009397145913681015,0.7787662414193619,106402.8046875,0.03741675987839699,0.045106299221515656,136934.0,474.0,480.0,136934,136934.0,0.7444999814033508,0.29636237025260925
800,adam,0.8409222960472107,0.8392026424407959,7.82334100222215e-05,9.373633656650782e-05,0.8392026424407959,0.0007823341002222151,0.0009373633656650782,0.8409223399066832,114915.375,0.03708263486623764,0.04499344155192375,136934.0,474.0,480.0,136934,136934.0,0.7714830040931702,0.2963743805885315
820,adam,0.7958095669746399,0.7941133975982666,7.655955414520577e-05,9.305401181336492e-05,0.7941133975982666,0.0007655955414520577,0.0009305401181336492,0.7958095332578523,108741.125,0.03628922998905182,0.044665925204753876,136934.0,474.0,480.0,136934,136934.0,0.7527433633804321,0.2963869273662567
840,adam,0.8008755445480347,0.7991952300071716,7.543546962551773e-05,9.259448415832594e-05,0.7991952300071716,0.0007543546962551773,0.0009259448415832594,0.8008755295450101,109437.0,0.03575641289353371,0.044445350766181946,136934.0,474.0,480.0,136934,136934.0,0.7557730674743652,0.2964000701904297
860,adam,0.7906222343444824,0.788957953453064,7.420824113069102e-05,9.221836808137596e-05,0.788957953453064,0.0007420824113069102,0.0009221836808137596,0.7906222195451846,108035.171875,0.03517470508813858,0.044264815747737885,136934.0,474.0,480.0,136934,136934.0,0.7521424293518066,0.2964136600494385
880,adam,0.7882762551307678,0.7866277098655701,7.302242011064664e-05,9.183203655993566e-05,0.7866277098655701,0.0007302242011064664,0.0009183203655993566,0.7882762544322759,107716.078125,0.03461262583732605,0.04407937824726105,136934.0,474.0,480.0,136934,136934.0,0.7489295601844788,0.296427458524704
900,adam,0.8005915880203247,0.7989547252655029,7.218400423880666e-05,9.150448750006035e-05,0.7989547252655029,0.0007218400423880666,0.0009150448750006035,0.8005916101828916,109404.0703125,0.03421521931886673,0.04392215237021446,136934.0,474.0,480.0,136934,136934.0,0.7545343041419983,0.2964457869529724
920,adam,0.7804957032203674,0.7788717150688171,7.122022361727431e-05,9.11768656806089e-05,0.7788717150688171,0.0007122022361727431,0.000911768656806089,0.780495685961796,106654.015625,0.033758386969566345,0.04376489669084549,136934.0,474.0,480.0,136934,136934.0,0.745483934879303,0.296472430229187
940,adam,0.7781551480293274,0.7765429019927979,7.036633905954659e-05,9.085512283490971e-05,0.7765429019927979,0.0007036633905954659,0.0009085512283490971,0.7781551166117424,106335.125,0.033353645354509354,0.043610457330942154,136934.0,474.0,480.0,136934,136934.0,0.7442958354949951,0.29649344086647034
960,adam,0.7783703207969666,0.7767689228057861,6.958554877201095e-05,9.055113332578912e-05,0.7767689228057861,0.0006958554877201095,0.0009055113332578912,0.7783702896267641,106366.078125,0.03298354893922806,0.043464545160532,136934.0,474.0,480.0,136934,136934.0,0.7444553375244141,0.29650673270225525
980,adam,0.7843118906021118,0.7827222347259521,6.874928658362478e-05,9.021585719892755e-05,0.7827222347259521,0.0006874928658362478,0.0009021585719892755,0.7843118861637777,107181.2890625,0.032587163150310516,0.04330361261963844,136934.0,474.0,480.0,136934,136934.0,0.746649444103241,0.2965162396430969
