iter,stage,total,e_img,e_smooth,e_vel,term_img,term_smooth_weighted,term_vel_weighted,total_from_terms,e_img_raw,e_smooth_raw,e_vel_raw,e_img_denom,e_smooth_denom,e_vel_denom,active_pairs,sum_weight,mean_reproj_px,max_translation
20,adam,8.032700538635254,8.020934104919434,0.0007195541402325034,0.00045705391676165164,8.020934104919434,0.007195541402325034,0.004570539167616516,8.032700185489375,829364.625,0.34106865525245667,0.21938587725162506,103400.0,474.0,480.0,103400,103400.0,2.6844356060028076,0.8077723979949951
40,adam,1.999505877494812,1.988204836845398,0.0006833488587290049,0.0004467646940611303,1.988204836845398,0.006833488587290049,0.004467646940611303,1.9995059723732993,205580.375,0.32390734553337097,0.2144470512866974,103400.0,474.0,480.0,103400,103400.0,1.2056940793991089,0.8072795867919922
60,adam,1.2581955194473267,1.2474263906478882,0.0006428275373764336,0.00043408459168858826,1.2474263906478882,0.006428275373764336,0.004340845916885883,1.2581955119385384,128983.890625,0.30470025539398193,0.20836059749126434,103400.0,474.0,480.0,103400,103400.0,0.9430397748947144,0.8064510226249695
80,adam,1.118416666984558,1.108174443244934,0.000602773972786963,0.000421449396526441,1.108174443244934,0.00602773972786963,0.00421449396526441,1.1184166769380681,114585.234375,0.28571486473083496,0.2022957056760788,103400.0,474.0,480.0,103400,103400.0,0.8686623573303223,0.8059511184692383
100,adam,1.092023491859436,1.0821857452392578,0.0005720348563045263,0.0004117392818443477,1.0821857452392578,0.005720348563045263,0.004117392818443477,1.0920234866207466,111898.0,0.2711445093154907,0.19763486087322235,103400.0,474.0,480.0,103400,103400.0,0.8555229306221008,0.8056748509407043
120,adam,1.0856627225875854,1.0761548280715942,0.0005469989846460521,0.0004037874168716371,1.0761548280715942,0.005469989846460521,0.004037874168716371,1.0856626920867711,111274.40625,0.2592775225639343,0.19381795823574066,103400.0,474.0,480.0,103400,103400.0,0.8527044653892517,0.8051899671554565
140,adam,1.082513451576233,1.0732792615890503,0.0005261970800347626,0.0003972141130361706,1.0732792615890503,0.005261970800347626,0.003972141130361706,1.0825133735197596,110977.078125,0.24941740930080414,0.19066277146339417,103400.0,474.0,480.0,103400,103400.0,0.8511940836906433,0.8047223091125488
160,adam,1.0805985927581787,1.0716019868850708,0.0005081152776256204,0.0003915420384146273,1.0716019868850708,0.005081152776256204,0.003915420384146273,1.0805985600454733,110803.6484375,0.240846648812294,0.18794018030166626,103400.0,474.0,480.0,103400,103400.0,0.8504119515419006,0.8042604923248291
180,adam,1.0793094635009766,1.0705283880233765,0.0004916757461614907,0.00038642852450720966,1.0705283880233765,0.004916757461614907,0.0038642852450720966,1.0793094307300635,110692.640625,0.23305431008338928,0.18548569083213806,103400.0,474.0,480.0,103400,103400.0,0.8499122858047485,0.803797721862793
200,adam,1.0783807039260864,1.0698015689849854,0.0004762459429912269,0.00038166838930919766,1.0698015689849854,0.004762459429912269,0.0038166838930919766,1.0783807123079896,110617.484375,0.22574058175086975,0.18320082128047943,103400.0,474.0,480.0,103400,103400.0,0.8495627045631409,0.8033393621444702
220,adam,1.0776793956756592,1.069293737411499,0.0004614304343704134,0.0003771308111026883,1.069293737411499,0.004614304343704134,0.003771308111026883,1.07767934986623,110564.96875,0.218718022108078,0.1810227930545807,103400.0,474.0,480.0,103400,103400.0,0.8493180274963379,0.8028878569602966
240,adam,1.0771266222000122,1.0689294338226318,0.0004469930427148938,0.00037273511406965554,1.0689294338226318,0.004469930427148938,0.0037273511406965554,1.0771267153904773,110527.3046875,0.21187470853328705,0.17891284823417664,103400.0,474.0,480.0,103400,103400.0,0.8491491675376892,0.8024446368217468
260,adam,1.0766743421554565,1.0686618089675903,0.00043280862155370414,0.00036843528505414724,1.0686618089675903,0.004328086215537041,0.0036843528505414724,1.0766742480336688,110499.625,0.2051512897014618,0.17684893310070038,103400.0,474.0,480.0,103400,103400.0,0.8490291237831116,0.8020100593566895
280,adam,1.0762934684753418,1.0684632062911987,0.00041881759534589946,0.00036420629476197064,1.0684632062911987,0.004188175953458995,0.0036420629476197064,1.0762934451922774,110479.09375,0.1985195428133011,0.17481902241706848,103400.0,474.0,480.0,103400,103400.0,0.8489457368850708,0.8015841841697693
300,adam,1.0759623050689697,1.0683119297027588,0.0004050059651490301,0.00036003708373755217,1.0683119297027588,0.004050059651490301,0.0036003708373755217,1.0759623601916246,110463.453125,0.19197282195091248,0.17281779646873474,103400.0,474.0,480.0,103400,103400.0,0.848886251449585,0.801166296005249
320,adam,1.0756675004959106,1.0681945085525513,0.0003913818800356239,0.0003559238975867629,1.0681945085525513,0.003913818800356239,0.003559238975867629,1.0756675663287751,110451.3125,0.18551501631736755,0.1708434671163559,103400.0,474.0,480.0,103400,103400.0,0.8488450050354004,0.8007553219795227
340,adam,1.0753999948501587,1.0681016445159912,0.00037796725519001484,0.00035186807508580387,1.0681016445159912,0.0037796725519001484,0.0035186807508580387,1.0753999978187494,110441.7109375,0.17915648221969604,0.16889667510986328,103400.0,474.0,480.0,103400,103400.0,0.84881591796875,0.8003503680229187
360,adam,1.0751532316207886,1.0680265426635742,0.0003647913981694728,0.000347874010913074,1.0680265426635742,0.003647913981694728,0.00347874010913074,1.0751531967543997,110433.9453125,0.1729111224412918,0.16697952151298523,103400.0,474.0,480.0,103400,103400.0,0.8487944602966309,0.799950122833252
380,adam,1.0749220848083496,1.0679638385772705,0.00035188545007258654,0.00034394755493849516,1.0679638385772705,0.0035188545007258654,0.0034394755493849516,1.0749221686273813,110427.4609375,0.16679370403289795,0.16509482264518738,103400.0,474.0,480.0,103400,103400.0,0.8487781286239624,0.7995537519454956
400,adam,1.074703574180603,1.067909836769104,0.0003392788057681173,0.0003400949644856155,1.067909836769104,0.003392788057681173,0.003400949644856155,1.0747035744716413,110421.8828125,0.1608181595802307,0.16324558854103088,103400.0,474.0,480.0,103400,103400.0,0.848767101764679,0.7991600632667542
420,adam,1.0744961500167847,1.067862868309021,0.0003269988810643554,0.0003363228461239487,1.067862868309021,0.0032699888106435537,0.003363228461239487,1.074496085580904,110417.015625,0.15499746799468994,0.16143496334552765,103400.0,474.0,480.0,103400,103400.0,0.8487575650215149,0.7987684011459351
440,adam,1.0742980241775513,1.0678209066390991,0.00031507041421718895,0.0003326373116578907,1.0678209066390991,0.0031507041421718895,0.0033263731165789068,1.07429798389785,110412.6796875,0.1493433713912964,0.15966591238975525,103400.0,474.0,480.0,103400,103400.0,0.8487499952316284,0.7983778715133667
460,adam,1.0741090774536133,1.0677835941314697,0.000303512264508754,0.00032904374529607594,1.0677835941314697,0.00303512264508754,0.0032904374529607594,1.074109154229518,110408.8203125,0.14386481046676636,0.15794099867343903,103400.0,474.0,480.0,103400,103400.0,0.8487429022789001,0.7979879379272461
