iter,stage,total,e_img,e_smooth,e_vel,term_img,term_smooth_weighted,term_vel_weighted,total_from_terms,e_img_raw,e_smooth_raw,e_vel_raw,e_img_denom,e_smooth_denom,e_vel_denom,active_pairs,sum_weight,mean_reproj_px,max_translation
20,adam,7.777572154998779,7.771739482879639,0.00039319691131822765,0.00019008309755008668,7.771739482879639,0.0039319691131822765,0.0019008309755008668,7.777572282968322,1078694.125,0.18637533485889435,0.09123988449573517,138797.0,474.0,480.0,138797,138797.0,2.658520221710205,0.2608499228954315
40,adam,1.6350654363632202,1.6297473907470703,0.00035427225520834327,0.000177530906512402,1.6297473907470703,0.0035427225520834327,0.00177530906512402,1.6350654223642778,226204.046875,0.16792504489421844,0.08521483838558197,138797.0,474.0,480.0,138797,138797.0,1.1268123388290405,0.2608828544616699
60,adam,1.0412578582763672,1.0364468097686768,0.0003156338934786618,0.00016547224367968738,1.0364468097686768,0.0031563389347866178,0.0016547224367968738,1.0412578711402602,143855.703125,0.1496104598045349,0.07942667603492737,138797.0,474.0,480.0,138797,138797.0,0.8826325535774231,0.2591272294521332
80,adam,0.8737339377403259,0.8693873882293701,0.0002808976569212973,0.00015375476505141705,0.8693873882293701,0.002808976569212973,0.0015375476505141705,0.8737339124490973,120668.359375,0.1331454962491989,0.07380228489637375,138797.0,474.0,480.0,138797,138797.0,0.8001452684402466,0.2561492323875427
100,adam,0.8505605459213257,0.8465791940689087,0.00025365359033457935,0.00014448438014369458,0.8465791940689087,0.0025365359033457935,0.0014448438014369458,0.8505605737736914,117502.65625,0.12023180723190308,0.06935250014066696,138797.0,474.0,480.0,138797,138797.0,0.7863247394561768,0.25317150354385376
120,adam,0.8460082411766052,0.8423201441764832,0.00023189722560346127,0.0001369139354210347,0.8423201441764832,0.0023189722560346127,0.001369139354210347,0.8460082557867281,116911.5078125,0.10991928726434708,0.06571868807077408,138797.0,474.0,480.0,138797,138797.0,0.7841219902038574,0.2502914071083069
140,adam,0.8427530527114868,0.8392915725708008,0.00021517016284633428,0.00013097822375129908,0.8392915725708008,0.002151701628463343,0.0013097822375129908,0.8427530564367771,116491.15625,0.10199065506458282,0.06286954879760742,138797.0,474.0,480.0,138797,138797.0,0.7816163301467896,0.24763813614845276
160,adam,0.840752363204956,0.8374655246734619,0.00020231127564329654,0.0001263743470190093,0.8374655246734619,0.0020231127564329654,0.001263743470190093,0.840752380900085,116237.703125,0.09589554369449615,0.06065968796610832,138797.0,474.0,480.0,138797,138797.0,0.7800514101982117,0.24530676007270813
180,adam,0.8393300175666809,0.8361819982528687,0.0001920811482705176,0.00012272030289750546,0.8361819982528687,0.0019208114827051759,0.0012272030289750546,0.8393300127645489,116059.5546875,0.09104646742343903,0.058905743062496185,138797.0,474.0,480.0,138797,138797.0,0.7789325714111328,0.24328556656837463
200,adam,0.8382748365402222,0.8352411985397339,0.00018361714319325984,0.00011974827793892473,0.8352411985397339,0.0018361714319325984,0.0011974827793892473,0.8382748527510557,115928.9765625,0.08703452348709106,0.05747917294502258,138797.0,474.0,480.0,138797,138797.0,0.7780230045318604,0.24157677590847015
