iter,stage,total,e_img,e_smooth,e_vel,term_img,term_smooth_weighted,term_vel_weighted,total_from_terms,e_img_raw,e_smooth_raw,e_vel_raw,e_img_denom,e_smooth_denom,e_vel_denom,active_pairs,sum_weight,mean_reproj_px,max_translation
20,adam,15.848472595214844,15.845294952392578,0.0002445171121507883,7.322382589336485e-05,15.845294952392578,0.002445171121507883,0.0007322382589336485,15.84847236177302,5082679.5,0.11590111255645752,0.03514743596315384,320769.0,474.0,480.0,320769,320769.0,4.012041091918945,0.06714221835136414
40,adam,11.2738618850708,11.271196365356445,0.00020526620210148394,6.130823021521792e-05,11.271196365356445,0.0020526620210148394,0.0006130823021521792,11.273862109679612,3615450.5,0.09729617834091187,0.029427949339151382,320769.0,474.0,480.0,320769,320769.0,3.1336042881011963,0.06452655792236328
60,adam,9.525227546691895,9.523098945617676,0.00016382233297917992,4.897237886325456e-05,9.523098945617676,0.0016382233297917992,0.0004897237886325456,9.5252268927361,3054715.0,0.07765178382396698,0.02350674197077751,320769.0,474.0,480.0,320769,320769.0,2.737250328063965,0.06279012560844421
80,adam,9.48593521118164,9.484247207641602,0.00012985002831555903,3.888150240527466e-05,9.484247207641602,0.0012985002831555903,0.0003888150240527466,9.48593452294881,3042252.5,0.06154891476035118,0.01866312138736248,320769.0,474.0,480.0,320769,320769.0,2.721811532974243,0.06241326406598091
100,adam,9.446484565734863,9.44518756866455,9.969074744731188e-05,3.0036309908609837e-05,9.44518756866455,0.0009969074744731188,0.0003003630990860984,9.44648483923811,3029723.25,0.04725341498851776,0.014417428523302078,320769.0,474.0,480.0,320769,320769.0,2.720956802368164,0.06155916675925255
120,adam,9.443014144897461,9.44204044342041,7.471893331967294e-05,2.2742322471458465e-05,9.44204044342041,0.0007471893331967294,0.00022742322471458465,9.443015055978321,3028713.75,0.035416774451732635,0.010916315019130707,320769.0,474.0,480.0,320769,320769.0,2.7201650142669678,0.06089691445231438
140,adam,9.427117347717285,9.42640209197998,5.463723209686577e-05,1.6904057702049613e-05,9.42640209197998,0.0005463723209686577,0.00016904057702049613,9.42711750487797,3023697.5,0.025898048654198647,0.008113947696983814,320769.0,474.0,480.0,320769,320769.0,2.715726852416992,0.060215193778276443
160,adam,9.417376518249512,9.416861534118652,3.9140195440268144e-05,1.2414582670317031e-05,9.416861534118652,0.00039140195440268144,0.00012414582670317031,9.417377081899758,3020637.25,0.018552452325820923,0.005958999507129192,320769.0,474.0,480.0,320769,320769.0,2.713214635848999,0.059582699090242386
180,adam,9.4116849899292,9.4113187789917,2.7540560040506534e-05,9.062884601007681e-06,9.4113187789917,0.00027540560040506534,9.062884601007681e-05,9.411684813438114,3018859.25,0.013054225593805313,0.004350184462964535,320769.0,474.0,480.0,320769,320769.0,2.71185302734375,0.05941615626215935
200,adam,9.407930374145508,9.407673835754395,1.9084172890870832e-05,6.6239736042916775e-06,9.407673835754395,0.00019084172890870832,6.623973604291677e-05,9.407930917219346,3017690.0,0.009045897983014584,0.003179507330060005,320769.0,474.0,480.0,320769,320769.0,2.710684299468994,0.05993066355586052
