frame_idx,pnp_ok,num_alive,ransac_inliers,reproj_mean,reproj_p90,visibility_mean,delta_t,delta_rot_deg
0,1,292,292,0.70710289478302,0.7071499228477478,1.0,0.0,0.0
1,1,292,292,0.5001360774040222,0.9116109490394593,1.0,0.2206197828054428,6.09229704746812
2,1,292,292,0.7532938122749329,1.3160935401916505,1.0,0.17881222069263458,5.061286114487809
3,1,292,292,0.8710629343986511,1.6406167745590212,1.0,0.10334707796573639,2.4582986491628755
4,1,288,288,1.0183569192886353,2.052899980545044,1.0,0.15073776245117188,3.9335296802663966
5,1,279,279,1.0160118341445923,2.0363095760345464,1.0,0.04719843715429306,1.2379624495275579
6,1,278,277,1.023074746131897,1.9732284784317018,1.0,0.058623071759939194,1.1446629589866222
7,1,278,278,1.074366807937622,2.0909079551696776,1.0,0.013735408894717693,1.0152926675543787
8,1,278,278,0.963088870048523,1.8883831977844239,1.0,0.16462771594524384,5.442729431986291
9,1,278,278,0.8360301852226257,1.627942192554474,1.0,0.09454797208309174,3.196839403547874
10,1,278,278,0.7345589995384216,1.4588212013244644,1.0,0.12377936393022537,3.9314382242863632
11,1,278,278,0.6737508177757263,1.3406654596328735,1.0,0.14071625471115112,4.1855387124586265
12,1,278,277,0.6452445983886719,1.2862106800079347,1.0,0.04797866567969322,1.3873388687618244
13,1,278,278,0.5933701992034912,1.1139796257019046,1.0,0.12847615778446198,3.643251304122409
14,1,278,278,0.639335036277771,1.3360262036323547,1.0,0.4132259488105774,11.602437804676677
15,1,278,277,0.674697756767273,1.2937632441520694,1.0,0.5265982747077942,15.58585213237833
16,1,278,277,0.6805512309074402,1.2353636264801027,1.0,0.20313844084739685,6.254136347071761
17,1,278,277,0.7118586301803589,1.2828258752822876,1.0,0.162931889295578,5.338251447344664
18,1,278,277,0.7213630080223083,1.248513185977936,1.0,0.057250890880823135,1.893205507309702
19,1,278,277,0.7457093000411987,1.2517473578453069,1.0,0.17786678671836853,5.490193629356056
20,1,278,277,0.7963374257087708,1.2695525527000429,1.0,0.21604236960411072,6.558434030876097
21,1,278,269,0.8237032890319824,1.3994474887847907,1.0,0.08951670676469803,2.9133601038301866
22,1,278,263,0.8611697554588318,1.5201982855796816,1.0,0.023727979511022568,0.8050288060134768
23,1,278,266,0.8782898783683777,1.4243588209152223,1.0,0.05095558986067772,1.7844348831057968
24,1,278,274,0.9247928261756897,1.4906906008720398,1.0,0.03690625727176666,1.1508008117753645
25,1,278,271,0.9796364307403564,1.6111985087394716,1.0,0.13578186929225922,4.157275402168328
26,1,278,271,1.0510780811309814,1.6337852478027344,1.0,0.09372909367084503,3.0467109839844375
27,1,278,272,1.0751945972442627,1.7331639766693119,1.0,0.09978800266981125,3.9362170647809216
28,1,278,277,1.1366342306137085,1.8384925842285158,1.0,0.12121015042066574,2.9585659463744802
29,1,277,275,1.162415623664856,1.937166452407837,1.0,0.16159331798553467,5.051599228780704
30,1,277,276,1.181278109550476,2.0890586376190186,1.0,0.027981309220194817,1.353640960139529
31,1,277,275,1.1482540369033813,1.938710403442383,1.0,0.11258037388324738,3.9546806134292742
32,1,277,275,1.1050448417663574,1.8234599828720093,1.0,0.14760439097881317,3.7026386137816125
33,1,277,275,1.1046955585479736,1.8072909593582156,1.0,0.09240521490573883,2.48585220493498
34,1,277,274,1.0892354249954224,1.8411940574645997,1.0,0.05030060559511185,1.7703412573175141
35,1,277,275,1.0757410526275635,1.8208906650543217,1.0,0.02519143745303154,0.8127697748697776
36,1,277,276,1.0766665935516357,1.825898313522339,1.0,0.05956337973475456,1.7530115085060414
