iter,stage,total,e_img,e_smooth,e_vel,term_img,term_smooth_weighted,term_vel_weighted,total_from_terms,e_img_raw,e_smooth_raw,e_vel_raw,e_img_denom,e_smooth_denom,e_vel_denom,active_pairs,sum_weight,mean_reproj_px
20,adam,13.068578720092773,13.068564414978027,1.4335855667013675e-06,8.36699598494306e-07,13.068564414978027,1.4335855667013675e-05,8.36699598494306e-08,13.068578834503654,4294108.0,0.0006709180306643248,0.00040161580545827746,328583.0,468.0,480.0,328583,328583.0,3.495853900909424
40,adam,10.194414138793945,10.194408416748047,5.767180368820846e-07,3.729825834852818e-07,10.194408416748047,5.767180368820846e-06,3.729825834852818e-08,10.194414221226674,3349709.25,0.00026990403421223164,0.00017903164552990347,328583.0,468.0,480.0,328583,328583.0,2.841256618499756
60,adam,9.417872428894043,9.417868614196777,3.4273946880603035e-07,3.022139196673379e-07,9.417868614196777,3.4273946880603035e-06,3.022139196673379e-08,9.417872071812857,3094551.5,0.0001604020653758198,0.0001450626878067851,328583.0,468.0,480.0,328583,328583.0,2.624340772628784
80,adam,9.210175514221191,9.210171699523926,3.7735247815362527e-07,4.0781773691378476e-07,9.210171699523926,3.7735247815362527e-06,4.078177369137848e-08,9.210175513830482,3026305.75,0.00017660096636973321,0.00019575250917114317,328583.0,468.0,480.0,328583,328583.0,2.5984952449798584
100,adam,9.125378608703613,9.125373840332031,4.877814490100718e-07,5.535582090487878e-07,9.125373840332031,4.877814490100718e-06,5.5355820904878784e-08,9.125378773502343,2998442.75,0.00022828172950539738,0.00026570793124847114,328583.0,468.0,480.0,328583,328583.0,2.575078248977661
120,adam,9.074688911437988,9.07468318939209,5.774963369731267e-07,6.885443895043863e-07,9.07468318939209,5.7749633697312674e-06,6.885443895043864e-08,9.074689033209898,2981786.75,0.0002702682977542281,0.0003305012942291796,328583.0,468.0,480.0,328583,328583.0,2.5655641555786133
140,adam,9.043970108032227,9.043963432312012,6.513346875181014e-07,8.025241413633921e-07,9.043963432312012,6.513346875181014e-06,8.025241413633922e-08,9.043970025911301,2971692.75,0.0003048246435355395,0.0003852115769404918,328583.0,468.0,480.0,328583,328583.0,2.5606887340545654
160,adam,9.025846481323242,9.025839805603027,7.00203827364021e-07,8.871932664078486e-07,9.025839805603027,7.00203827364021e-06,8.871932664078486e-08,9.025846896360628,2965737.5,0.0003276953939348459,0.00042585277697071433,328583.0,468.0,480.0,328583,328583.0,2.5579757690429688
180,adam,9.015620231628418,9.015612602233887,7.313925607377314e-07,9.469603696743434e-07,9.015612602233887,7.313925607377314e-06,9.469603696743434e-08,9.015620010855532,2962377.0,0.00034229172160848975,0.0004545409756246954,328583.0,468.0,480.0,328583,328583.0,2.556793212890625
200,adam,9.010090827941895,9.010083198547363,7.518084430557792e-07,9.87744328995177e-07,9.010083198547363,7.518084430557792e-06,9.877443289951772e-08,9.010090815406226,2960560.25,0.00035184636362828314,0.0004741172888316214,328583.0,468.0,480.0,328583,328583.0,2.55654239654541
220,adam,9.007220268249512,9.00721263885498,7.657010883121984e-07,1.0149840363737894e-06,9.00721263885498,7.657010883121984e-06,1.0149840363737894e-07,9.007220397364268,2959617.0,0.00035834810114465654,0.00048719235928729177,328583.0,468.0,480.0,328583,328583.0,2.556685447692871
240,adam,9.005786895751953,9.005779266357422,7.754868533993431e-07,1.0329980568712926e-06,9.005779266357422,7.754868533993431e-06,1.0329980568712927e-07,9.005787124525762,2959146.0,0.0003629278508014977,0.0004958390491083264,328583.0,468.0,480.0,328583,328583.0,2.5569519996643066
260,adam,9.005099296569824,9.005091667175293,7.82553115641349e-07,1.0448791272210656e-06,9.005091667175293,7.82553115641349e-06,1.0448791272210656e-07,9.005099597194363,2958920.0,0.00036623486084863544,0.0005015420028939843,328583.0,468.0,480.0,328583,328583.0,2.557227373123169
280,adam,9.041522979736328,9.04151439666748,8.277951906165981e-07,1.0689302598620998e-06,9.04151439666748,8.277951906165981e-06,1.0689302598620998e-07,9.041522781512413,2970888.0,0.0003874081594403833,0.000513086502905935,328583.0,468.0,480.0,328583,328583.0,2.570383071899414
300,adam,9.070525169372559,9.070516586303711,8.246053084803862e-07,1.0721140597524936e-06,9.070516586303711,8.246053084803862e-06,1.0721140597524936e-07,9.070524939568202,2980417.5,0.00038591527845710516,0.0005146147450432181,328583.0,468.0,480.0,328583,328583.0,2.5832018852233887
320,adam,9.093320846557617,9.093311309814453,9.553847348797717e-07,1.107802745536901e-06,9.093311309814453,9.553847348797717e-06,1.1078027455369012e-07,9.093320974442076,2987907.5,0.00044712008093483746,0.0005317453178577125,328583.0,468.0,480.0,328583,328583.0,2.586760997772217
340,adam,9.008990287780762,9.00898265838623,8.066251098171051e-07,1.0668201184671489e-06,9.00898265838623,8.066251098171051e-06,1.0668201184671489e-07,9.008990831319341,2960198.5,0.00037750054616481066,0.0005120736313983798,328583.0,468.0,480.0,328583,328583.0,2.559586524963379
360,adam,9.042181015014648,9.0421724319458,8.750405982027587e-07,1.0842999245141982e-06,9.0421724319458,8.750405982027587e-06,1.0842999245141983e-07,9.042181290781775,2971104.25,0.0004095190088264644,0.0005204639746807516,328583.0,468.0,480.0,328583,328583.0,2.5676066875457764
380,adam,9.083824157714844,9.083815574645996,8.921599032873928e-07,1.0919872011072584e-06,9.083815574645996,8.921599032873928e-06,1.0919872011072585e-07,9.083824605443748,2984787.5,0.0004175308276899159,0.0005241538747213781,328583.0,468.0,480.0,328583,328583.0,2.5843913555145264
400,adam,9.088706016540527,9.088696479797363,9.067682640306884e-07,1.105163846659707e-06,9.088696479797363,9.067682640306884e-06,1.1051638466597069e-07,9.088705657996389,2986391.0,0.0004243675502948463,0.0005304786609485745,328583.0,468.0,480.0,328583,328583.0,2.5800909996032715
420,adam,9.139337539672852,9.139328002929688,9.895671837512054e-07,1.1260252676947857e-06,9.139328002929688,9.895671837512054e-06,1.1260252676947858e-07,9.139338011204051,3003027.75,0.000463117437902838,0.0005404921248555183,328583.0,468.0,480.0,328583,328583.0,2.5925612449645996
440,adam,9.167703628540039,9.167692184448242,1.122572712120018e-06,1.1821094858532888e-06,9.167692184448242,1.122572712120018e-05,1.1821094858532888e-07,9.167703528386312,3012347.75,0.0005253640119917691,0.000567412527743727,328583.0,468.0,480.0,328583,328583.0,2.598942279815674
