iter,stage,total,e_img,e_smooth,e_vel,term_img,term_smooth_weighted,term_vel_weighted,total_from_terms,e_img_raw,e_smooth_raw,e_vel_raw,e_img_denom,e_smooth_denom,e_vel_denom,active_pairs,sum_weight,mean_reproj_px,max_translation
20,adam,5.982159614562988,5.893617630004883,0.0033237512689083815,0.005530433263629675,5.893617630004883,0.033237512689083815,0.05530433263629675,5.982159475330263,927443.25,1.57545804977417,2.6546080112457275,157364.0,474.0,480.0,157364,157364.0,2.188612937927246,2.268022298812866
40,adam,3.722493886947632,3.6348421573638916,0.0032596306409686804,0.0055055441334843636,3.6348421573638916,0.032596306409686804,0.055055441334843636,3.722493905108422,571993.3125,1.545064926147461,2.6426610946655273,157364.0,474.0,480.0,157364,157364.0,1.5843501091003418,2.2712676525115967
60,adam,3.390223264694214,3.303535223007202,0.0031889991369098425,0.005479804705828428,3.303535223007202,0.031889991369098425,0.05479804705828428,3.390223261434585,519857.5,1.5115855932235718,2.6303062438964844,157364.0,474.0,480.0,157364,157364.0,1.493444800376892,2.2686057090759277
80,adam,3.1618435382843018,3.0761501789093018,0.003116374835371971,0.005452962592244148,3.0761501789093018,0.03116374835371971,0.05452962592244148,3.161843553185463,484075.3125,1.4771616458892822,2.617422103881836,157364.0,474.0,480.0,157364,157364.0,1.3994916677474976,2.263690948486328
100,adam,3.1188013553619385,3.0340688228607178,0.0030470406636595726,0.005426208022981882,3.0340688228607178,0.030470406636595726,0.05426208022981882,3.1188013097271323,477453.21875,1.4442973136901855,2.6045799255371094,157364.0,474.0,480.0,157364,157364.0,1.3816192150115967,2.2586092948913574
120,adam,3.1043272018432617,3.0205249786376953,0.0029811395797878504,0.00539909303188324,3.0205249786376953,0.029811395797878504,0.0539909303188324,3.104327304754406,475321.875,1.413060188293457,2.591564655303955,157364.0,474.0,480.0,157364,157364.0,1.378551959991455,2.2532284259796143
140,adam,3.0960378646850586,3.0131261348724365,0.002919240156188607,0.005371933337301016,3.0131261348724365,0.029192401561886072,0.05371933337301016,3.0960378698073328,474157.5625,1.383719801902771,2.5785279273986816,157364.0,474.0,480.0,157364,157364.0,1.3763415813446045,2.247692346572876
160,adam,3.090441942214966,3.0083775520324707,0.0028613819740712643,0.005345051642507315,3.0083775520324707,0.028613819740712643,0.05345051642507315,3.0904418881982565,473410.34375,1.356295108795166,2.565624713897705,157364.0,474.0,480.0,157364,157364.0,1.375257134437561,2.2421460151672363
180,adam,3.0863749980926514,3.0051136016845703,0.002807419979944825,0.005318718031048775,3.0051136016845703,0.02807419979944825,0.05318718031048775,3.0863749817945063,472896.6875,1.3307170867919922,2.5529847145080566,157364.0,474.0,480.0,157364,157364.0,1.3748013973236084,2.2366795539855957
200,adam,3.083362340927124,3.002859354019165,0.0027571306563913822,0.005293171387165785,3.002859354019165,0.027571306563913822,0.05293171387165785,3.0833623744547367,472541.96875,1.3068798780441284,2.540722370147705,157364.0,474.0,480.0,157364,157364.0,1.3746743202209473,2.231362819671631
220,adam,3.081024408340454,3.0012357234954834,0.0027102497406303883,0.005268624518066645,3.0012357234954834,0.027102497406303883,0.05268624518066645,3.0810244660824537,472286.46875,1.284658432006836,2.528939723968506,157364.0,474.0,480.0,157364,157364.0,1.3746874332427979,2.2281670570373535
240,adam,3.0791406631469727,3.0000240802764893,0.0026664603501558304,0.005245213396847248,3.0000240802764893,0.026664603501558304,0.05245213396847248,3.07914081774652,472095.78125,1.263902187347412,2.517702341079712,157364.0,474.0,480.0,157364,157364.0,1.374802827835083,2.2253987789154053
260,adam,3.0775704383850098,2.9990854263305664,0.0026254619006067514,0.00522302882745862,2.9990854263305664,0.026254619006067514,0.0522302882745862,3.07757033361122,471948.0625,1.2444689273834229,2.507053852081299,157364.0,474.0,480.0,157364,157364.0,1.3749594688415527,2.222872018814087
280,adam,3.076223373413086,2.9983327388763428,0.0025869652163237333,0.005202108528465033,2.9983327388763428,0.025869652163237333,0.052021085284650326,3.0762234763242304,471829.625,1.2262215614318848,2.497012138366699,157364.0,474.0,480.0,157364,157364.0,1.3751336336135864,2.220579147338867
300,adam,3.0750491619110107,2.99771785736084,0.002550689969211817,0.0051824417896568775,2.99771785736084,0.025506899692118168,0.051824417896568775,3.075049174949527,471732.875,1.2090270519256592,2.487571954727173,157364.0,474.0,480.0,157364,157364.0,1.3753092288970947,2.2185068130493164
320,adam,3.074005603790283,2.997202157974243,0.002516376320272684,0.005163986701518297,2.997202157974243,0.02516376320272684,0.05163986701518297,3.074005788192153,471651.71875,1.1927623748779297,2.4787135124206543,157364.0,474.0,480.0,157364,157364.0,1.3754775524139404,2.2166409492492676
340,adam,3.0730674266815186,2.996762990951538,0.0024837732780724764,0.0051466720178723335,2.996762990951538,0.024837732780724764,0.051466720178723335,3.073067443910986,471582.59375,1.1773085594177246,2.470402479171753,157364.0,474.0,480.0,157364,157364.0,1.3756355047225952,2.214966058731079
360,adam,3.0722107887268066,2.996380090713501,0.002452652435749769,0.005130411125719547,2.996380090713501,0.024526524357497692,0.05130411125719547,3.072210726328194,471522.375,1.1625572443008423,2.462597370147705,157364.0,474.0,480.0,157364,157364.0,1.375779151916504,2.213465452194214
380,adam,3.0714266300201416,2.9960474967956543,0.0024228140246123075,0.005115110892802477,2.9960474967956543,0.024228140246123075,0.05115110892802477,3.071426745969802,471470.0,1.148413896560669,2.4552531242370605,157364.0,474.0,480.0,157364,157364.0,1.375909447669983,2.212125778198242
