frame_idx,num_active,sum_weight,reproj_mean_px,reproj_p50_px,reproj_p90_px,rotation_angle_deg,translation_magnitude,tx,ty,tz
0,2712,2712.0,0.7071002125740051,0.7071067690849304,0.7071283459663391,0.0,0.0,0.0,0.0,0.0
1,2255,2255.0,0.6168827414512634,0.5870748162269592,1.0876518487930298,1.5875759802272658,0.1035943478345871,0.07135078310966492,-0.06300054490566254,0.04088747128844261
2,2115,2115.0,1.1096060276031494,1.0273997783660889,1.9946187734603882,3.283602771313052,0.20810352265834808,0.15357734262943268,-0.13903558254241943,0.019753050059080124
3,1920,1920.0,1.4942408800125122,1.4150456190109253,2.540214776992798,4.672441057425574,0.30128973722457886,0.23724274337291718,-0.18531973659992218,-0.012164485640823841
4,1720,1720.0,2.0544192790985107,2.005319595336914,3.3189027309417725,6.7993308022294565,0.4604407846927643,0.36342477798461914,-0.2783031761646271,-0.04975428804755211
5,1648,1648.0,2.2203192710876465,2.1090240478515625,3.701680898666382,8.28659723692374,0.588966965675354,0.47198718786239624,-0.3427867591381073,-0.08128596842288971
6,1605,1605.0,2.5490047931671143,2.320816993713379,4.437180042266846,10.91994593557089,0.7897014021873474,0.6331414580345154,-0.45486700534820557,-0.12592127919197083
7,1589,1589.0,2.858501672744751,2.486198663711548,5.219123840332031,12.945248996188704,0.9452109932899475,0.7714424133300781,-0.5254430770874023,-0.14902998507022858
8,1612,1612.0,3.16980242729187,2.8071789741516113,5.770671844482422,12.839760139552443,0.897161602973938,0.7480267882347107,-0.46546846628189087,-0.16939303278923035
9,1740,1740.0,3.405064582824707,3.005606174468994,6.5357160568237305,13.618254002093094,0.9250611066818237,0.7965279221534729,-0.43824899196624756,-0.17093607783317566
10,1734,1734.0,3.5883567333221436,3.1821823120117188,6.891972541809082,14.558969980063427,0.9913502931594849,0.8650768995285034,-0.44342318177223206,-0.19440488517284393
11,1690,1690.0,3.782517433166504,3.4034414291381836,7.220090389251709,15.18960476122529,1.0349246263504028,0.9159879684448242,-0.427121639251709,-0.22271524369716644
12,1550,1550.0,3.931367874145508,3.6141457557678223,7.241893768310547,13.99730303404577,0.9010056257247925,0.7966030240058899,-0.33629944920539856,-0.253253698348999
13,1472,1472.0,3.9204978942871094,3.6879115104675293,7.218013763427734,13.562036422582013,0.8521442413330078,0.7530501484870911,-0.28168433904647827,-0.2823460102081299
14,1422,1422.0,3.9585862159729004,3.644993543624878,7.197236061096191,13.750886884264634,0.8670323491096497,0.7619305849075317,-0.24820061028003693,-0.33106398582458496
15,1414,1414.0,4.130708694458008,3.9023303985595703,7.526010513305664,14.271493294313114,0.8966902494430542,0.7963355183601379,-0.2451823502779007,-0.3313438594341278
16,1378,1378.0,4.193143844604492,4.055766582489014,7.6251959800720215,15.248043859763918,0.9626697897911072,0.8603275418281555,-0.2925247848033905,-0.31780320405960083
17,1344,1344.0,4.281859874725342,4.048304557800293,8.089149475097656,16.416535547496775,1.0545341968536377,0.9342257976531982,-0.3674602806568146,-0.3228583335876465
18,1334,1334.0,4.311009883880615,3.9673752784729004,8.293315887451172,17.647868390688334,1.1541821956634521,1.0030440092086792,-0.4573816955089569,-0.3418203592300415
19,1299,1299.0,4.209978103637695,3.8505444526672363,8.269746780395508,18.61794991322149,1.2533024549484253,1.0582847595214844,-0.5391586422920227,-0.4001355469226837
20,1247,1247.0,4.029806613922119,3.6697909832000732,7.701772212982178,19.005194318404534,1.2735880613327026,1.0902690887451172,-0.5299368500709534,-0.3905211091041565
21,1235,1235.0,3.9808146953582764,3.582381010055542,7.597578525543213,19.111893826071178,1.269299030303955,1.1045228242874146,-0.4936996400356293,-0.3839399516582489
22,1205,1205.0,4.0491743087768555,3.6494815349578857,7.30484676361084,19.269768526094147,1.262636661529541,1.1074990034103394,-0.4737129509449005,-0.37854111194610596
23,1230,1230.0,4.24845027923584,3.8635106086730957,7.795699119567871,19.459874888810404,1.2515873908996582,1.101454734802246,-0.46714362502098083,-0.3674851357936859
24,1249,1249.0,4.319282054901123,4.029961109161377,7.783474922180176,19.4835414942845,1.239149570465088,1.091331958770752,-0.4382757544517517,-0.3903852105140686
25,1251,1251.0,4.248403072357178,4.035752296447754,7.413313388824463,19.372636297636415,1.2301424741744995,1.0792285203933716,-0.40290746092796326,-0.43148791790008545
26,1243,1243.0,4.180568218231201,3.9135193824768066,7.31204080581665,20.1210679363189,1.2710481882095337,1.1403210163116455,-0.3911738693714142,-0.40275838971138
27,1180,1180.0,4.045033931732178,3.812152862548828,7.08205509185791,21.089419713444755,1.3179802894592285,1.2103960514068604,-0.378255695104599,-0.35907667875289917
28,1151,1151.0,4.155117511749268,3.973361015319824,7.216175079345703,22.313724291980368,1.3992098569869995,1.315576434135437,-0.3511703908443451,-0.3220653831958771
29,1129,1129.0,4.166377067565918,3.881068229675293,7.559121608734131,23.849575996675068,1.4738593101501465,1.4138000011444092,-0.3428766429424286,-0.23636065423488617
30,1148,1148.0,4.205425262451172,4.053807258605957,7.291790962219238,24.509293723322845,1.4992810487747192,1.4444934129714966,-0.33163362741470337,-0.2264985740184784
31,1155,1155.0,4.2957305908203125,4.118483066558838,7.392147541046143,24.763538977440106,1.4713106155395508,1.4152629375457764,-0.34395402669906616,-0.20852142572402954
32,1197,1197.0,4.55372428894043,4.433143138885498,7.756795406341553,24.665995338355863,1.4276474714279175,1.3637114763259888,-0.3574504256248474,-0.225160613656044
33,1189,1189.0,4.5799241065979,4.4347710609436035,7.706906795501709,25.10194240741568,1.3951894044876099,1.332913875579834,-0.3689010739326477,-0.183864563703537
34,1240,1240.0,4.705026626586914,4.612830638885498,7.861789226531982,26.158458266348056,1.417615294456482,1.3559117317199707,-0.38980016112327576,-0.13853678107261658
35,1216,1216.0,4.61783504486084,4.559052467346191,7.70936393737793,26.873357091300367,1.4404367208480835,1.3739067316055298,-0.4189474880695343,-0.10826470702886581
36,1169,1169.0,4.560892581939697,4.507545471191406,7.661944389343262,27.522388986991658,1.413646936416626,1.325778841972351,-0.4837748110294342,-0.0816703662276268
37,1175,1175.0,4.710330486297607,4.640134811401367,7.7901930809021,27.394259760804097,1.327643632888794,1.1925089359283447,-0.5653913617134094,-0.14454267919063568
38,1191,1191.0,4.774800777435303,4.669285297393799,7.949426174163818,26.752401271288612,1.218957543373108,0.9735065698623657,-0.6775233745574951,-0.28125521540641785
39,1279,1279.0,4.844274520874023,4.82806396484375,8.460677146911621,26.774198112477414,1.1854231357574463,0.7677087187767029,-0.7915346622467041,-0.4351138472557068
40,1280,1280.0,4.858937740325928,4.609214782714844,8.907425880432129,27.415686064230425,1.2235586643218994,0.6525058150291443,-0.8990432024002075,-0.5128872394561768
41,1279,1279.0,4.977754592895508,4.597734451293945,9.424396514892578,29.141876358073162,1.2864389419555664,0.6258984804153442,-0.9929854869842529,-0.5264562368392944
42,1278,1278.0,5.091335296630859,4.705043792724609,9.5939302444458,31.182269014114826,1.3557370901107788,0.6256183981895447,-1.0955291986465454,-0.4964277148246765
43,1254,1254.0,4.968139171600342,4.473734378814697,9.49447250366211,33.16452993013051,1.4388303756713867,0.624098539352417,-1.203804850578308,-0.48123568296432495
44,1288,1288.0,5.00072717666626,4.282376766204834,9.837207794189453,35.081350803708304,1.5117840766906738,0.6528800129890442,-1.2821259498596191,-0.46410298347473145
45,1259,1259.0,4.941893100738525,4.2303948402404785,9.339171409606934,36.948410334087974,1.5983448028564453,0.649951696395874,-1.3861204385757446,-0.4592808187007904
46,1237,1237.0,5.012585163116455,4.217097759246826,9.523916244506836,38.91800466428787,1.6682474613189697,0.6478517651557922,-1.477640986442566,-0.4241637587547302
47,1225,1225.0,4.804924488067627,4.094194412231445,9.50308895111084,40.97307881195048,1.7335149049758911,0.624086856842041,-1.5625158548355103,-0.41729339957237244
48,1224,1224.0,4.670583724975586,3.921433448791504,9.358672142028809,42.5406311321305,1.7648149728775024,0.5907677412033081,-1.6122666597366333,-0.40762895345687866
49,1207,1207.0,4.580548286437988,3.913876533508301,9.209226608276367,44.89810507510625,1.864998698234558,0.568745493888855,-1.7287092208862305,-0.40781527757644653
50,1144,1144.0,4.740118980407715,4.195278167724609,9.20615291595459,46.40914782518817,1.9251008033752441,0.5485471487045288,-1.8007872104644775,-0.4028332829475403
51,1132,1132.0,4.807102680206299,4.382336616516113,9.028575897216797,48.37683653260963,2.0500006675720215,0.5838866233825684,-1.916603922843933,-0.4338301420211792
52,1081,1081.0,4.759083271026611,4.2908616065979,8.726929664611816,51.371027540203144,2.1971919536590576,0.6458860635757446,-2.06552791595459,-0.3795766830444336
53,1057,1057.0,4.414125442504883,4.003098487854004,8.198884963989258,53.644660911116986,2.2955315113067627,0.7347904443740845,-2.1533091068267822,-0.3046434223651886
54,1086,1086.0,4.353827953338623,3.977430820465088,8.366193771362305,56.07954821814566,2.353111743927002,0.8476619124412537,-2.183609962463379,-0.22461499273777008
55,1058,1058.0,4.266552448272705,3.8939156532287598,8.081402778625488,57.248753660646784,2.4141030311584473,0.9158112406730652,-2.2308685779571533,-0.11139516532421112
56,1009,1009.0,4.013805866241455,3.7222540378570557,7.4770989418029785,59.411649174547215,2.4988627433776855,1.0034103393554688,-2.2884998321533203,0.01586046628654003
57,991,991.0,4.216297149658203,3.8866963386535645,7.544609546661377,60.2074345147454,2.5463085174560547,1.1390266418457031,-2.271592378616333,0.16178403794765472
58,906,906.0,4.4626641273498535,4.177974700927734,7.751595497131348,61.079103256622425,2.622506618499756,1.3844847679138184,-2.1899895668029785,0.4058179557323456
59,774,774.0,4.570102691650391,4.434426307678223,7.469371318817139,61.35812331440662,2.6823034286499023,1.745150089263916,-1.8603490591049194,0.8296412229537964
60,802,802.0,4.906887054443359,4.626942157745361,8.563141822814941,62.8351244016652,2.8896267414093018,2.127164840698242,-1.2601858377456665,1.4956754446029663
61,733,733.0,4.8684892654418945,4.686833381652832,8.354884147644043,62.68233306993201,3.4233691692352295,2.6193759441375732,-0.4158206880092621,2.1645827293395996
62,726,726.0,4.426192283630371,3.907228946685791,7.830713272094727,72.15835993948927,4.348294258117676,3.2011992931365967,0.48764243721961975,2.9021010398864746
63,733,733.0,4.416487216949463,3.8922064304351807,8.474899291992188,83.17059880621997,5.074251651763916,3.4175593852996826,1.2031176090240479,3.5525801181793213
64,683,683.0,3.927577018737793,3.74680757522583,7.142950534820557,94.58644038119589,5.535869598388672,3.358736515045166,1.7052992582321167,4.056685447692871
65,614,614.0,3.3712637424468994,3.2731575965881348,5.563035488128662,97.4395470012936,5.671148300170898,3.220275640487671,1.830622673034668,4.294248104095459
66,551,551.0,3.0699894428253174,2.952732563018799,5.248887538909912,97.49256975982041,5.716546535491943,3.164062023162842,1.8504798412322998,4.386723041534424
67,518,518.0,3.0812227725982666,2.8756234645843506,5.317324161529541,98.2621135132274,5.754391670227051,3.144289255142212,1.863804578781128,4.444400787353516
68,509,509.0,3.169619083404541,2.974717617034912,5.295947551727295,99.58494357054046,5.807168006896973,3.1173746585845947,1.8739365339279175,4.526978969573975
69,523,523.0,3.133303642272949,2.8739986419677734,5.260887622833252,100.52382137385041,5.877350330352783,3.066739797592163,1.8672773838043213,4.653131008148193
70,525,525.0,3.3181979656219482,2.973653554916382,5.782868385314941,102.04706284178998,6.018874645233154,2.994584083557129,1.823590636253357,4.892221927642822
71,438,438.0,4.830026149749756,4.337862968444824,8.861405372619629,105.47276471057738,6.378705024719238,2.847929000854492,1.6753497123718262,5.456223964691162
72,422,422.0,6.712775707244873,5.956833839416504,13.310477256774902,119.31094653507665,6.938230514526367,2.519031524658203,1.3150182962417603,6.329632759094238
73,416,416.0,5.839905738830566,5.545493125915527,9.839363098144531,136.45780859731352,7.192911624908447,1.8902266025543213,0.6894304156303406,6.905773639678955
74,310,310.0,3.8446595668792725,3.7403488159179688,6.387115001678467,145.30829942192432,7.2417402267456055,1.5476056337356567,0.23868094384670258,7.070413589477539
75,287,287.0,3.531858205795288,3.2748377323150635,6.21152400970459,148.12206415240277,7.237794399261475,1.4601062536239624,0.0593147836625576,7.088740348815918
76,288,288.0,3.4637205600738525,3.1709208488464355,6.232727527618408,148.80131280498222,7.180230617523193,1.4764975309371948,0.0010339888976886868,7.026782035827637
77,319,319.0,3.3039779663085938,3.003432035446167,5.829256534576416,148.64259286904945,7.0946431159973145,1.5469592809677124,-0.01854713447391987,6.923910617828369
78,296,296.0,3.3114824295043945,3.138899803161621,5.814563751220703,148.2142853665763,7.036623001098633,1.6354320049285889,-0.033742066472768784,6.843850612640381
79,222,222.0,2.778691530227661,2.703904628753662,4.570034027099609,148.20233253552877,6.964244365692139,1.716624140739441,-0.0780671238899231,6.748911380767822
80,173,173.0,2.7722344398498535,2.6734249591827393,4.66483736038208,148.16450694790524,6.912441730499268,1.8017079830169678,-0.14280064404010773,6.671978950500488
