iter,stage,total,e_img,e_smooth,e_vel,term_img,term_smooth_weighted,term_vel_weighted,total_from_terms,e_img_raw,e_smooth_raw,e_vel_raw,e_img_denom,e_smooth_denom,e_vel_denom,active_pairs,sum_weight,mean_reproj_px,max_translation
20,adam,6.489234924316406,6.458587646484375,0.0019891690462827682,0.0010755660478025675,6.458587646484375,0.019891690462827682,0.010755660478025675,6.489234997425228,666603.75,0.9428661465644836,0.516271710395813,103212.0,474.0,480.0,103212,103212.0,2.354541301727295,0.7769363522529602
40,adam,3.438483715057373,3.4084482192993164,0.0019454362336546183,0.0010581096867099404,3.4084482192993164,0.019454362336546183,0.010581096867099404,3.438483678502962,351792.75,0.9221367835998535,0.5078926682472229,103212.0,474.0,480.0,103212,103212.0,1.5442734956741333,0.7765905857086182
60,adam,3.126601219177246,3.097032070159912,0.0019104935927316546,0.0010464094812050462,3.097032070159912,0.019104935927316546,0.010464094812050462,3.126601100899279,319650.875,0.9055739641189575,0.5022765398025513,103212.0,474.0,480.0,103212,103212.0,1.4662609100341797,0.7758347988128662
80,adam,2.973362445831299,2.9442033767700195,0.0018787572626024485,0.0010371454991400242,2.9442033767700195,0.018787572626024485,0.010371454991400242,2.9733624043874443,303877.125,0.8905309438705444,0.4978298246860504,103212.0,474.0,480.0,103212,103212.0,1.4191027879714966,0.7757095694541931
100,adam,2.94862961769104,2.9199142456054688,0.001844610902480781,0.0010269084013998508,2.9199142456054688,0.01844610902480781,0.010269084013998508,2.948629438644275,301370.1875,0.8743455410003662,0.4929160177707672,103212.0,474.0,480.0,103212,103212.0,1.4079126119613647,0.7750479578971863
120,adam,2.9399664402008057,2.911746025085449,0.001806746469810605,0.0010153122711926699,2.911746025085449,0.01806746469810605,0.010153122711926699,2.939966612495482,300527.125,0.856397807598114,0.48734989762306213,103212.0,474.0,480.0,103212,103212.0,1.4031845331192017,0.7747007608413696
140,adam,2.9382240772247314,2.910520076751709,0.0017672814428806305,0.0010031149722635746,2.910520076751709,0.017672814428806305,0.010031149722635746,2.938224040903151,300400.59375,0.8376914262771606,0.481495201587677,103212.0,474.0,480.0,103212,103212.0,1.4027907848358154,0.774474024772644
160,adam,2.9373316764831543,2.910167932510376,0.0017261586617678404,0.000990233849734068,2.910167932510376,0.017261586617678404,0.00990233849734068,2.937331857625395,300364.25,0.8181992173194885,0.4753122329711914,103212.0,474.0,480.0,103212,103212.0,1.4028242826461792,0.7743147015571594
180,adam,2.936422348022461,2.909813642501831,0.0016839740565046668,0.0009769003372639418,2.909813642501831,0.016839740565046668,0.009769003372639418,2.936422386439517,300327.6875,0.798203706741333,0.46891218423843384,103212.0,474.0,480.0,103212,103212.0,1.402718186378479,0.7742005586624146
200,adam,2.9357237815856934,2.9096803665161133,0.0016410942189395428,0.0009632622241042554,2.9096803665161133,0.016410942189395428,0.009632622241042554,2.9357239309465513,300313.9375,0.7778786420822144,0.46236586570739746,103212.0,474.0,480.0,103212,103212.0,1.4026739597320557,0.7741148471832275
