iter,stage,total,e_img,e_smooth,e_vel,term_img,term_smooth_weighted,term_vel_weighted,total_from_terms,e_img_raw,e_smooth_raw,e_vel_raw,e_img_denom,e_smooth_denom,e_vel_denom,active_pairs,sum_weight,mean_reproj_px
20,adam,35.382232666015625,35.382083892822266,1.504415922681801e-05,1.2092325960111339e-05,35.382083892822266,0.0001504415922681801,1.209232596011134e-06,35.38223554364713,5531989.0,0.007040666416287422,0.005804316606372595,156350.0,468.0,480.0,156350,156350.0,7.320552825927734
40,adam,23.338430404663086,23.33788299560547,5.441476605483331e-05,4.5666081859963015e-05,23.33788299560547,0.0005441476605483331,4.566608185996301e-06,23.338431709874204,3648878.0,0.025466110557317734,0.021919719874858856,156350.0,468.0,480.0,156350,156350.0,5.191166400909424
60,adam,20.74810791015625,20.747228622436523,8.713972783880308e-05,7.695709791732952e-05,20.747228622436523,0.0008713972783880308,7.695709791732952e-06,20.748107715424702,3243829.25,0.04078139364719391,0.036939408630132675,156350.0,468.0,480.0,156350,156350.0,4.729254245758057
80,adam,20.152671813964844,20.151866912841797,7.956691842991859e-05,9.794493962544948e-05,20.151866912841797,0.0007956691842991859,9.794493962544948e-06,20.15267237652006,3150744.5,0.037237316370010376,0.04701356962323189,156350.0,468.0,480.0,156350,156350.0,4.629611968994141
100,adam,20.0084171295166,20.007747650146484,6.573282007593662e-05,0.00012276184861548245,20.007747650146484,0.0006573282007593662,1.2276184861548245e-05,20.008417254532105,3128211.25,0.030762961134314537,0.05892568454146385,156350.0,468.0,480.0,156350,156350.0,4.605943202972412
120,adam,19.985322952270508,19.98457145690918,7.360031304415315e-05,0.00015239939966704696,19.98457145690918,0.0007360031304415315,1.5239939966704697e-05,19.985322699979587,3124587.75,0.03444494679570198,0.07315171509981155,156350.0,468.0,480.0,156350,156350.0,4.602324485778809
140,adam,19.967031478881836,19.96613883972168,8.762241486692801e-05,0.00017632084200158715,19.96613883972168,0.0008762241486692801,1.7632084200158717e-05,19.96703269595455,3121705.75,0.04100729152560234,0.08463400602340698,156350.0,468.0,480.0,156350,156350.0,4.599871635437012
160,adam,19.962697982788086,19.961694717407227,9.848725312622264e-05,0.0001918661582749337,19.961694717407227,0.0009848725312622264,1.9186615827493372e-05,19.962698776554316,3121011.0,0.04609203338623047,0.0920957550406456,156350.0,468.0,480.0,156350,156350.0,4.598419189453125
180,adam,19.95647621154785,19.955421447753906,0.00010364170157117769,0.00020017979841213673,19.955421447753906,0.001036417015711777,2.0017979841213675e-05,19.95647788274946,3120030.25,0.048504315316677094,0.0960863009095192,156350.0,468.0,480.0,156350,156350.0,4.597509860992432
200,adam,19.968019485473633,19.966936111450195,0.0001062366645783186,0.00020433518511708826,19.966936111450195,0.001062366645783186,2.043351851170883e-05,19.96801891161449,3121830.5,0.04971875995397568,0.09808088839054108,156350.0,468.0,480.0,156350,156350.0,4.60056734085083
220,adam,19.963876724243164,19.962785720825195,0.00010696036042645574,0.00020590811618603766,19.962785720825195,0.0010696036042645574,2.0590811618603767e-05,19.96387591524108,3121181.5,0.05005744844675064,0.09883589297533035,156350.0,468.0,480.0,156350,156350.0,4.598769664764404
240,adam,19.973970413208008,19.972881317138672,0.00010685808956623077,0.0002067933528451249,19.972881317138672,0.0010685808956623077,2.067933528451249e-05,19.97397057736962,3122760.0,0.050009585916996,0.09926080703735352,156350.0,468.0,480.0,156350,156350.0,4.601775646209717
260,adam,19.962646484375,19.961551666259766,0.00010742004815256223,0.0002071707567665726,19.961551666259766,0.0010742004815256223,2.071707567665726e-05,19.96264658381697,3120988.75,0.050272583961486816,0.09944196045398712,156350.0,468.0,480.0,156350,156350.0,4.598721027374268
280,adam,19.96407127380371,19.962980270385742,0.00010695671517169103,0.0002070460468530655,19.962980270385742,0.0010695671517169103,2.070460468530655e-05,19.964070542142146,3121212.0,0.050055742263793945,0.09938210248947144,156350.0,468.0,480.0,156350,156350.0,4.5990681648254395
300,adam,19.95640754699707,19.955326080322266,0.00010612782352836803,0.0002067277382593602,19.955326080322266,0.0010612782352836803,2.0672773825936022e-05,19.956408031331375,3120015.25,0.04966782033443451,0.09922931343317032,156350.0,468.0,480.0,156350,156350.0,4.596433162689209
301,final,19.950456619262695,19.94940757751465,0.00010302858572686091,0.0001991995086427778,19.94940757751465,0.001030285857268609,1.991995086427778e-05,19.950457783322783,3119090.0,0.04821737855672836,0.09561576694250107,156350.0,468.0,480.0,156350,156350.0,4.595363140106201
