frame_idx,pnp_ok,num_alive,ransac_inliers,reproj_inliers,reproj_inlier_ratio,reproj_mean,reproj_median,reproj_p90,visibility_mean,delta_t,delta_rot_deg
0,1,2000,2000,2000,1.0,0.7071059346199036,0.7071067690849304,0.7071283459663391,1.0,0.0,0.0
1,1,2000,1923,1970,0.985,0.6584073305130005,0.1527540385723114,1.7818562626838685,1.0,0.00301730097271502,0.09278741380920028
2,1,2000,1848,1848,0.924,1.052873969078064,0.15477651357650757,2.0025139570236217,1.0,0.005035638343542814,0.13122123336572936
3,1,2000,1814,1811,0.9055,1.8570551872253418,0.24885684251785278,2.2654154777526876,1.0,0.0017551379278302193,0.048456642643301504
4,1,2000,1784,1784,0.892,2.9791781902313232,0.3209308087825775,9.662051868438738,1.0,0.001181401894427836,0.03956468264845247
5,1,2000,1784,1784,0.892,3.0248944759368896,0.33088362216949463,10.079331302642839,1.0,0.0003784965956583619,0.0
6,1,2000,1767,1767,0.8835,4.22964334487915,0.31289398670196533,19.97208843231203,1.0,0.0013836872531101108,0.027976455118293345
7,1,2000,1737,1737,0.8685,5.482717990875244,0.2925100326538086,30.508396148681644,1.0,0.001477241632528603,0.027976455118293345
8,1,2000,1735,1735,0.8675,6.101478576660156,0.28459274768829346,35.41218452453614,1.0,0.0020996960811316967,0.05595291190411357
9,1,2000,1707,1706,0.853,6.959835529327393,0.26241278648376465,41.9470687866211,1.0,0.0016810772940516472,0.03956468264845247
10,1,2000,1701,1701,0.8505,7.545440196990967,0.3688906133174896,45.07279510498047,1.0,0.004996228497475386,0.11869406681127799
11,1,2000,1701,1701,0.8505,7.6605730056762695,0.47375720739364624,45.139057922363286,1.0,0.0026744625065475702,0.0625572578997782
12,1,2000,1700,1701,0.8505,7.583561897277832,0.6745787858963013,43.141979598999036,1.0,0.004497629590332508,0.11190583714844751
13,1,2000,1634,1688,0.844,6.945499420166016,0.3357548713684082,39.53717994689942,1.0,0.008976636454463005,0.24389326303316328
14,1,1999,1698,1706,0.8534267133566783,6.906790256500244,0.665794312953949,37.71087799072266,0.9995,0.00817848090082407,0.21489135308816262
15,1,1999,1703,1712,0.8564282141070535,6.667169570922852,0.6409401297569275,35.70142440795898,0.9995,0.002316346624866128,0.0625572578997782
16,1,1999,1706,1710,0.8554277138569285,6.57730770111084,0.7349284887313843,34.145914459228514,0.9995,0.0018298209179192781,0.05595291190411357
17,1,1999,1696,1700,0.8504252126063031,6.952352046966553,0.7468791604042053,37.102334594726564,0.9995,0.0004841397749260068,0.0
18,1,1999,1699,1706,0.8534267133566783,7.1909499168396,0.7319355010986328,38.73970413208009,0.9995,0.0002841515524778515,0.0
19,1,1999,1689,1695,0.8479239619809905,7.45320463180542,0.6916298270225525,40.063427734375,0.9995,0.0011378690833225846,0.027976455118293345
20,1,1999,1650,1681,0.840920460230115,7.386240005493164,0.6179275512695312,37.20040664672852,0.9995,0.0016319984570145607,0.048456642643301504
21,1,1999,1637,1656,0.8284142071035517,7.4835381507873535,0.6341732144355774,36.61242828369141,0.9995,0.0007880650227889419,0.027976455118293345
22,1,1999,1598,1563,0.7818909454727364,7.719890594482422,0.47700607776641846,38.31646499633789,0.9995,0.003466369118541479,0.10467832346762979
23,1,1999,1554,1555,0.7778889444722361,8.438735961914062,0.16341964900493622,44.44513549804688,0.9995,0.007667708210647106,0.21489135308816262
24,1,1999,1548,1548,0.7743871935967984,9.042425155639648,0.14319488406181335,47.9594841003418,0.9995,0.0007867502281442285,0.027976455118293345
25,1,1999,1546,1546,0.7733866933466733,9.576135635375977,0.14116528630256653,50.497721099853514,0.9995,0.00038517278153449297,0.0
26,1,1999,1541,1541,0.7708854427213607,10.155477523803711,0.15418531000614166,52.36371765136719,0.9995,0.0009893858805298805,0.027976455118293345
27,1,1999,1540,1540,0.7703851925962981,10.283551216125488,0.1677529215812683,52.36917343139649,0.9995,0.00042462299461476505,0.0
28,1,1999,1540,1540,0.7703851925962981,10.278472900390625,0.1711927056312561,51.25878829956056,0.9995,0.0007854338036850095,0.027976455118293345
29,1,1999,1540,1540,0.7703851925962981,9.971707344055176,0.17029933631420135,48.45939865112305,0.9995,0.0011770572746172547,0.03956468264845247
30,1,1999,1541,1541,0.7708854427213607,9.921304702758789,0.17508810758590698,48.07534408569337,0.9995,0.00032345278305001557,0.0
31,1,1999,1541,1541,0.7708854427213607,10.077191352844238,0.18236735463142395,49.75281524658204,0.9995,0.00020501555991359055,0.0
32,1,1999,1546,1539,0.7698849424712356,10.540390968322754,0.29106926918029785,54.12779693603516,0.9995,0.004444183316081762,0.11534989781745353
33,1,1999,1533,1535,0.7678839419709855,10.772370338439941,0.18801936507225037,56.7482536315918,0.9995,0.004232785664498806,0.10467832346762979
34,1,1999,1528,1529,0.7648824412206103,10.831329345703125,0.17575950920581818,57.7211654663086,0.9995,0.0005435063503682613,0.0
