frame_idx,pnp_ok,num_alive,ransac_inliers,reproj_mean,reproj_p90,visibility_mean,delta_t,delta_rot_deg
0,1,770,770,0.7071189880371094,0.7071499228477478,1.0,0.0,0.0
1,1,770,770,0.8595717549324036,1.577682971954346,1.0,0.7629311680793762,11.098811141108524
2,1,770,738,1.6502387523651123,3.2693754434585576,1.0,0.5641340017318726,8.284890565269519
3,1,770,740,1.9303914308547974,4.166649103164673,1.0,0.22655682265758514,3.280739692672073
4,1,770,735,2.164128065109253,4.27629623413086,1.0,0.24137108027935028,3.583973913898399
5,1,770,722,2.148226261138916,4.137363862991333,1.0,0.21108639240264893,3.211868967582887
6,1,770,732,2.3003273010253906,4.113884639739991,1.0,0.11577161401510239,2.0557610799006834
7,1,770,733,2.4159107208251953,4.157187509536743,1.0,0.27781984210014343,3.9431758418476446
8,1,770,728,2.5895729064941406,4.116612195968628,1.0,0.33842775225639343,5.207593400121141
9,1,770,679,2.669377565383911,4.300581550598145,1.0,0.22277683019638062,3.6207167683432036
10,1,770,686,2.914579391479492,4.219154262542725,1.0,0.33401238918304443,4.510323345837058
11,1,770,728,3.0408451557159424,4.103832054138183,1.0,0.033385805785655975,0.3856295453008921
12,1,770,729,3.325778007507324,4.105800199508668,1.0,0.059774063527584076,1.3044631939254223
13,1,770,711,3.453660726547241,4.080075025558472,1.0,0.08548925817012787,1.405277817813398
14,1,770,733,3.658585786819458,4.015324687957764,1.0,0.10786323249340057,1.3175982843196141
15,1,770,736,3.786290168762207,4.154704523086548,1.0,0.19516532123088837,2.9581689217036815
16,1,770,739,3.9585752487182617,3.9621806859970095,1.0,0.28486305475234985,4.203933931535815
17,1,770,731,4.1530680656433105,3.9088187217712407,1.0,0.10397804528474808,1.801462465625614
18,1,770,731,4.287621021270752,3.838634538650513,1.0,0.11317551881074905,1.861725262482268
19,1,770,734,4.368066787719727,3.8433364391326905,1.0,0.0731382742524147,1.1643246623557775
20,1,770,734,4.42822790145874,3.8237906455993653,1.0,0.13151679933071136,2.2116933206116047
21,1,770,734,4.522786617279053,3.8959019422531136,1.0,0.10218910872936249,1.6270244296026886
22,1,770,742,4.601068496704102,3.8776086330413824,1.0,0.05871739983558655,1.2713397255201393
23,1,770,693,4.628650188446045,4.1988441944122314,1.0,0.1532563418149948,2.3400046630839815
24,1,770,694,4.697572708129883,4.146262311935425,1.0,0.00696253078058362,0.3936643883838593
25,1,770,733,4.762282371520996,3.913467359542847,1.0,0.14820744097232819,2.061085497827297
26,1,770,731,4.891376972198486,3.9106826305389415,1.0,0.05362609028816223,0.58950308302748
27,1,770,692,4.949247360229492,4.257482528686523,1.0,0.15707413852214813,2.502801939874751
28,1,770,688,5.047470569610596,4.288469171524048,1.0,0.04193022847175598,0.8623003878631454
29,1,770,736,5.080955505371094,3.941605949401857,1.0,0.1669197529554367,2.5399092397027645
30,1,770,739,5.013935089111328,3.9565741062164315,1.0,0.07532893121242523,1.8659253346748665
31,1,770,731,4.759974956512451,4.007082080841064,1.0,0.13267181813716888,2.9227518759964664
32,1,770,675,4.5400800704956055,4.424901485443115,1.0,0.19139310717582703,2.402570087552331
33,1,770,683,4.185276031494141,4.535641145706177,1.0,0.2554311752319336,3.686208470009137
34,1,770,729,4.040986061096191,4.033157587051392,1.0,0.13955305516719818,2.548679361349606
35,1,770,732,3.70053768157959,4.089472055435181,1.0,0.0653328076004982,2.1718670938952913
36,1,770,729,3.5686755180358887,4.100903272628785,1.0,0.06504026055335999,1.223973189154822
37,1,770,712,3.573106527328491,4.675135755538941,1.0,0.7698879241943359,10.37255205369079
38,1,770,710,3.597339391708374,4.731046676635742,1.0,0.06097430735826492,1.2069072494920456
39,1,770,696,3.749001979827881,5.071972465515138,1.0,0.12486649304628372,2.269002531644329
40,1,770,693,3.8047709465026855,5.252905845642091,1.0,0.0980483889579773,1.219167440467833
41,1,770,693,4.024250507354736,5.938876056671143,1.0,0.09049469232559204,0.9151434704912961
42,1,770,658,4.209890842437744,6.311475467681886,1.0,0.7697519659996033,11.215225367404653
43,1,770,626,4.9226531982421875,8.907697105407715,1.0,0.19938069581985474,2.6456007772235965
44,1,770,616,5.275272846221924,11.915009212493898,1.0,0.5308036804199219,7.740552814813939
45,1,770,594,5.936873435974121,15.60404310226441,1.0,0.5393069386482239,8.406300601825645
46,1,770,589,6.138882637023926,16.508296585083013,1.0,0.03422888368368149,1.0024915755865114
47,1,770,574,6.4935712814331055,18.005078125000004,1.0,0.05386482551693916,1.6260619132951406
48,1,770,588,6.651965618133545,18.71923007965088,1.0,0.7329307198524475,11.779133745125112
49,1,770,588,6.786990642547607,19.346628189086918,1.0,0.06009381636977196,0.889114564754576
50,1,770,585,6.7448811531066895,19.043189239501956,1.0,0.095469169318676,1.7879409367001435
51,1,770,589,6.609259128570557,17.50816345214844,1.0,0.2319769412279129,3.828787020235155
52,1,770,563,6.340569972991943,16.251935768127442,1.0,0.44068071246147156,7.072739836858708
53,1,770,576,5.771862506866455,13.148951911926272,1.0,0.14253059029579163,1.9288439598239222
54,1,770,593,5.491421699523926,11.487960433959962,1.0,0.07135544717311859,0.9030900039477228
55,1,770,628,8.11133861541748,15.109560012817383,1.0,5.202392578125,83.23954658440324
56,1,770,624,4.830079555511475,8.20816631317139,1.0,5.288980007171631,84.98567269336851
57,1,770,629,4.326701641082764,6.770293521881104,1.0,0.7131394743919373,10.473242427764838
58,1,770,624,4.189335346221924,6.557427549362185,1.0,0.35542958974838257,5.218643710567134
59,1,770,621,4.085647106170654,6.735346746444703,1.0,0.6294517517089844,8.919537878589935
60,1,770,636,4.00667142868042,6.442762565612793,1.0,0.22403115034103394,3.0344782278963147
61,1,770,644,3.931464910507202,6.134912919998169,1.0,0.11600623279809952,2.101892670275001
62,1,770,633,3.9228129386901855,5.99733786582947,1.0,0.7351437211036682,10.629712670600627
63,1,770,639,3.9792959690093994,5.89728593826294,1.0,0.5380674004554749,7.603748953801577
64,1,770,630,4.123583793640137,5.960658073425294,1.0,0.7417028546333313,11.042075413175269
65,1,770,642,4.152322292327881,5.966817474365235,1.0,0.09222649037837982,1.4904284105467835
66,1,770,644,4.288254737854004,5.964339113235474,1.0,0.23407188057899475,3.8139267128062877
67,1,770,657,4.324826240539551,5.919949913024903,1.0,0.10322602093219757,1.7665787443636773
68,1,770,641,4.44398832321167,5.853916835784913,1.0,0.06701831519603729,1.4496942280629086
69,1,770,631,4.518631458282471,5.834600019454957,1.0,0.05463281646370888,0.8122881254097551
70,1,770,621,4.59915828704834,6.218286848068238,1.0,0.23020562529563904,3.8450161964872263
71,1,770,661,4.672424793243408,5.883310317993164,1.0,0.10241798311471939,1.030975688094453
72,1,770,651,4.769266605377197,5.846615314483643,1.0,0.029553856700658798,0.6702720389574625
73,1,770,645,4.816325664520264,5.820195817947388,1.0,0.061427246779203415,0.7702479537459085
74,1,770,661,4.892825603485107,5.920638084411621,1.0,0.4068565368652344,6.356378818838001
75,1,770,669,4.893354415893555,5.819415092468262,1.0,0.4307890832424164,6.286966751918619
76,1,770,664,4.9384846687316895,5.6907299995422385,1.0,0.03237093240022659,0.24389326303316328
77,1,770,671,4.973315238952637,5.784809160232544,1.0,0.0746607631444931,1.206582930835048
78,1,770,656,5.023029804229736,6.150620222091675,1.0,0.14353349804878235,2.4373489092794833
79,1,770,667,5.077056407928467,5.855328130722046,1.0,0.20918531715869904,3.0899682680472473
80,1,770,670,5.115257740020752,5.84404034614563,1.0,0.07148370146751404,1.4309446552945257
