frame_idx,pnp_ok,num_alive,ransac_inliers,reproj_mean,reproj_p90,visibility_mean,delta_t,delta_rot_deg
0,1,728,728,0.7071069478988647,0.7071283459663391,1.0,0.0,0.0
1,1,728,724,0.8195774555206299,1.6261596322059635,1.0,1.1522613763809204,36.71737504009067
2,1,728,728,0.9535113573074341,1.9782299757003785,1.0,0.022717831656336784,0.6280729981118315
3,1,728,715,0.9358124732971191,1.879851078987124,1.0,0.0882377102971077,1.1429521510551501
4,1,728,718,1.0028597116470337,1.9656985878944404,1.0,0.10228472948074341,1.5697251783046617
5,1,728,724,1.0484718084335327,2.044984769821167,1.0,0.04229481518268585,1.3229341488322446
6,1,728,701,2.2756106853485107,4.201308250427248,1.0,2.7509212493896484,88.95335190338469
7,1,728,687,1.9080257415771484,3.5166749000549324,1.0,0.2931337058544159,13.336353525308997
8,1,728,689,1.9940106868743896,3.7333320617675834,1.0,0.05948018282651901,1.0083303982546996
9,1,728,685,2.328291177749634,4.612444972991944,1.0,0.46355870366096497,23.822162453476544
10,1,728,687,2.0040500164031982,3.9016088724136355,1.0,0.3142780363559723,16.165967261987806
11,1,728,676,2.0442354679107666,3.9482235670089727,1.0,0.026405343785881996,1.1948488412836347
12,1,728,704,1.9651864767074585,4.037641572952274,1.0,2.77474045753479,90.30578902081358
13,1,728,668,2.3500165939331055,5.0044631481170665,1.0,2.439018726348877,75.44598956090982
14,1,728,676,2.284771680831909,4.465499353408814,1.0,2.4449565410614014,78.37520333160846
15,1,728,678,2.2930967807769775,4.8145973682403564,1.0,2.2846124172210693,72.61411436053953
16,1,728,702,1.919389009475708,3.480005955696106,1.0,2.0885608196258545,64.84345770138584
17,1,728,692,2.070687770843506,4.392211055755617,1.0,1.9938346147537231,60.64525846387639
18,1,728,682,2.1578328609466553,4.657854175567631,1.0,0.1268080621957779,4.3865980718919255
19,1,728,682,2.049532651901245,4.188407278060917,1.0,0.5295231342315674,17.41634745870736
20,1,728,696,2.213740825653076,3.910100913047795,1.0,1.1064006090164185,33.38770775277818
21,1,728,695,2.054237127304077,3.4515717506408694,1.0,0.9779811501502991,29.1698448111329
22,1,728,693,2.0672812461853027,3.6907569408416756,1.0,0.05106546729803085,1.5799149152216618
23,1,728,694,2.1763052940368652,3.821655344963074,1.0,0.12564432621002197,3.218931757454452
24,1,728,686,2.1708788871765137,3.8513822793960575,1.0,0.043353162705898285,1.3550858362337106
25,1,728,695,2.190570592880249,3.8579899787902834,1.0,0.07552426308393478,2.2591476270126987
26,1,728,699,2.196780204772949,3.9009745121002197,1.0,0.19711865484714508,6.514212705887878
27,1,728,701,2.0879037380218506,3.737201023101807,1.0,0.1166461855173111,3.6123791831387755
28,1,728,707,2.1446762084960938,3.7231513023376466,1.0,0.2142413705587387,7.072850779325334
29,1,728,672,2.105365514755249,3.6895493268966675,1.0,0.28324830532073975,8.71383934160275
30,1,728,671,2.1146745681762695,3.725934219360352,1.0,0.024218367412686348,0.8270888520650371
31,1,728,673,2.2204184532165527,3.955680370330812,1.0,0.1296960562467575,3.5599649672776494
32,1,728,669,2.3144545555114746,4.355807399749756,1.0,0.3831073045730591,12.112287175967385
33,1,728,659,2.3442115783691406,4.603556680679322,1.0,0.1601356416940689,4.278556478293813
34,1,728,663,2.3840601444244385,4.669018745422363,1.0,0.08512473851442337,2.635964932246543
35,1,728,673,2.381967067718506,4.33423023223877,1.0,0.09425697475671768,2.7236173820646417
36,1,728,684,2.318343162536621,4.192550611495973,1.0,0.06706519424915314,1.732348550018418
37,1,728,680,2.3367764949798584,4.270436286926273,1.0,0.04325631633400917,1.393250541856414
38,1,728,672,2.2884371280670166,4.460075187683107,1.0,0.07875007390975952,2.8114633704931
39,1,728,674,2.2125790119171143,4.0428078174591064,1.0,0.1855340600013733,5.45797423720232
40,1,728,633,2.1391429901123047,3.9248418331146255,1.0,0.13318081200122833,3.6933194884427696
41,1,728,647,2.037987232208252,3.510954308509827,1.0,0.2546488046646118,7.904849037370941
42,1,728,697,3.804150342941284,6.694196796417248,1.0,3.266775369644165,111.49674891219043
43,1,728,685,3.2412281036376953,5.1376749038696286,1.0,0.3638990521430969,7.468710693242675
44,1,728,682,4.4021406173706055,7.4896543979644905,1.0,0.4588738679885864,10.882855277700463
45,1,728,705,2.9998888969421387,4.881454133987427,1.0,1.0646541118621826,13.99543940560034
46,1,728,665,2.7910523414611816,4.2248414993286145,1.0,0.4362715184688568,22.969221383754988
47,1,728,655,3.3566343784332275,5.325638914108277,1.0,1.290244221687317,21.26203253389013
