scene_id,scene_type,diverse_score,category_score,visual_usability,scene_type_bonus,primary_category,core_category_count,non_table_category_count,sit_table_dominance,clutter_label_ratio,annotated_object_count,clutter_label_count,open_ratio,visual_clutter,edge_density,laplacian_var,center_detail,exposure_balance,images_total,images_sampled,category_summary,interaction_ideas,useful_labels,representative_image
39e6ee46df,bedroom / hotel,0.727979501054834,0.8051818792615153,0.7905437846348601,0.08,kitchen_cook,6,9,0.05747126436781609,0.07177033492822966,209,15,0.8778524398803711,0.1505624558252369,0.04829296097159386,36.00978469848633,0.13337598741054535,0.6527905464172363,313,8,kitchen_cook:23;storage_open:16;bed_lie:11;door_transition:10;bathroom_wash:9;sit_table:5;clean_laundry:5;screen_work:4;play_exercise_music:3;eat_drink:1,cook / wash dishes / use appliance; lie down / make bed / pack near bed; wash hands / shower / towel / toilet; open cabinet / shelf / closet; enter / exit / open door,book:11;books:11;kitchen cabinet:7;pillow:6;box:5;cabinet:5;candle:4;door:4;door handle:4;plant:4;vase:4;window:4;flower pot:3;picture:3;trash can:3;basket:2;binder:2;blanket:2,/mnt/hdd/Scannet++/4DHOI/data/39e6ee46df/dslr/resized_undistorted_images/DSC01620.JPG
3db0a1c8f3,apartment,0.7194809145384338,0.7719105536168658,0.8492899795020361,0.0,bathroom_wash,6,9,0.14102564102564102,0.08205128205128205,195,16,0.8920943737030029,0.07919457536229044,0.036449793726205826,39.495418548583984,0.126480370759964,0.7237458229064941,972,8,eat_drink:24;sit_table:11;bathroom_wash:11;kitchen_cook:10;screen_work:6;clean_laundry:6;storage_open:3;play_exercise_music:3;door_transition:2;bed_lie:2,wash hands / shower / towel / toilet; cook / wash dishes / use appliance; clean / mop / vacuum / laundry; drink / eat / handle containers; type / use monitor / print,bottle:19;shoe:14;power socket:11;bag:6;light switch:6;window:6;box:5;table:5;basket:4;chair:4;jacket:4;broom:3;ceiling lamp:3;drying rack:3;roof:3;toilet paper:3;beanbag:2;door:2,/mnt/hdd/Scannet++/4DHOI/data/3db0a1c8f3/dslr/resized_undistorted_images/DSC09854.JPG
469f112e38,hallway,0.7062187230192368,0.7173323737205575,0.8911435820666046,0.05,kitchen_cook,4,7,0.06896551724137931,0.04854368932038835,206,10,0.9119415283203125,0.011514982226560718,0.03271187096834183,27.429967880249023,0.10628056526184082,0.6690266132354736,1752,8,kitchen_cook:22;door_transition:22;eat_drink:17;bathroom_wash:10;sit_table:6;clean_laundry:5;storage_open:4;bed_lie:1,cook / wash dishes / use appliance; wash hands / shower / towel / toilet; enter / exit / open door; drink / eat / handle containers; clean / mop / vacuum / laundry,door:8;door frame:8;bottle:7;power socket:7;coaster:5;frying pan:5;paper:5;plant:5;chair:4;sandals:4;wall lamp:4;box:3;heater:3;kitchen cabinet:3;laundry rack:3;light switch:3;shower floor:3;sliding door:3,/mnt/hdd/Scannet++/4DHOI/data/469f112e38/dslr/resized_undistorted_images/DSC08403.JPG
aa852f7871,bedroom / hotel,0.7026362629955294,0.744300219556098,0.8216941739156018,0.08,bathroom_wash,5,8,0.078125,0.0234375,128,3,0.8752825260162354,0.1470877013517651,0.04336395114660263,45.17173767089844,0.15440192818641663,0.7564098834991455,1301,8,bathroom_wash:26;bed_lie:8;eat_drink:8;sit_table:5;screen_work:4;clean_laundry:4;storage_open:3;door_transition:3;kitchen_cook:3,wash hands / shower / towel / toilet; lie down / make bed / pack near bed; clean / mop / vacuum / laundry; drink / eat / handle containers; type / use monitor / print,curtain:3;light switch:3;shower wall:3;towel:3;bag/pouch:2;bedside lamp:2;ceiling vent:2;doorframe:2;mirror lamp:2;pillow:2;power socket:2;shower gel bottle/toiletry:2;soap bottle/toiletry:2;toilet paper:2;trash can:2;wall hanger/wall hook:2;backpack:1;bed:1,/mnt/hdd/Scannet++/4DHOI/data/aa852f7871/dslr/resized_undistorted_images/8568cff1_DSC09274.JPG
c085ff3df4,bathroom,0.7007876775296561,0.7555213289649124,0.7893290835312716,0.1,kitchen_cook,5,8,0.11363636363636363,0.045081967213114756,244,11,0.8812931776046753,0.07097823659692924,0.028692184016108513,42.59949493408203,0.09737928211688995,0.6707046031951904,4060,8,kitchen_cook:24;bathroom_wash:18;eat_drink:12;sit_table:10;door_transition:7;clean_laundry:7;storage_open:7;bed_lie:2;screen_work:1,cook / wash dishes / use appliance; wash hands / shower / towel / toilet; clean / mop / vacuum / laundry; drink / eat / handle containers; open cabinet / shelf / closet,light switch:13;ceiling lamp:8;knife:8;plant:7;spice bottle:7;picture:6;power socket:6;window:6;book:5;kitchen cloth:5;plant pot:5;power sockets:5;box:4;chair:4;door:4;doorframe:4;kitchen cabinet:3;window frame:3,/mnt/hdd/Scannet++/4DHOI/data/c085ff3df4/dslr/resized_undistorted_images/a339ef36_DSC07143.JPG
cf1ffd871d,bedroom / hotel,0.692641774942838,0.6749666909613594,0.9161284193289048,0.08,bathroom_wash,6,9,0.05263157894736842,0.044444444444444446,90,4,0.9084374904632568,0.03602374693759061,0.03661629185080528,26.330684661865234,0.12968941032886505,0.839569091796875,1373,8,bathroom_wash:19;bed_lie:5;eat_drink:4;sit_table:2;clean_laundry:2;door_transition:2;play_exercise_music:1;kitchen_cook:1;storage_open:1;screen_work:1,wash hands / shower / towel / toilet; lie down / make bed / pack near bed; clean / mop / vacuum / laundry; drink / eat / handle containers; exercise / play music / game,bottle:3;ceiling light:3;shower wall:3;towel:3;door:2;doorframe:2;light switch:2;picture:2;pillow:2;power socket:2;trash can:2;wall hooks:2;backpack:1;bag:1;bathroom counter:1;bed:1;bed  sheet:1;blanket:1,/mnt/hdd/Scannet++/4DHOI/data/cf1ffd871d/dslr/resized_undistorted_images/DSC04658.JPG
0f25f24a4f,office,0.6699768097044587,0.7336167381048089,0.7546221925114674,0.03,door_transition,5,8,0.2857142857142857,0.03783783783783784,185,7,0.8510172963142395,0.21471311477768093,0.04399333894252777,62.140464782714844,0.16555719077587128,0.8522024154663086,640,8,sit_table:24;eat_drink:19;door_transition:14;storage_open:7;screen_work:6;bathroom_wash:6;kitchen_cook:4;clean_laundry:3;whiteboard_present:1,enter / exit / open door; wash hands / shower / towel / toilet; drink / eat / handle containers; type / use monitor / print; open cabinet / shelf / closet,bottle crate:16;picture:10;chair:9;door frame:7;ceiling light:6;door:6;table:6;window:6;office chair:5;box:4;monitor:4;storage cabinet:4;paper:3;trash can:3;bottle crates:2;heater:2;light switch:2;sink:2,/mnt/hdd/Scannet++/4DHOI/data/0f25f24a4f/dslr/resized_undistorted_images/DSC01875.JPG
442b144761,conference room,0.6505908606218302,0.6602632872121625,0.8488692313711749,-0.04,whiteboard_present,6,8,0.5681818181818182,0.0,106,0,0.9117021560668945,0.1002141810219937,0.03896370157599449,54.479042053222656,0.10137148201465607,0.7235633134841919,1327,8,sit_table:25;whiteboard_present:5;bathroom_wash:4;screen_work:3;door_transition:2;clean_laundry:2;play_exercise_music:1;kitchen_cook:1;eat_drink:1,write / point / present; wash hands / shower / towel / toilet; type / use monitor / print; clean / mop / vacuum / laundry; exercise / play music / game,chair:18;power sockets:14;ceiling lamp:7;pipe:6;rj45 outlet:6;cable duct:5;side table:5;whiteboard:3;heater:2;window:2;blind track:1;blinds:1;bottle:1;cleaning mop:1;conference table:1;door:1;door closer:1;doorframe:1,/mnt/hdd/Scannet++/4DHOI/data/442b144761/dslr/resized_undistorted_images/f7226bb3_DSC03404.JPG
3e9a598891,office,0.6495858035740368,0.6807137203496587,0.7867870180351089,0.03,screen_work,6,9,0.1875,0.02857142857142857,70,2,0.9032546281814575,0.38301388199248326,0.06862009316682816,111.12245178222656,0.15523761510849,0.9048458933830261,1313,8,screen_work:7;sit_table:6;whiteboard_present:6;eat_drink:5;door_transition:2;storage_open:2;play_exercise_music:1;clean_laundry:1;kitchen_cook:1;bed_lie:1,type / use monitor / print; write / point / present; drink / eat / handle containers; open cabinet / shelf / closet; exercise / play music / game,pipe:6;monitor:4;power socket:3;bottle:2;bowl:2;cabinet:2;cable duct:2;cable duct support:2;ceiling lamp:2;heater:2;office chair:2;plant:2;whiteboard:2;whiteboard eraser:2;blinds:1;box:1;chair:1;cup:1,/mnt/hdd/Scannet++/4DHOI/data/3e9a598891/dslr/resized_undistorted_images/f7226bb3_DSC09999.JPG
49a82360aa,office,0.6402536530804434,0.6678830191775098,0.7808796936171492,0.03,screen_work,5,8,0.22448979591836735,0.11811023622047244,127,15,0.8780418634414673,0.228279861301858,0.050495829433202744,67.84004974365234,0.14004239439964294,0.8585703372955322,304,8,eat_drink:12;screen_work:11;sit_table:11;clean_laundry:5;kitchen_cook:3;door_transition:2;play_exercise_music:2;bathroom_wash:2;storage_open:1,type / use monitor / print; drink / eat / handle containers; clean / mop / vacuum / laundry; cook / wash dishes / use appliance; exercise / play music / game,book:13;box:10;plant:9;bottle:8;chair:6;basket:5;cup:4;table:4;tea pot:3;backpack:2;bookshelf:2;ceiling lamp:2;decoration:2;door:2;doorframe:2;dumbbell:2;keyboard:2;laptop:2,/mnt/hdd/Scannet++/4DHOI/data/49a82360aa/dslr/resized_undistorted_images/DSC00080.JPG
